,판매점ID,판매물품바코드,재고,재고업데이트날짜,최근판매날짜
0,96820813,8801056015107,1,2020-06-01,2020-07-14
1,96820813,8809027331713,1,2020-06-01,2020-07-14
2,14372105,8809080300060,1,2020-09-06,2020-02-17
3,14372105,8803284607659,7,2020-09-06,2020-02-17
4,14372105,8801056018160,7,2020-09-06,2020-02-17
5,14372105,8809082727537,11,2020-09-06,2020-02-17
6,14372105,8809173200345,7,2020-09-06,2020-02-17
7,14372105,8801056224011,3,2020-09-06,2020-02-17
8,14372105,8801056001841,5,2020-09-06,2020-02-17
9,14372105,8801094502102,12,2020-09-06,2020-02-17
10,14372105,8801056042219,4,2020-09-06,2020-02-17
11,14372105,8801043650700,4,2020-09-06,2020-02-17
12,14372105,8806002004044,8,2020-09-06,2020-02-17
13,14372105,8809332391303,12,2020-09-06,2020-02-17
14,1477966,8801056006259,13,2020-05-13,2020-05-04
15,1477966,8801037037869,11,2020-05-13,2020-05-04
16,1477966,8801382137382,10,2020-05-13,2020-05-04
17,1477966,8801097178038,15,2020-05-13,2020-05-04
18,1477966,8801097278035,13,2020-05-13,2020-05-04
19,1477966,880105603886,1,2020-05-13,2020-05-04
20,1477966,8802673003317,8,2020-05-13,2020-05-04
21,1477966,8806002003023,16,2020-05-13,2020-05-04
22,1477966,8809050511038,18,2020-05-13,2020-05-04
23,1477966,8801753100885,16,2020-05-13,2020-05-04
24,1477966,8809027331492,17,2020-05-13,2020-05-04
25,1477966,8809173200130,6,2020-05-13,2020-05-04
26,1477966,8801094503031,15,2020-05-13,2020-05-04
27,1477966,8801056688011,9,2020-05-13,2020-05-04
28,1477966,8801056022112,19,2020-05-13,2020-05-04
29,1477966,8801056389017,11,2020-05-13,2020-05-04
30,1477966,8801056017644,2,2020-05-13,2020-05-04
31,1477966,8802774000369,6,2020-05-13,2020-05-04
32,1477966,8809057550023,7,2020-05-13,2020-05-04
33,21795031,8801097250079,1,2020-04-06,2020-02-05
34,92047329,8809068661169,13,2020-01-01,2020-02-14
35,92047329,8806430012802,20,2020-01-01,2020-02-14
36,92047329,8809125060225,2,2020-01-01,2020-02-14
37,92047329,8801056058227,24,2020-01-01,2020-02-14
38,92047329,8806001083026,26,2020-01-01,2020-02-14
39,92047329,8801056051747,2,2020-01-01,2020-02-14
40,92047329,8801037037852,19,2020-01-01,2020-02-14
41,92047329,8801094503901,4,2020-01-01,2020-02-14
42,92047329,8801382138686,31,2020-01-01,2020-02-14
43,92047329,8809082723386,29,2020-01-01,2020-02-14
44,92047329,8801037037869,5,2020-01-01,2020-02-14
45,92047329,8801056022112,16,2020-01-01,2020-02-14
46,92047329,8809382930224,17,2020-01-01,2020-02-14
47,92047329,8801043650199,11,2020-01-01,2020-02-14
48,92047329,8801094223038,32,2020-01-01,2020-02-14
49,92047329,8801382139072,31,2020-01-01,2020-02-14
50,92047329,8809397830014,32,2020-01-01,2020-02-14
51,92047329,8801382130802,3,2020-01-01,2020-02-14
52,92047329,8801382130820,20,2020-01-01,2020-02-14
53,92047329,8805915531012,5,2020-01-01,2020-02-14
54,92047329,8809003432328,2,2020-01-01,2020-02-14
55,92047329,8801056233013,20,2020-01-01,2020-02-14
56,92047329,8802774000987,32,2020-01-01,2020-02-14
57,92047329,8801097178090,4,2020-01-01,2020-02-14
58,92047329,8809382930255,31,2020-01-01,2020-02-14
59,92047329,8809003432328,4,2020-01-01,2020-02-14
60,92047329,8809191574664,7,2020-01-01,2020-02-14
61,92047329,8801056003364,12,2020-01-01,2020-02-14
62,92047329,8801056389123,31,2020-01-01,2020-02-14
63,92047329,8801097618114,10,2020-01-01,2020-02-14
64,92047329,8809023001269,33,2020-01-01,2020-02-14
65,92047329,8809382930255,16,2020-01-01,2020-02-14
66,92047329,8801382130383,35,2020-01-01,2020-02-14
67,92047329,8801056042226,15,2020-01-01,2020-02-14
68,92047329,8801753100885,11,2020-01-01,2020-02-14
69,92047329,8806001083767,21,2020-01-01,2020-02-14
70,28606144,8801097187016,1,2020-01-07,2020-04-17
71,28606144,8809080300039,2,2020-01-07,2020-04-17
72,28606144,8809191574671,2,2020-01-07,2020-04-17
73,64577473,8801382128694,17,2020-09-07,2020-06-01
74,64577473,8809045670115,17,2020-09-07,2020-06-01
75,64577473,8809323750010,3,2020-09-07,2020-06-01
76,64577473,8801056036775,8,2020-09-07,2020-06-01
77,64577473,8809423620008,19,2020-09-07,2020-06-01
78,64577473,880105665874,12,2020-09-07,2020-06-01
79,64577473,8809397830007,8,2020-09-07,2020-06-01
80,64577473,8801056924011,14,2020-09-07,2020-06-01
81,64577473,8809027331706,8,2020-09-07,2020-06-01
82,64577473,8801382144830,18,2020-09-07,2020-06-01
83,64577473,8801056051747,16,2020-09-07,2020-06-01
84,64577473,8801056018160,7,2020-09-07,2020-06-01
85,64577473,8801382144823,19,2020-09-07,2020-06-01
86,64577473,8801056164011,3,2020-09-07,2020-06-01
87,64577473,8801097178014,8,2020-09-07,2020-06-01
88,64577473,8809068661176,2,2020-09-07,2020-06-01
89,64577473,8801097250376,4,2020-09-07,2020-06-01
90,64577473,8801094503901,4,2020-09-07,2020-06-01
91,64577473,8801097250383,20,2020-09-07,2020-06-01
92,64577473,8801746672443,3,2020-09-07,2020-06-01
93,46239733,8801097178014,14,2020-09-06,2020-08-12
94,46239733,8801056714017,28,2020-09-06,2020-08-12
95,46239733,8801056787127,7,2020-09-06,2020-08-12
96,46239733,8801094603007,29,2020-09-06,2020-08-12
97,46239733,8801097231016,24,2020-09-06,2020-08-12
98,46239733,8809423620008,30,2020-09-06,2020-08-12
99,46239733,8804342343434,32,2020-09-06,2020-08-12
100,46239733,8801056755010,1,2020-09-06,2020-08-12
101,46239733,8809125060850,31,2020-09-06,2020-08-12
102,46239733,8809423870007,4,2020-09-06,2020-08-12
103,46239733,8806002010571,35,2020-09-06,2020-08-12
104,46239733,8806002003900,9,2020-09-06,2020-08-12
105,46239733,8809050511083,20,2020-09-06,2020-08-12
106,46239733,8809423620039,4,2020-09-06,2020-08-12
107,46239733,8809323750065,31,2020-09-06,2020-08-12
108,46239733,8801056042196,14,2020-09-06,2020-08-12
109,46239733,8809423620022,30,2020-09-06,2020-08-12
110,46239733,8809423620046,16,2020-09-06,2020-08-12
