,고객이름,구매물건,구매갯수,최근방문날짜
0,20072146,8802774000987,5,2018-02-07
1,20072146,8801097130036,3,2019-08-19
2,20072146,8809228150014,9,2018-03-11
3,20072146,8806001084542,9,2020-02-11
4,64620186,8809423620022,20,2018-09-06
5,64620186,8801094222703,8,2020-06-04
6,465593,8809191574657,1,2019-08-15
7,465593,8801056224011,18,2020-02-01
8,465593,8802673003263,17,2019-08-14
9,465593,8801056042196,16,2020-04-08
10,465593,8801056154011,7,2018-07-12
11,27454806,8809057795509,15,2020-06-01
12,27454806,8801382130383,19,2018-08-21
13,27454806,8809027331713,16,2018-09-02
14,27454806,8806002010465,6,2020-04-01
15,27454806,8806002010441,5,2019-05-12
16,27454806,8801056065805,18,2020-06-04
17,27454806,8801097131019,11,2019-05-18
18,27454806,8801056021062,9,2020-08-19
19,27454806,8801056058227,7,2020-08-14
20,92712691,8801056007163,7,2020-06-18
21,92712691,8801097618114,15,2020-05-17
22,92712691,8801097250369,2,2018-01-09
23,92712691,8809191574695,6,2020-09-06
24,92712691,8809027332932,16,2020-09-02
25,92712691,8809125064124,4,2020-07-20
26,92712691,8801056017583,18,2019-08-09
27,92712691,8801056055189,7,2020-09-10
28,92712691,8801104500067,19,2018-04-09
29,1457050,8801097250279,2,2020-01-09
30,1457050,8801056005672,10,2019-02-07
31,1457050,8806020311919,4,2019-03-03
32,1457050,8801097130036,4,2018-02-16
33,1457050,8801043650199,18,2018-03-04
34,1457050,8802673003263,9,2020-07-08
35,1457050,8806003011362,11,2019-07-14
36,1457050,8802673003201,17,2020-08-04
37,66045735,8801037037869,13,2020-06-12
38,66045735,8809228150021,7,2019-02-21
39,66045735,8801056054984,8,2018-04-17
40,66045735,8801094232702,15,2020-01-14
41,66045735,8806002002894,9,2020-07-19
42,66045735,8801056787127,4,2020-03-01
43,66045735,8801056038861,1,2018-05-12
44,21775839,8809068661008,5,2020-02-13
45,21775839,8801056005719,15,2020-03-13
46,21775839,8809027331492,3,2018-03-04
47,21775839,8801056042226,14,2019-06-04
48,21775839,8806003011362,1,2020-04-07
49,21775839,8806001083026,6,2019-03-21
50,21775839,8809027331744,13,2020-04-15
51,21775839,8801094603007,18,2020-01-21
52,21775839,8801056005672,14,2018-02-05
53,64038681,8802673003300,16,2018-01-14
54,64038681,8809135308157,10,2019-01-20
55,64038681,8801056002541,11,2019-05-12
56,64038681,8809050511090,3,2018-07-12
57,64038681,8805915530633,14,2018-03-06
58,29463381,8801094602406,16,2018-09-19
59,29463381,8801056017583,13,2019-05-10
60,29463381,8809082723386,3,2018-03-14
61,29463381,8801056006297,17,2020-03-04
62,29463381,8801056018160,18,2020-04-05
63,48563880,8806002000794,15,2019-02-03
64,48563880,8802673003218,15,2019-08-04
65,48563880,8806003011362,6,2020-04-18
66,48563880,8806002003023,18,2018-04-13
67,48563880,8809050511090,18,2019-07-16
68,58306650,8801056688011,5,2019-07-04
69,91255161,8801094503031,16,2019-04-20
70,91255161,8809423870007,8,2018-07-10
71,27984104,8801097178038,10,2019-07-04
72,27984104,8801094603007,16,2020-02-04
73,27984104,8805915531036,12,2019-09-18
74,27984104,8801094223007,15,2020-04-01
75,27984104,8802774006927,17,2018-09-03
76,27984104,8806003011362,8,2019-02-11
77,27984104,8809191574695,18,2019-05-02
78,91251017,8809040935110,3,2020-09-12
79,91251017,8801056233013,12,2018-04-12
80,91251017,8802774000369,7,2019-05-14
81,91251017,8809027331713,13,2019-03-06
82,91251017,8802774006927,18,2018-06-09
83,91251017,8806001085020,8,2018-08-16
84,91251017,8801056038649,19,2019-09-05
85,91251017,8809191574671,4,2018-06-18
86,37299926,8801382132455,16,2019-04-20
87,37299926,8801382137405,14,2020-02-16
88,37299926,8806001084894,12,2020-09-18
89,37299926,8801097250369,20,2019-05-13
90,37299926,8806001083798,12,2020-05-16
91,37299926,8806002003023,2,2019-03-21
92,37299926,8805915531012,6,2020-04-10
93,37299926,8802774003445,2,2019-03-04
94,37299926,8809003432304,20,2020-03-17
95,28530724,8809082723379,18,2018-01-20
96,82167210,8801056065768,20,2019-06-20
97,82167210,8801056018160,1,2020-04-09
98,82167210,8801097178090,1,2020-06-04
99,82167210,8801382144830,13,2020-05-21
100,61153253,88004334,11,2020-07-10
101,61153253,8809382930231,13,2018-02-05
102,61153253,8801056013110,14,2020-01-13
103,34944721,880105665874,4,2020-05-11
104,34944721,8809068661008,10,2020-01-09
105,34944721,8801056018160,6,2019-05-19
106,34944721,8801097250279,18,2018-05-09
107,34944721,8801056021062,5,2020-09-11
108,91609513,8806002003931,3,2019-09-18
109,91609513,8809228150014,2,2019-08-06
110,91609513,8801056017644,11,2020-08-09
111,91609513,8801056003364,9,2020-07-04
112,79620548,8801056154066,9,2020-07-04
113,79620548,8809423620022,15,2020-06-21
114,79620548,8801104500067,4,2020-07-21
115,79620548,8804342387872,11,2018-03-03
116,79620548,8801056054984,20,2020-09-01
117,79620548,8801382137405,1,2018-06-16
118,79620548,8809332392768,14,2019-03-05
119,79620548,8809135303633,9,2019-04-16
120,79620548,8809068661008,17,2018-09-06
121,79620548,8809125064124,3,2020-02-12
122,3992579,8809332392768,1,2019-03-03
123,3992579,8801056038861,17,2019-01-04
124,3992579,8809027331492,13,2019-04-20
125,3992579,8809323750065,11,2019-06-08
126,3992579,8803284605532,9,2018-03-15
127,3992579,8801094503000,15,2020-01-17
128,3992579,8801056033057,15,2018-05-10
129,13997539,8801097178038,4,2018-09-19
130,13997539,8809082723379,2,2019-08-02
131,13997539,8809003432328,9,2020-03-07
132,13997539,8801104500067,2,2018-09-21
133,13997539,8803284605464,6,2019-04-12
134,25092720,8802673003355,6,2020-04-06
135,25092720,8801056036775,17,2019-05-01
136,25092720,8801056064761,2,2020-09-08
137,25092720,8809323750027,4,2019-03-09
138,25092720,8801094223038,3,2018-09-08
139,31366719,8801056015107,2,2020-01-04
140,31366719,8809228158898,9,2019-06-09
141,31366719,8801056017606,12,2019-02-01
142,31366719,8801056001285,9,2019-09-15
143,31366719,8801382132455,2,2018-09-21
144,31366719,8809423620015,17,2019-01-20
145,31366719,8801056042219,2,2018-01-12
146,31366719,8801056224011,3,2018-08-18
147,31366719,8801043650700,5,2018-05-19
148,35304095,8809080300060,5,2020-04-05
149,65873764,8809228150014,20,2020-09-16
150,65873764,8809135303640,4,2019-06-18
151,65873764,8802774000987,2,2018-04-10
152,65873764,8809191574640,15,2018-05-09
153,65873764,8801056017606,20,2019-06-09
154,65873764,8801382134824,20,2020-07-17
155,65873764,8801094503000,18,2020-05-14
156,65873764,8802774006927,7,2019-01-15
157,93653888,8809045670115,18,2019-04-11
158,93653888,8809110700044,10,2018-04-09
159,93653888,8809003432328,11,2018-04-11
160,93653888,8801056006297,20,2018-01-13
161,93653888,8801056224158,19,2020-05-19
162,93653888,8802673003256,12,2018-05-16
163,93653888,8806002000794,16,2019-03-04
164,93653888,8809191574688,15,2018-07-11
165,85884633,8801037037852,15,2018-03-17
166,85884633,8801097250383,7,2019-09-11
167,85884633,8801056487010,7,2020-09-13
168,85884633,8801097231016,3,2018-07-04
169,85884633,8801097187016,1,2020-06-02
170,85884633,8806002003900,16,2018-08-07
171,85884633,8809027331317,20,2020-01-03
172,46377754,8802774003445,20,2020-05-13
173,46377754,8809068661152,1,2019-04-05
174,46377754,8802774006927,3,2018-07-17
175,46377754,8801094503000,5,2018-05-05
176,46377754,8805915531036,2,2018-09-15
