,물건명,가격,대분류,소분류,중분류,업데이트,바코드,ID
,파)커피팝,1300,음료,,탄산음료,,,
,맥콜캔,1000,음료,,탄산음료,,,
,맥콜중PET,1300,음료,,탄산음료,,,
,맥콜대P,2000,음료,,탄산음료,,,
,데미소다피치캔,1000,음료,,탄산음료,,,
,데미소다애플,1000,음료,,탄산음료,,,
,환타오렌지캔,1000,음료,,탄산음료,,,
,암바사캔,850,음료,,탄산음료,,,
,코크제로캔,1200,음료,,탄산음료,,,
,스프라이트캔,1100,음료,,탄산음료,,,
,코카콜라캔210ml,1000,음료,,탄산음료,,,
,오란씨파인애플캔,1000,음료,,탄산음료,,,
,코카콜라캔315ml,1500,음료,,탄산음료,,,
,세븐업캔,1100,음료,,탄산음료,,,
,세븐업중P,1700,음료,,탄산음료,,,
,트로피스파클링애플캔,1100,음료,,탄산음료,,,
,펩시콜라대P,2700,음료,,탄산음료,,,
,스프라이트중P,1700,음료,,탄산음료,,,
,코카콜라500P,1900,음료,,탄산음료,,,
,농)웰치포도캔,1000,음료,,탄산음료,,,
,오란씨파인대P,2100,음료,,탄산음료,,,
,밀키스대P,2700,음료,,탄산음료,,,
,마운틴듀캔,1100,음료,,탄산음료,,,
,밀키스캔,1000,음료,,탄산음료,,,
,칠성사이다캔,1300,음료,,탄산음료,,,
,밀키스중P,1700,음료,,탄산음료,,,
,펩시콜라중P,1700,음료,,탄산음료,,,
,칠성사이다중P,1900,음료,,탄산음료,,,
,칠성사이다300P,1500,음료,,탄산음료,,,
,펩시콜라캔,1100,음료,,탄산음료,,,
,칠성사이다대P,2800,음료,,탄산음료,,,
,코카콜라300P,1500,음료,,탄산음료,,,
,코크제로500P,1800,음료,,탄산음료,,,
,산펠레그리노레몬탄산,2000,음료,,탄산음료,,,
,산펠레그리노오렌지탄산,2000,음료,,탄산음료,,,
,코카콜라캔(소),1100,음료,,탄산음료,,,
,코카콜라대P,2900,음료,,탄산음료,,,
,환타오렌지300P,1200,음료,,탄산음료,,,
,환타파인애플캔,1000,음료,,탄산음료,,,
,써니텐블라스트포도캔,800,음료,,탄산음료,,,
,슈웹스레몬토닉,1700,음료,,탄산음료,,,
,농)웰치화이트포도캔,1000,음료,,탄산음료,,,
,환타오렌지대P,2500,음료,,탄산음료,,,
,하이트제로캔(무알콜),1450,음료,,탄산음료,,,
,환타오렌지중P,1700,음료,,탄산음료,,,
,진로토닉워터,1200,음료,,탄산음료,,,
,펩시콜라+사이다(1.25L),2900,음료,,탄산음료,,,
,남)왓츠캔,1000,음료,,탄산음료,,,
,코카콜라+환타(1.25L),3500,음료,,탄산음료,,,
,맥스라이트캔,1500,음료,,탄산음료,,,
,초정탄산수중P,1200,,,생수,,,
,롯)트레비라임중,1600,,,생수,,,
