,물건명,가격,대분류,소분류,중분류,업데이트,바코드,ID
0,와퍼,5900,버거킹,와퍼,버거,,,
1,불고기와퍼,5900,버거킹,와퍼,버거,,,
2,치즈와퍼,6500,버거킹,와퍼,버거,,,
3,베이컨치즈와퍼,7700,버거킹,와퍼,버거,,,
4,롱치킨버거,4400,버거킹,치킨버거,버거,,,
5,칠리새우게버거,5900,버거킹,올데이킹,버거,,,
6,더블롱킹,4900,버거킹,올데이킹,버거,,,
7,뉴올리언스치킨버거,3900,버거킹,치킨버거,버거,,,
8,선데,1500,버거킹,아이스크림,디저트,,,
9,콘 아이스크림,800,버거킹,아이스크림,디저트,,,
10,몬스터 와퍼,8200,버거킹,와퍼,버거,,,
11,빅맥 세트,5700,맥도날드,버거,버거,,,
12,맥치킨,4500,맥도날드,버거,버거,,,
13,에그 불고기 버거 세트,4500,맥도날드,버거,버거,,,
14,베이컨 토마토 디럭스,5300,맥도날드,버거,버거,,,
15,치즈버거 세트,4500,맥도날드,버거,버거,,,
16,소시지 에그 맥머핀,4000,맥도날드,맥모닝,맥모닝,,,
17,베이컨 에그 맥머핀,4000,맥도날드,맥모닝,맥모닝,,,
18,맥너겟,1700,맥도날드,사이드,사이드,,,
19,딸기 쉐이크,2500,맥도날드,쉐이크,음료,,,
20,초코 쉐이크,2500,맥도날드,쉐이크,음료,,,
21,콜드 브루,4500,스타벅스,콜드 브루,커피,,,
22,오늘의 커피,3800,스타벅스,브루드 커피,커피,,,
23,카페 아메리카노,4100,스타벅스,에스프레소,커피,,,
24,카라멜 마키아또,5600,스타벅스,에스프레소,커피,,,
25,스타벅스 돌체 라떼,5600,스타벅스,에스프레소,커피,,,
26,에스프레소,3600,스타벅스,에스프레소,커피,,,
27,자바 칩 프라푸치노,6100,스타벅스,프라푸치노,커피,,,
28,망고 바나나 블렌디드,6300,스타벅스,블렌디드,음료,,,
29,잉글리쉬 브렉퍼스트 티,5100,스타벅스,티,음료,,,
30,허니 얼 그레이 밀크 티,5100,스타벅스,밀크티,음료,,,
31,달고나 라떼,3500,이디야,라떼,음료,,,
32,흑당 라떼,3300,이디야,라떼,음료,,,
33,버블 흑당 라떼,4300,이디야,라떼,음료,,,
34,카페 아메리카노,3200,이디야,에스프레소,커피,,,
35,카페 라떼,3700,이디야,에스프레소,커피,,,
36,콜드브루 아인슈페너,4200,이디야,콜드브루,커피,,,
37,디카페인 콜드브루 아메리카노,4000,이디야,디카페인,커피,,,
38,밥대신라이스 쉐이크,4800,이디야,쉐이크,음료,,,
39,버블 크림 밀크티,4300,이디야,밀크티,음료,,,
40,에스프레소,2900,이디야,에스프레소,커피,,,
41,딸기 요거트 쉐이크,5500,탐앤탐스,쉐이크,음료,,,
42,카페 아메리카노,4100,탐앤탐스,에스프레소,커피,,,
43,카페라떼,4700,탐앤탐스,에스프레소,커피,,,
44,딸기 스무디,5000,탐앤탐스,스무디,음료,,,
45,핫초코,4600,탐앤탐스,음료,음료,,,
46,자몽티,4800,탐앤탐스,티,음료,,,
47,얼그레이,4200,탐앤탐스,티,음료,,,
48,쿠키앤크림 탐앤치노,7500,탐앤탐스,음료,음료,,,
49,에스프레소,3600,탐앤탐스,에스프레소,커피,,,
50,복숭아 아이스티,4100,탐앤탐스,아이스티,음료,,,
