,ID,위도,경도,연락처,주차시설,평점,주소,위도,경도,업체유형,가게명,지점명,판매자ID,판매상품목록
,,,,NULL,,,서울 강남구 논현동 230-2,127.035702,37.509944,프렌차이즈,이디야,강남YMCA점,,
,,,,02-511-7531,,,"서울 강남구 학동로 338 (논현동, 강남파라곤) 1층 이디야커피",127.04045,37.516497,프렌차이즈,이디야,강남구청역아이티웨딩점,,
,,,,NULL,,,서울 강남구 논현로131길 28(논현동),127.028118,37.514081,프렌차이즈,이디야,강남논현학동점,,
,,,,02-515-0082,,,서울 강남구 도산대로37길 20 (신사동) 1층 이디야커피,127.031506,37.522274,프렌차이즈,이디야,강남도산점,,
,,,,02-3411-3332,,,"서울 강남구 헌릉로569길 9 (세곡동, 강남지웰파인즈) 1층 이디야커피",127.100806,37.466781,프렌차이즈,이디야,강남세곡점,,
,,,,02-6326-3212,,,"서울 강남구 자곡로 180 (자곡동, 강남유탑유블레스) 1층",127.103223,37.473669,프렌차이즈,이디야,강남자곡점,,
,,,,02-451-4478,,,"서울 강남구 개포로82길 11 (개포동, 삼우빌딩) 1층",127.067448,37.488556,프렌차이즈,이디야,개포동역점,,
,,,,02-545-5223,,,서울 강남구 언주로 711 (논현동),127.033673,37.517303,프렌차이즈,이디야,건설회관점,,
,,,,02-445-3498,,,"서울 강남구 개포로109길 34 (개포동, 대청프라자) 1층 이디야커피",127.077669,37.494194,프렌차이즈,이디야,대청역점,,
,,,,02-566-6467,,,"서울 강남구 남부순환로 2937 (대치동, 까치빌딩) 1층",127.061615,37.494083,프렌차이즈,이디야,대치역점,,
,,,,02-538-5580,,,"서울 강남구 테헤란로78길 16 (대치동, 노벨빌딩) 1층",127.055338,37.505054,프렌차이즈,이디야,대치포스코점,,
,,,,070-4154-1125,,,"서울 강남구 논현로 142 (도곡동, 동현빌딩) 1층",127.043034,37.482418,프렌차이즈,이디야,도곡2동점,,
,,,,02-518-0372,,,서울 강남구 논현동 98-12,127.036095,37.520407,프렌차이즈,이디야,도산사거리점,,
,,,,02-518-0372,,,서울 강남구 테헤란로88길 10 (대치동),127.059476,37.506832,프렌차이즈,이디야,삼성동점,,
,,,,02-728-1546,,,서울 강남구 봉은사로 442 (삼성동),127.048227,37.511276,프렌차이즈,이디야,삼성중앙점,,
,,,,02-555-9984,,,서울 강남구 테헤란로107길 11 (삼성동),127.065059,37.510415,프렌차이즈,이디야,삼성한전점,,
,,,,02-568-5580,,,"서울 강남구 선릉로 519 (역삼동, 삼능빌딩) 1층",127.048005,37.505859,프렌차이즈,이디야,선릉사거리점,,
,,,,02-538-5535,,,"서울 강남구 선릉로86길 15 (대치동, 현대선릉 GOLD TOWER) 105호",127.050838,37.503526,프렌차이즈,이디야,선릉점,,
,,,,02-565-0050,,,서울 강남구 봉은사로 326 (역삼동),127.042672,37.509637,프렌차이즈,이디야,선정릉역점,,
,,,,02-451-5937,,,"서울 강남구 광평로 280 (수서동, 로즈데일오피스텔) 1층",127.103139,37.487306,프렌차이즈,이디야,수서역점,,
,,,,02-511-9878,,,서울 강남구 압구정로2길 62 (신사동) 1층,127.021452,37.517775,프렌차이즈,이디야,신사역점,,
,,,,02-511-5535,,,서울 강남구 도산대로 118 (논현동) 1층,127.021813,37.516608,프렌차이즈,이디야,신사점,,
,,,,02-511-1888,,,서울 강남구 선릉로161길 20 (신사동) 1층 102호,127.038839,37.527524,프렌차이즈,이디야,압구정로데오역점,,
,,,,02-537-9199,,,서울 강남구 신사동 576-10 106호,127.02691,37.524803,프렌차이즈,이디야,압구정점,,
,,,,02-516-0083,,,"서울 강남구 압구정로 214 (신사동, 현대종합상가빌딩) 15,16호 이디야커피",127.030729,37.527996,프렌차이즈,이디야,압구정현대점,,
,,,,02-565-5510,,,"서울 강남구 논현로63길 16 (역삼동, 역삼종합시장 더블루) 106호",127.039145,37.493,프렌차이즈,이디야,역삼더블루점,,
