,지점명,판매물품
0,강남YMCA점,달고나 라떼
1,강남YMCA점,흑당 라떼
2,강남YMCA점,버블 흑당 라떼
3,강남YMCA점,카페 아메리카노
4,강남YMCA점,카페 라떼
5,강남YMCA점,콜드브루 아인슈페너
6,강남YMCA점,디카페인 콜드브루 아메리카노
7,강남YMCA점,밥대신라이스 쉐이크
8,강남YMCA점,버블 크림 밀크티
9,강남YMCA점,에스프레소
10,강남구청역아이티웨딩점,달고나 라떼
11,강남구청역아이티웨딩점,흑당 라떼
12,강남구청역아이티웨딩점,버블 흑당 라떼
13,강남구청역아이티웨딩점,카페 아메리카노
14,강남구청역아이티웨딩점,카페 라떼
15,강남구청역아이티웨딩점,콜드브루 아인슈페너
16,강남구청역아이티웨딩점,디카페인 콜드브루 아메리카노
17,강남구청역아이티웨딩점,밥대신라이스 쉐이크
18,강남구청역아이티웨딩점,버블 크림 밀크티
19,강남구청역아이티웨딩점,에스프레소
20,강남논현학동점,달고나 라떼
21,강남논현학동점,흑당 라떼
22,강남논현학동점,버블 흑당 라떼
23,강남논현학동점,카페 아메리카노
24,강남논현학동점,카페 라떼
25,강남논현학동점,콜드브루 아인슈페너
26,강남논현학동점,디카페인 콜드브루 아메리카노
27,강남논현학동점,밥대신라이스 쉐이크
28,강남논현학동점,버블 크림 밀크티
29,강남논현학동점,에스프레소
30,강남도산점,달고나 라떼
31,강남도산점,흑당 라떼
32,강남도산점,버블 흑당 라떼
33,강남도산점,카페 아메리카노
34,강남도산점,카페 라떼
35,강남도산점,콜드브루 아인슈페너
36,강남도산점,디카페인 콜드브루 아메리카노
37,강남도산점,밥대신라이스 쉐이크
38,강남도산점,버블 크림 밀크티
39,강남도산점,에스프레소
40,강남세곡점,달고나 라떼
41,강남세곡점,흑당 라떼
42,강남세곡점,버블 흑당 라떼
43,강남세곡점,카페 아메리카노
44,강남세곡점,카페 라떼
45,강남세곡점,콜드브루 아인슈페너
46,강남세곡점,디카페인 콜드브루 아메리카노
47,강남세곡점,밥대신라이스 쉐이크
48,강남세곡점,버블 크림 밀크티
49,강남세곡점,에스프레소
50,강남자곡점,달고나 라떼
51,강남자곡점,흑당 라떼
52,강남자곡점,버블 흑당 라떼
53,강남자곡점,카페 아메리카노
54,강남자곡점,카페 라떼
55,강남자곡점,콜드브루 아인슈페너
56,강남자곡점,디카페인 콜드브루 아메리카노
57,강남자곡점,밥대신라이스 쉐이크
58,강남자곡점,버블 크림 밀크티
59,강남자곡점,에스프레소
60,개포동역점,달고나 라떼
61,개포동역점,흑당 라떼
62,개포동역점,버블 흑당 라떼
63,개포동역점,카페 아메리카노
64,개포동역점,카페 라떼
65,개포동역점,콜드브루 아인슈페너
66,개포동역점,디카페인 콜드브루 아메리카노
67,개포동역점,밥대신라이스 쉐이크
68,개포동역점,버블 크림 밀크티
69,개포동역점,에스프레소
70,건설회관점,달고나 라떼
71,건설회관점,흑당 라떼
72,건설회관점,버블 흑당 라떼
73,건설회관점,카페 아메리카노
74,건설회관점,카페 라떼
75,건설회관점,콜드브루 아인슈페너
76,건설회관점,디카페인 콜드브루 아메리카노
77,건설회관점,밥대신라이스 쉐이크
78,건설회관점,버블 크림 밀크티
79,건설회관점,에스프레소
80,대청역점,달고나 라떼
81,대청역점,흑당 라떼
82,대청역점,버블 흑당 라떼
83,대청역점,카페 아메리카노
84,대청역점,카페 라떼
85,대청역점,콜드브루 아인슈페너
86,대청역점,디카페인 콜드브루 아메리카노
87,대청역점,밥대신라이스 쉐이크
88,대청역점,버블 크림 밀크티
89,대청역점,에스프레소
90,대치역점,달고나 라떼
91,대치역점,흑당 라떼
92,대치역점,버블 흑당 라떼
93,대치역점,카페 아메리카노
94,대치역점,카페 라떼
95,대치역점,콜드브루 아인슈페너
96,대치역점,디카페인 콜드브루 아메리카노
97,대치역점,밥대신라이스 쉐이크
98,대치역점,버블 크림 밀크티
99,대치역점,에스프레소
100,대치포스코점,달고나 라떼
101,대치포스코점,흑당 라떼
102,대치포스코점,버블 흑당 라떼
103,대치포스코점,카페 아메리카노
104,대치포스코점,카페 라떼
105,대치포스코점,콜드브루 아인슈페너
106,대치포스코점,디카페인 콜드브루 아메리카노
107,대치포스코점,밥대신라이스 쉐이크
108,대치포스코점,버블 크림 밀크티
109,대치포스코점,에스프레소
110,도곡2동점,달고나 라떼
111,도곡2동점,흑당 라떼
112,도곡2동점,버블 흑당 라떼
113,도곡2동점,카페 아메리카노
114,도곡2동점,카페 라떼
115,도곡2동점,콜드브루 아인슈페너
116,도곡2동점,디카페인 콜드브루 아메리카노
117,도곡2동점,밥대신라이스 쉐이크
118,도곡2동점,버블 크림 밀크티
119,도곡2동점,에스프레소
120,도산사거리점,달고나 라떼
121,도산사거리점,흑당 라떼
122,도산사거리점,버블 흑당 라떼
123,도산사거리점,카페 아메리카노
