브랜드명,지점명,업체유형,도로명주소,위도,경도,지역,ID,연락처,주차시설,평점,판매자ID,판매상품목록
GS25,학장공단점,편의점,"부산광역시 사상구 가야대로176번길 24, (학장동)",35.14857333,128.991098,부산,,,,,,
GS25,당리행운점,편의점,"부산광역시 사하구 낙동대로450번길 2, (당리동)",35.10542351,128.9698771,부산,,,,,,
이디야,부산다대포점,프렌차이즈,"부산광역시 사하구 다대로 682, (다대동)",35.04820024,128.9666901,부산,,,,,,
GS25,부곡점,편의점,"부산광역시 금정구 부곡로141번길 10, (부곡동)",35.22875199,129.0917207,부산,,,,,,
GS25,대동점,편의점,"부산광역시 해운대구 대천로103번길 29, (좌동, 대동타운)",35.1765208,129.1713827,부산,,,,,,
GS25,유성점,편의점,"부산광역시 부산진구 황령대로 9, (범천동)",35.1479399,129.0605921,부산,,,,,,
GS25,편의점,편의점,"부산광역시 연제구 중앙대로1066번길 11, (연산동)",35.18291219,129.0801611,부산,,,,,,
GS25,화명벽산점,편의점,"부산광역시 북구 양달로 6, (화명동)",35.24158111,129.014785,부산,,,,,,
GS25,남항시장점,편의점,"부산광역시 영도구 남항로31번길 43, (대교동2가)",35.09093571,129.0408041,부산,,,,,,
GS25,초량일신점,편의점,"부산광역시 동구 중앙대로320번길 3-2, (초량동)",35.12483057,129.0457883,부산,,,,,,
GS25,사상감전점,편의점,"부산광역시 사상구 낙동대로 910, (감전동)",35.141393,128.9705779,부산,,,,,,
맥도날드,토곡점,프렌차이즈,"부산광역시 연제구 과정로 226, (연산동)",35.18819083,129.102553,부산,,,,,,
GS25,구포점,편의점,"부산광역시 북구 낙동대로1780번길 106, (구포동)",35.20564674,129.0034982,부산,,,,,,
맥도날드,메가마트남천점,프렌차이즈,"부산광역시 수영구 황령대로 521, (남천동)",35.13727529,129.1110176,부산,,,,,,
탐앤탐스,부산동래온천장점,프렌차이즈,"부산광역시 동래구 온천장로 81-1, (온천동)",35.21865105,129.0822929,부산,,,,,,
GS25,남산점,편의점,"부산광역시 금정구 금강로 645, (남산동)",35.26507047,129.0884929,부산,,,,,,
GS25,부산본점,편의점,"부산광역시 연제구 월드컵대로 190, (거제동)",35.18837425,129.0761488,부산,,,,,,
GS25,카톨릭대점,편의점,"부산광역시 금정구 오륜대로 51, (부곡동)",35.2437025,129.0970741,부산,,,,,,
GS25,망미토현점,편의점,"부산광역시 연제구 토현로 10, (연산동, 주공)",35.17853116,129.1110846,부산,,,,,,
