브랜드명,지점명,업체유형,도로명주소,위도,경도,지역,ID,연락처,주차시설,평점,판매자ID,판매상품목록
맥도날드,청주비하점,프렌차이즈,충청북도 청주시 흥덕구 2순환로 1076,36.63869587,127.4222388,충북,,,,,,
GS25,호암진도점,편의점,충청북도 충주시 호암중앙2로 27,36.95579771,127.9399218,충북,,,,,,
GS25,청주점,편의점,"충청북도 청주시 서원구 구룡산로 242, (수곡동)",36.61591036,127.4721124,충북,,,,,,
GS25,내덕중앙점,편의점,충청북도 청주시 청원구 중앙로 193-2,36.65460369,127.4875633,충북,,,,,,
GS25,충주예성점,편의점,충청북도 충주시 예성로 214,36.97535064,127.9352339,충북,,,,,,
GS25,편의점,편의점,"충청북도 청주시 서원구 남이면 청남로 1269, (척산리)",36.5628328,127.4394501,충북,,,,,,
GS25,주성대점,편의점,충청북도 청주시 청원구 내수읍 덕암길 11-1,36.69935012,127.5480475,충북,,,,,,
GS25,GS슈퍼점,편의점,"충청북도 청주시 상당구 산성로116번길 44, (용담동)",36.63211692,127.506397,충북,,,,,,
버거킹,복대점,프렌차이즈,"충청북도 청주시 흥덕구 대농로 47, (복대동)",36.64233565,127.4276131,충북,,,,,,
GS25,성화만복점,편의점,"충청북도 청주시 서원구 장전로 81, (성화동)",36.61760087,127.457232,충북,,,,,,
GS25,호암점,편의점,충청북도 충주시 호암대로 1,36.96011619,127.9271615,충북,,,,,,
이디야,청주성화동점,프렌차이즈,"충청북도 청주시 서원구 신화로 42, (성화동)",36.61859298,127.4554251,충북,,,,,,
GS25,충청대학사점,편의점,"충청북도 청주시 흥덕구 강내면 월곡길 20-15, (월곡리)",36.62203855,127.3683737,충북,,,,,,
이디야,개신점,프렌차이즈,"충청북도 청주시 서원구 복대로 31, (개신동)",36.61993309,127.4450742,충북,,,,,,
스타벅스,청주터미널점,프렌차이즈,"충청북도 청주시 흥덕구 풍산로 15, (가경동)",36.6265597,127.432258,충북,,,,,,
GS25,충주연수점,편의점,충청북도 충주시 금곡로 55,36.99050949,127.9374791,충북,,,,,,
스타벅스,청주강서점,프렌차이즈,충청북도 청주시 흥덕구 강서로 121,36.62538452,127.4296168,충북,,,,,,
스타벅스,충북대점,프렌차이즈,"충청북도 청주시 서원구 내수동로 113, (사창동)",36.63398714,127.4597113,충북,,,,,,
맥도날드,청주성화점,프렌차이즈,"충청북도 청주시 서원구 서부로 1344, (성화동)",36.61718726,127.4476316,충북,,,,,,
스타벅스,충주연수점,프렌차이즈,충청북도 충주시 계명대로 227,36.98273367,127.9399118,충북,,,,,,
스타벅스,충주성서점,프렌차이즈,충청북도 충주시 예성로 151,36.97051008,127.9329132,충북,,,,,,
이디야,충북대점,프렌차이즈,"충청북도 청주시 서원구 내수동로 116, (사창동)",36.63374626,127.4602497,충북,,,,,,
GS25,영동부용점,편의점,충청북도 영동군 영동읍 학산영동로 1197,36.16999758,127.7703321,충북,,,,,,
스타벅스,청주서문점,프렌차이즈,"충청북도 청주시 상당구 무심동로392번길 20, (서문동)",36.63534714,127.4860023,충북,,,,,,
버거킹,청주터미널점,프렌차이즈,"충청북도 청주시 흥덕구 풍산로 15, (가경동)",36.6265597,127.432258,충북,,,,,,
스타벅스,오창과학단지점,프렌차이즈,충청북도 청주시 청원구 오창읍 과학산업2로 385,36.71649258,127.4232687,충북,,,,,,
GS25,송산주공점,편의점,충청북도 증평군 증평읍 송산로 53,36.79025076,127.5766129,충북,,,,,,
GS25,강내한빛점,편의점,"충청북도 청주시 흥덕구 강내면 태성탑연로 391-34, (탑연리, 선광한빛)",36.6180492,127.3538056,충북,,,,,,
이디야,오창과학단지점,프렌차이즈,충청북도 청주시 청원구 오창읍 오창대로 315,36.71148558,127.427761,충북,,,,,,
GS25,음성대소점,편의점,충청북도 음성군 대소면 대동로 865,36.96493128,127.4907693,충북,,,,,,
GS25,단양중앙로점,편의점,충청북도 단양군 단양읍 중앙2로 15,36.98629597,128.3711849,충북,,,,,,
GS25,극동정보대점,편의점,충청북도 음성군 감곡면 대학길 266,37.14322539,127.6445234,충북,,,,,,
GS25,충주대후문점,편의점,충청북도 충주시 대소원면 하검단2길 67,36.97453376,127.8724041,충북,,,,,,
GS25,청주블루점,편의점,"충청북도 청주시 흥덕구 짐대로72번길 40, (복대동)",36.63111838,127.4281881,충북,,,,,,
GS25,주성대로점,편의점,충청북도 청주시 청원구 충청대로 238,36.67708666,127.4976403,충북,,,,,,
GS25,청주상당점,편의점,"충청북도 청주시 상당구 1순환로1253번길 18, (용암동)",36.6086676,127.5042884,충북,,,,,,
GS25,괴산중앙점,편의점,충청북도 괴산군 괴산읍 읍내로12길 21,36.81027238,127.7932817,충북,,,,,,
GS25,단월학사점,편의점,충청북도 충주시 충열1길 28,36.94893356,127.9032115,충북,,,,,,
GS25,청원오송점,편의점,"충청북도 청주시 흥덕구 오송읍 궁평길 101, (궁평리)",36.62145217,127.3335188,충북,,,,,,
GS25,옥산중앙점,편의점,"충청북도 청주시 흥덕구 옥산면 청주역로 631, (오산리)",36.66386469,127.3754486,충북,,,,,,
GS25,오창공단점,편의점,충청북도 청주시 청원구 오창읍 과학산업4로 10,36.69697665,127.4203817,충북,,,,,,
GS25,영동대사랑점,편의점,충청북도 영동군 영동읍 대학로 97,36.18621214,127.7801355,충북,,,,,,
GS25,진천주공점,편의점,충청북도 진천군 진천읍 문화로 237-17,36.86147139,127.4375233,충북,,,,,,
GS25,봉명중앙점,편의점,충청북도 청주시 흥덕구 덕암로 79,36.6529723,127.4629677,충북,,,,,,
GS25,청주내덕점,편의점,충청북도 청주시 청원구 안덕벌로 37-1,36.65776221,127.4927772,충북,,,,,,
GS25,청주삼익점,편의점,"충청북도 청주시 서원구 창직로12번길 42, (사창동)",36.62893958,127.4635258,충북,,,,,,
