브랜드명,지점명,업체유형,도로명주소,위도,경도,ID,연락처,주차시설,평점,판매자ID,판매상품목록
버거킹,쌍용대로디티점,프렌차이즈,"충청남도 천안시 동남구 쌍용대로 94, (봉명동)",36.805677218448,127.13279255163602,,,,,,
GS25,신관프라자,편의점,충청남도 공주시 번영2로 79,36.4731075988015,127.137315536647,,,,,,
GS25,아산배방점,편의점,충청남도 아산시 배방읍 배방로 76,36.770294780574396,127.054388556112,,,,,,
이디야,홍성중앙점,프렌차이즈,충청남도 홍성군 홍성읍 조양로144번길 10,36.6013255073841,126.66550210468701,,,,,,
GS25,천안해밀점,편의점,"충청남도 천안시 동남구 목천읍 천안대로 103, (삼성리)",36.7587377418592,127.17106485712699,,,,,,
GS25,편의점,편의점,"충청남도 천안시 동남구 청수10길 31, (삼룡동)",36.7827502577998,127.16280709985901,,,,,,
맥도날드,서산점,프렌차이즈,충청남도 서산시 충의로 3,36.7728237446724,126.441142525513,,,,,,
GS25,배방모산점,편의점,충청남도 아산시 배방읍 모산로 33,36.7726557391798,127.046473481593,,,,,,
GS25,편의점,편의점,"충청남도 천안시 동남구 청수로 103, (청수동)",36.7923014652545,127.156260441012,,,,,,
스타벅스,천안이마트점,프렌차이즈,"충청남도 천안시 서북구 충무로 187, (쌍용동)",36.7959209895002,127.12709820982401,,,,,,
탐앤탐스,1,프렌차이즈,충청남도 당진시 신평면 서해안고속도로 275,36.9451359355639,126.80712630416599,,,,,,
GS25,천안원앙점,편의점,"충청남도 천안시 동남구 신촌로 5, (신방동, 삼일원앙)",36.7893096168797,127.12019293126001,,,,,,
GS25,계룡점,편의점,충청남도 계룡시 신도안면 계룡대로 663,36.3213365721217,127.223420672384,,,,,,
GS25,편의점,편의점,충청남도 아산시 외암로 1247,36.7473206417935,127.01399896634399,,,,,,
GS25,아산스타점,편의점,충청남도 아산시 번영로224번길 13,36.78300847594821,127.01530087709499,,,,,,
