,물건명,가격,대분류,중분류,소분류,업데이트,바코드,ID
,조지아에메랄드에스프레소,2200,편의점,커피,,,,
,프렌치카라멜캔,1000,편의점,커피,,,,
,조지아카페라떼캔,1100,편의점,커피,,,,
,조지아오리지널캔,1000,편의점,커피,,,,
,조지아맥스캔,1100,편의점,커피,,,,
,조지아에메랄드블랙중,2200,편의점,커피,,,,
,조지아에메랄드라떼중,2200,편의점,커피,,,,
,맥스웰캔,700,편의점,커피,,,,
,맥스웰블루엣캔,700,편의점,커피,,,,
,티오피아메리카노캔,1100,편의점,커피,,,,
,티오피마스터라떼캔,1100,편의점,커피,,,,
,티오피더블랙캔,1100,편의점,커피,,,,
,티오피초콜렛모카캔,1100,편의점,커피,,,,
,칸타타아메리카노중,2200,편의점,커피,,,,
,칸타타프리미엄중,2200,편의점,커피,,,,
,칸타타더치블랙중,2200,편의점,커피,,,,
,롯)칸타타카라멜중,2200,편의점,커피,,,,
,바바스윗아메리카노캔,1100,편의점,커피,,,,
,바바프리미엄라떼캔,1100,편의점,커피,,,,
,티오피아메리카노중,2200,편의점,커피,,,,
,칸타타프리미엄캔,1200,편의점,커피,,,,
,칸타타아메리카노캔,1200,편의점,커피,,,,
,티오피마스터라떼중,2200,편의점,커피,,,,
,조지아에메랄드스윗캔,1100,편의점,커피,,,,
,드롭탑아침에커피,1500,편의점,커피,,,,
,조지아에메랄드라떼캔,1100,편의점,커피,,,,
,바리스타병라떼,2500,편의점,커피,,,,
,바리스타병마끼아또,2500,편의점,커피,,,,
,티오피초콜렛모카중,2200,편의점,커피,,,,
,티오피더블랙중,2200,편의점,커피,,,,
,프렌치카라멜마끼아또병,1300,편의점,커피,,,,
,프렌치카페오레병,1300,편의점,커피,,,,
,프렌치카페오레캔,1000,편의점,커피,,,,
,레쓰비카페타임라떼,1000,편의점,커피,,,,
,레쓰비캔,850,편의점,커피,,,,
,더치아메리카노,1100,편의점,커피,,,,
,더치라떼,1100,편의점,커피,,,,
,남)프렌치더블샷라떼병,2500,편의점,커피,,,,
,남)프렌치더블샷라떼캔,1400,편의점,커피,,,,
,남)프렌치더블샷모카캔,1400,편의점,커피,,,,
,남)프렌치더블샷카라멜캔,1400,편의점,커피,,,,
,레쓰비카페타임모닝커피,900,편의점,커피,,,,
,레쓰비카페타임아메리카노,1000,편의점,커피,,,,
,스타벅스더블샷중캔,3000,편의점,커피,,,,
,레쓰비모카라떼캔,850,편의점,커피,,,,
,스타벅스병바닐라,2900,편의점,커피,,,,
,스타아메리카노캔,1500,편의점,커피,,,,
,동)할리스카라멜마끼아또,1500,편의점,커피,,,,
,동)할리스민트초코,1500,편의점,커피,,,,
,스타벅스병모카,2900,편의점,커피,,,,
,스타벅스병밀크,2900,편의점,커피,,,,
,스타벅스더블캔,1500,편의점,커피,,,,
