브랜드명,지점명,업체유형,도로명주소,위도,경도,ID,연락처,주차시설,평점,판매자ID,판매상품목록
버거킹,대구역롯데점,프렌차이즈,"대구광역시 북구 태평로 161, (칠성동2가)",35.8758837954898,128.59613079856,,,,,,
버거킹,대구문화점,프렌차이즈,"대구광역시 중구 동성로2길 95, (동성로2가)",35.8702015577367,128.596918761175,,,,,,
GS25,팔공산점,편의점,"대구광역시 동구 팔공산로185길 71-1, (용수동)",35.9887771922071,128.694273059069,,,,,,
GS25,동천점,편의점,"대구광역시 북구 구암로 143, (동천동)",35.9320276328901,128.556533818095,,,,,,
GS25,경대기숙사점,편의점,"대구광역시 북구 대현로19길 42, (대현동)",35.88615175912229,128.610107971957,,,,,,
GS25,지산캐슬점,편의점,"대구광역시 수성구 청수로40길 20, (지산동)",35.8384690824064,128.629855481643,,,,,,
맥도날드,SKDT점,프렌차이즈,"대구광역시 달서구 달서대로 455, (호산동)",35.84003384975821,128.491510263159,,,,,,
GS25,대구의료원점,편의점,"대구광역시 서구 평리로 157, (중리동)",35.8593412261925,128.541620411383,,,,,,
GS25,월성센트로점,편의점,"대구광역시 달서구 월성로 42, (월성동)",35.831628655746705,128.53078428921998,,,,,,
GS25,중구반월당점,편의점,대구광역시 중구 달구벌대로 2100,35.864432724458,128.593354331461,,,,,,
GS25,대명문화점,편의점,"대구광역시 남구 중앙대로49길 15, (대명동)",35.8552848556754,128.589577179849,,,,,,
스타벅스,동성로중앙점,프렌차이즈,"대구광역시 중구 동성로5길 38, (삼덕동1가)",35.8675078052018,128.5966770941,,,,,,
GS25,테크노원룸점,편의점,"대구광역시 달성군 유가읍 테크노중앙대로6길 25, (봉리)",35.697871277466795,128.460326646712,,,,,,
스타벅스,대구법원점,프렌차이즈,"대구광역시 수성구 동대구로 376, (범어동, 범어숲화성파크드림에스아파트)",35.864537244460294,128.627769586325,,,,,,
GS25,대구봉무,편의점,"대구광역시 동구 팔공로53길 40, (봉무동, 이시아폴리스더샵4차)",35.9264306683761,128.636325728497,,,,,,
스타벅스,대구상인DT점,프렌차이즈,"대구광역시 달서구 월곡로 334, (상인동)",35.82279130566079,128.533791042123,,,,,,
GS25,화원유천점,편의점,"대구광역시 달성군 화원읍 비슬로 2707-1, (구라리)",35.809197793519104,128.511304030926,,,,,,
GS25,논공공단점,편의점,"대구광역시 달성군 논공읍 논공로23길 1, (북리)",35.7295071760181,128.446381280516,,,,,,
스타벅스,대구성서ICDT점,프렌차이즈,"대구광역시 달서구 달구벌대로 1393, (용산동)",35.850711377161396,128.520117204754,,,,,,
GS25,대명남로점,편의점,"대구광역시 남구 대명남로 172, (대명동)",35.835427281514,128.576856034969,,,,,,
스타벅스,대구죽곡점,프렌차이즈,"대구광역시 달성군 다사읍 달구벌대로 861, (매곡리)",35.8591602989892,128.46425782696699,,,,,,
맥도날드,방촌점,프렌차이즈,"대구광역시 동구 동촌로 243, (방촌동)",35.8811092193097,128.666851626446,,,,,,
탐앤탐스,만경관점,프렌차이즈,"대구광역시 중구 국채보상로 547, (종로1가)",35.8709637215835,128.590424172202,,,,,,
