브랜드명,지점명,업체유형,도로명주소,위도,경도,지역,ID,연락처,주차시설,평점,판매자ID,판매상품목록
GS25,대전관저점,편의점,"대전광역시 서구 관저로 157, (관저동)",36.29930627,127.3397771,대전,,,,,,
맥도날드,대전한남대디티점,프렌차이즈,"대전광역시 대덕구 한밭대로 1102, (중리동)",36.35840894,127.4212308,대전,,,,,,
맥도날드,대전신탄진디티점,프렌차이즈,"대전광역시 대덕구 신탄진로 605, (상서동)",36.43268982,127.4231669,대전,,,,,,
GS25,대성고점,편의점,"대전광역시 중구 목동로 23, (목동)",36.33192362,127.4070244,대전,,,,,,
GS25,신탄진대청점,편의점,"대전광역시 대덕구 신탄진동로48번길 17, (신탄진동, 대청)",36.44765563,127.4355834,대전,,,,,,
GS25,둔산애플점,편의점,"대전광역시 서구 대덕대로 179, (둔산동)",36.34940749,127.3768331,대전,,,,,,
버거킹,대전세이점,프렌차이즈,"대전광역시 중구 계백로 1700, (문화동)",36.32063071,127.4088028,대전,,,,,,
탐앤탐스,송촌점,프렌차이즈,"대전광역시 대덕구 계족산로81번길 116, (송촌동)",36.367314,127.4364651,대전,,,,,,
GS25,관저북로점,편의점,"대전광역시 서구 관저북로 21, (관저동)",36.30371464,127.3367448,대전,,,,,,
GS25,유천하나점,편의점,"대전광역시 중구 유천로 101, (유천동)",36.32143253,127.3961227,대전,,,,,,
GS25,대전은혜점,편의점,"대전광역시 유성구 계룡로 40, (봉명동)",36.35526731,127.3353383,대전,,,,,,
GS25,원내중앙점,편의점,"대전광역시 유성구 진잠로78번길 19, (원내동, 건영빌리지I)",36.2991146,127.3168874,대전,,,,,,
GS25,관저느리울점,편의점,"대전광역시 서구 관저동로 66, (관저동)",36.29806028,127.3410012,대전,,,,,,
GS25,괴정타운점,편의점,"대전광역시 서구 괴정로98번길 1, (괴정동)",36.33845895,127.3841053,대전,,,,,,
GS25,둔산우리점,편의점,"대전광역시 서구 청사로 224, (둔산동)",36.35947274,127.38872,대전,,,,,,
GS25,둔산플러스점,편의점,"대전광역시 서구 둔산중로14번길 36, (탄방동)",36.34762202,127.3888572,대전,,,,,,
GS25,편의점,편의점,"대전광역시 서구 계백로 1322, (정림동)",36.30822322,127.3705132,대전,,,,,,
스타벅스,대전터미널점,프렌차이즈,"대전광역시 동구 동서대로1695번길 4, (용전동)",36.3499364,127.438061,대전,,,,,,
스타벅스,대전전민점,프렌차이즈,"대전광역시 유성구 유성대로 1722, (전민동)",36.39945766,127.400514,대전,,,,,,
스타벅스,대전중앙로역점,프렌차이즈,"대전광역시 중구 대종로 486, (은행동)",36.32794547,127.4266019,대전,,,,,,
GS25,우송자영점,편의점,"대전광역시 동구 백룡로 27-1, (자양동)",36.33532008,127.4501183,대전,,,,,,
버거킹,대전세종SK점,프렌차이즈,"대전광역시 유성구 북유성대로 288, (하기동)",36.39077652,127.3162201,대전,,,,,,
이디야,유성온천점,프렌차이즈,"대전광역시 유성구 계룡로 92, (봉명동, 유성시제이나인파크아파트)",36.35362965,127.3406891,대전,,,,,,
맥도날드,가장DT점,프렌차이즈,"대전광역시 서구 도산로 324, (가장동)",36.334374,127.3889273,대전,,,,,,
스타벅스,대전대덕로점,프렌차이즈,"대전광역시 서구 대덕대로234번길 18, (둔산동)",36.35334757,127.3806122,대전,,,,,,
