브랜드명,지점명,업체유형,도로명주소,위도,경도,지역,ID,연락처,주차시설,평점,판매자ID,판매상품목록
GS25,도곡푸른점,편의점,"서울특별시 강남구 강남대로 272, 102동  (도곡동, 도곡푸르지오)",37.4877664,127.0328903,서울,,,,,,
스타벅스,뱅뱅사거리점,프렌차이즈,"서울특별시 강남구 강남대로 282, (도곡동)",37.48855591,127.032473,서울,,,,,,
스타벅스,랜드마크점,프렌차이즈,"서울특별시 강남구 강남대로 308, (역삼동)",37.49065888,127.0318013,서울,,,,,,
탐앤탐스,강남2호점,프렌차이즈,"서울특별시 강남구 강남대로 324, (역삼동)",37.49221059,127.0309332,서울,,,,,,
스타벅스,강남우성점,프렌차이즈,"서울특별시 강남구 강남대로 328, (역삼동)",37.4923528,127.0306939,서울,,,,,,
GS25,역삼성우점,편의점,"서울특별시 강남구 강남대로 328, (역삼동)",37.4923528,127.0306939,서울,,,,,,
버거킹,강남진솔점,프렌차이즈,"서울특별시 강남구 강남대로 368, (역삼동)",37.49571979,127.0292367,서울,,,,,,
버거킹,강남진솔점,프렌차이즈,"서울특별시 강남구 강남대로 368, (역삼동)",37.49571979,127.0292367,서울,,,,,,
버거킹,강남진솔점,프렌차이즈,"서울특별시 강남구 강남대로 368, (역삼동)",37.49571979,127.0292367,서울,,,,,,
이디야,강남역지하상가점,프렌차이즈,서울특별시 강남구 강남대로 390,37.49783175,127.0285648,서울,,,,,,
스타벅스,강남점,프렌차이즈,"서울특별시 강남구 강남대로 390, (역삼동)",37.49783175,127.0285648,서울,,,,,,
이디야,강남역지하상가점,프렌차이즈,서울특별시 강남구 강남대로 396,37.49815386,127.0282892,서울,,,,,,
버거킹,강남대로점,프렌차이즈,"서울특별시 강남구 강남대로 406, (역삼동)",37.49893221,127.0276118,서울,,,,,,
버거킹,강남대로점,프렌차이즈,"서울특별시 강남구 강남대로 406, (역삼동)",37.49893221,127.0276118,서울,,,,,,
스타벅스,강남점,프렌차이즈,서울특별시 강남구 강남대로 408,37.49921076,127.0275177,서울,,,,,,
GS25,강남신성점,편의점,"서울특별시 강남구 강남대로 408, (역삼동)",37.49921076,127.0275177,서울,,,,,,
이디야,에스프레소,프렌차이즈,서울특별시 강남구 강남대로 432,37.50123065,127.0266094,서울,,,,,,
스타벅스,강남대로점,프렌차이즈,"서울특별시 강남구 강남대로 456, (역삼동)",37.5031322,127.0255555,서울,,,,,,
이마트24,R강남대로점,편의점,서울특별시 강남구 강남대로 528,37.50928922,127.0226251,서울,,,,,,
탐앤탐스,신사역점,프렌차이즈,"서울특별시 강남구 강남대로 596, (논현동)",37.51500994,127.0203333,서울,,,,,,
GS25,강남아트점,편의점,"서울특별시 강남구 강남대로102길 40, (역삼동)",37.5034345,127.0283451,서울,,,,,,
GS25,논현미래점,편의점,"서울특별시 강남구 강남대로112길 20, (논현동)",37.50550591,127.0260336,서울,,,,,,
GS25,논현영동시장점,편의점,"서울특별시 강남구 강남대로122길 20, (논현동)",37.50804405,127.0245981,서울,,,,,,
GS25,논현타운점,편의점,"서울특별시 강남구 강남대로124길 36, (논현동)",37.50930422,127.0255318,서울,,,,,,
GS25,논현대지본점,편의점,"서울특별시 강남구 강남대로124길 5, (논현동)",37.50886988,127.0231282,서울,,,,,,
GS25,논현금옥점,편의점,"서울특별시 강남구 강남대로132길 48, (논현동)",37.51294026,127.0250208,서울,,,,,,
GS25,학동공원점,편의점,"서울특별시 강남구 강남대로146길 27, (논현동)",37.51529737,127.0223997,서울,,,,,,
GS25,논현행운점,편의점,"서울특별시 강남구 강남대로150길 11, (논현동)",37.51603186,127.0207838,서울,,,,,,
GS25,신사현대점,편의점,"서울특별시 강남구 강남대로152길 5, (신사동)",37.51717851,127.0199769,서울,,,,,,
GS25,신사코원점,편의점,"서울특별시 강남구 강남대로162길 41-19, (신사동)",37.52192513,127.0208312,서울,,,,,,
이디야,역삼초교점,프렌차이즈,"서울특별시 강남구 강남대로66길 14, (역삼동)",37.49172239,127.0318328,서울,,,,,,
GS25,강남태극점,편의점,"서울특별시 강남구 강남대로78길 18, (역삼동)",37.49502131,127.0308629,서울,,,,,,
GS25,강남신성점,편의점,"서울특별시 강남구 강남대로94길 10, (역삼동)",37.49918922,127.0281853,서울,,,,,,
GS25,강남신성점,편의점,서울특별시 강남구 강남대로94길 14,37.49928239,127.0285573,서울,,,,,,
GS25,강남목화점,편의점,서울특별시 강남구 강남대로94길 23,37.49973807,127.0291847,서울,,,,,,
GS25,강남와이비엠점,편의점,"서울특별시 강남구 강남대로94길 9, (역삼동)",37.49947669,127.0280798,서울,,,,,,
GS25,역삼태양점,편의점,"서울특별시 강남구 강남대로94길 95, (역삼동)",37.50110974,127.0349349,서울,,,,,,
GS25,강남시티힐점,편의점,"서울특별시 강남구 강남대로98길 17, (역삼동)",37.50097135,127.0279473,서울,,,,,,
이마트24,포이사거리점,편의점,서울특별시 강남구 개포로 202,37.47816022,127.0449648,서울,,,,,,
이디야,포이사거리점,프렌차이즈,"서울특별시 강남구 개포로 218, (개포동)",37.4784888,127.0466001,서울,,,,,,
이디야,대청역점,프렌차이즈,"서울특별시 강남구 개포로109길 34, (개포동)",37.49419735,127.0776351,서울,,,,,,
탐앤탐스,일원점,프렌차이즈,"서울특별시 강남구 개포로140길 30, (일원동)",37.49372582,127.0865296,서울,,,,,,
GS25,강남개포점,편의점,"서울특별시 강남구 개포로15길 10, (개포동)",37.47918115,127.0453024,서울,,,,,,
이마트24,강남국악고점,편의점,서울특별시 강남구 개포로22길 47,37.47628172,127.0500199,서울,,,,,,
GS25,포이그린점,편의점,"서울특별시 강남구 개포로25길 15, (개포동)",37.47997769,127.0479832,서울,,,,,,
이디야,개포역점,프렌차이즈,"서울특별시 강남구 개포로82길 11, (개포동)",37.48854865,127.0674257,서울,,,,,,
버거킹,수서점,프렌차이즈,"서울특별시 강남구 광평로 280, (수서동)",37.48731104,127.1030943,서울,,,,,,
버거킹,수서점,프렌차이즈,"서울특별시 강남구 광평로 280, (수서동)",37.48731104,127.1030943,서울,,,,,,
GS25,수서역점,편의점,"서울특별시 강남구 광평로 280, (수서동)",37.48731104,127.1030943,서울,,,,,,
GS25,서울로봇고점,편의점,"서울특별시 강남구 광평로10길 50, (일원동, 청솔빌리지)",37.48105842,127.0832352,서울,,,,,,
GS25,세곡1단지점,편의점,"서울특별시 강남구 광평로34길 55, (수서동, 강남데시앙포레)",37.4808953,127.0924522,서울,,,,,,
스타벅스,양재강남빌딩R점,프렌차이즈,서울특별시 강남구 남부순환로 2621,37.48524679,127.036609,서울,,,,,,
GS25,도곡LG점,편의점,"서울특별시 강남구 남부순환로 2621, (도곡동)",37.48524679,127.036609,서울,,,,,,
GS25,도곡점,편의점,"서울특별시 강남구 남부순환로 2730, (도곡동)",37.48573579,127.0446762,서울,,,,,,
GS25,S매봉역점,편의점,서울특별시 강남구 남부순환로 2744,37.4869497,127.0465943,서울,,,,,,
스타벅스,도곡역점,프렌차이즈,"서울특별시 강남구 남부순환로 2909, (대치동)",37.4921724,127.0573953,서울,,,,,,
GS25,도곡역점,편의점,"서울특별시 강남구 남부순환로 2912, (대치동)",37.49069353,127.0561248,서울,,,,,,
버거킹,대치역점,프렌차이즈,"서울특별시 강남구 남부순환로 2936, (대치동)",37.49334362,127.0619041,서울,,,,,,
버거킹,대치역점,프렌차이즈,"서울특별시 강남구 남부순환로 2936, (대치동)",37.49334362,127.0619041,서울,,,,,,
스타벅스,대치역점,프렌차이즈,"서울특별시 강남구 남부순환로 2936, (대치동)",37.49334362,127.0619041,서울,,,,,,
이디야,대치역점,프렌차이즈,"서울특별시 강남구 남부순환로 2937, (대치동)",37.49408008,127.0616008,서울,,,,,,
이마트24,R대치역점,편의점,서울특별시 강남구 남부순환로 2947,37.49456594,127.0626465,서울,,,,,,
스타벅스,대치대원빌딩R점,프렌차이즈,"서울특별시 강남구 남부순환로 2947, (대치동)",37.49456594,127.0626465,서울,,,,,,
GS25,도곡양재점,편의점,"서울특별시 강남구 남부순환로351길 14, (도곡동)",37.48570759,127.0345564,서울,,,,,,
탐앤탐스,역삼2호점,프렌차이즈,"서울특별시 강남구 논현로 338, (역삼동)",37.49545464,127.0397914,서울,,,,,,
스타벅스,구역삼세무서점,프렌차이즈,"서울특별시 강남구 논현로 401, (역삼동)",37.49591579,127.0388807,서울,,,,,,
GS25,역삼평화점,편의점,"서울특별시 강남구 논현로 412, (역삼동)",37.49696265,127.0390822,서울,,,,,,
스타벅스,지에스타워점,프렌차이즈,"서울특별시 강남구 논현로 508, (역삼동)",37.50188574,127.0372774,서울,,,,,,
GS25,힐탑점,편의점,"서울특별시 강남구 논현로 642, (논현동)",37.51096473,127.0324214,서울,,,,,,
스타벅스,논현힐탑점,프렌차이즈,"서울특별시 강남구 논현로 648, (논현동)",37.5115851,127.032255,서울,,,,,,
맥도날드,학동역점,프렌차이즈,"서울특별시 강남구 논현로 667, (논현동)",37.51356221,127.0305214,서울,,,,,,
스타벅스,학동역점,프렌차이즈,"서울특별시 강남구 논현로 704, (논현동)",37.51460026,127.0307455,서울,,,,,,
스타벅스,을지병원사거리점,프렌차이즈,"서울특별시 강남구 논현로 752, (논현동)",37.5191512,127.0286278,서울,,,,,,
스타벅스,압구정역2점,프렌차이즈,"서울특별시 강남구 논현로 841, (신사동)",37.52404691,127.0278969,서울,,,,,,
스타벅스,포이점,프렌차이즈,"서울특별시 강남구 논현로 88, (개포동)",37.47781003,127.0451163,서울,,,,,,
GS25,역삼충현점,편의점,"서울특별시 강남구 논현로102길 4, (역삼동, 역삼동골든베리힐)",37.50470147,127.0356125,서울,,,,,,
GS25,강남갤러리점,편의점,"서울특별시 강남구 논현로106길 42, (역삼동)",37.50684563,127.0377792,서울,,,,,,
이마트24,논현진성점,편의점,서울특별시 강남구 논현로115길 14,37.50892217,127.0316673,서울,,,,,,
이마트24,24시논현진성점,편의점,"서울특별시 강남구 논현로115길 14, (논현동)",37.50892217,127.0316673,서울,,,,,,
GS25,개포타운점,편의점,서울특별시 강남구 논현로12길 13,37.47472605,127.0492934,서울,,,,,,
GS25,논현학동점,편의점,"서울특별시 강남구 논현로146길 11, (논현동)",37.51821561,127.0299069,서울,,,,,,
GS25,강남영동점,편의점,"서울특별시 강남구 논현로149길 50, (논현동)",37.51735111,127.0244996,서울,,,,,,
탐앤탐스,도산로점,프렌차이즈,"서울특별시 강남구 논현로152길 37, (신사동)",37.52178469,127.0311164,서울,,,,,,
GS25,압구정화인점,편의점,"서울특별시 강남구 논현로155길 8, (신사동)",37.5218794,127.0272915,서울,,,,,,
이디야,압구정점,프렌차이즈,"서울특별시 강남구 논현로167길 16, (신사동)",37.5247774,127.0268805,서울,,,,,,
GS25,개포무지개점,편의점,"서울특별시 강남구 논현로16길 14, (개포동)",37.47637027,127.047588,서울,,,,,,
이마트24,강남오픈로드점,편의점,서울특별시 강남구 논현로16길 6,37.47604163,127.0470608,서울,,,,,,
스타벅스,가로수길점,프렌차이즈,"서울특별시 강남구 논현로175길 94, (신사동)",37.52318421,127.0216293,서울,,,,,,
GS25,도곡STX점,편의점,"서울특별시 강남구 논현로24길 17, (도곡동)",37.48187683,127.0443748,서울,,,,,,
GS25,포이한라점,편의점,"서울특별시 강남구 논현로4길 43, (개포동)",37.47416273,127.053201,서울,,,,,,
GS25,역삼대홍점,편의점,"서울특별시 강남구 논현로63길 19, (역삼동)",37.49245894,127.0392756,서울,,,,,,
GS25,역삼아람점,편의점,"서울특별시 강남구 논현로64길 14, (역삼동)",37.49361152,127.0413982,서울,,,,,,
GS25,역삼싱아점,편의점,서울특별시 강남구 논현로72길 13,37.4958301,127.0405329,서울,,,,,,
이디야,역삼점,프렌차이즈,"서울특별시 강남구 논현로72길 13, (역삼동)",37.4958301,127.0405329,서울,,,,,,
이마트24,역삼DELIVERY점,편의점,서울특별시 강남구 논현로72길 31,37.49641709,127.0418033,서울,,,,,,
GS25,역삼참마을점,편의점,"서울특별시 강남구 논현로79길 7, (역삼동)",37.49756334,127.0376043,서울,,,,,,
GS25,역삼스타점,편의점,"서울특별시 강남구 논현로85길 5, (역삼동)",37.49907253,127.0370421,서울,,,,,,
GS25,역삼캐피탈점,편의점,"서울특별시 강남구 논현로87길 23, (역삼동)",37.49937052,127.0349121,서울,,,,,,
GS25,개포사랑점,편의점,"서울특별시 강남구 논현로8길 21, (개포동)",37.47445593,127.0504387,서울,,,,,,
GS25,지에스본점,편의점,"서울특별시 강남구 논현로93길 3, (역삼동)",37.50185629,127.0358753,서울,,,,,,
GS25,역삼프리미엄점,편의점,"서울특별시 강남구 논현로94길 32, (역삼동)",37.50289971,127.0389722,서울,,,,,,
스타벅스,역삼럭키점,프렌차이즈,"서울특별시 강남구 도곡로 183, (역삼동)",37.49222561,127.0393917,서울,,,,,,
GS25,도곡신호점,편의점,"서울특별시 강남구 도곡로 184, (도곡동)",37.49172374,127.039726,서울,,,,,,
스타벅스,한티역점,프렌차이즈,"서울특별시 강남구 도곡로 408, (대치동)",37.4966152,127.0552134,서울,,,,,,
맥도날드,한티역점,프렌차이즈,"서울특별시 강남구 도곡로 409, (대치동)",37.49736255,127.0551474,서울,,,,,,
GS25,대치현민점,편의점,서울특별시 강남구 도곡로 445,37.49861892,127.059022,서울,,,,,,
버거킹,대치점,프렌차이즈,"서울특별시 강남구 도곡로 447, (대치동)",37.49868424,127.0593039,서울,,,,,,
버거킹,대치점,프렌차이즈,"서울특별시 강남구 도곡로 447, (대치동)",37.49868424,127.0593039,서울,,,,,,
스타벅스,대치은마사거리점,프렌차이즈,"서울특별시 강남구 도곡로 457, (대치동)",37.49899741,127.0601595,서울,,,,,,
스타벅스,대치점,프렌차이즈,"서울특별시 강남구 도곡로 511, (대치동)",37.49962651,127.0622213,서울,,,,,,
GS25,대치학원점,편의점,"서울특별시 강남구 도곡로 511, (대치동)",37.49962651,127.0622213,서울,,,,,,
GS25,역삼하나점,편의점,"서울특별시 강남구 도곡로13길 19, (역삼동, 롯데캐슬노블)",37.4925738,127.035678,서울,,,,,,
GS25,도곡도서관점,편의점,서울특별시 강남구 도곡로18길 57,37.48830173,127.0388652,서울,,,,,,
이마트24,역삼서희점,편의점,서울특별시 강남구 도곡로3길 19,37.49134109,127.0325841,서울,,,,,,
GS25,대치삼성타운점,편의점,"서울특별시 강남구 도곡로78길 22, (대치동, 대치삼성)",37.49662607,127.0588322,서울,,,,,,
스타벅스,신사역점,프렌차이즈,"서울특별시 강남구 도산대로 108, (논현동)",37.5161838,127.0206347,서울,,,,,,
이디야,신사점,프렌차이즈,"서울특별시 강남구 도산대로 118, (논현동)",37.51654492,127.0218065,서울,,,,,,
맥도날드,신사역점,프렌차이즈,"서울특별시 강남구 도산대로 123, (신사동)",37.51744653,127.0218739,서울,,,,,,
스타벅스,도산가로수길점,프렌차이즈,"서울특별시 강남구 도산대로 134, (논현동)",37.51734176,127.0233685,서울,,,,,,
이마트24,논현청학점,편의점,서울특별시 강남구 도산대로 232,37.52038187,127.03256,서울,,,,,,
GS25,신사장터점,편의점,"서울특별시 강남구 도산대로 317, (신사동)",37.52274855,127.0365908,서울,,,,,,
스타벅스,커리학동사거리점,프렌차이즈,"서울특별시 강남구 도산대로 328, (논현동)",37.52239022,127.0379529,서울,,,,,,
맥도날드,청담DT점,프렌차이즈,"서울특별시 강남구 도산대로 407, (청담동)",37.52369746,127.0402554,서울,,,,,,
GS25,청담대로점,편의점,"서울특별시 강남구 도산대로 408, (청담동)",37.52301236,127.0402189,서울,,,,,,
탐앤탐스,청담웨딩홀점,프렌차이즈,"서울특별시 강남구 도산대로 430, (청담동)",37.52328675,127.0429418,서울,,,,,,
이마트24,청담휴먼스타빌점,편의점,서울특별시 강남구 도산대로 454,37.52369023,127.0460365,서울,,,,,,
