브랜드명,지점명,업체유형,도로명주소,위도,경도,ID,연락처,주차시설,평점,판매자ID,판매상품목록
GS25,문막으뜸점,편의점,"강원도 원주시 문막읍 문막시장1길 27, (문막리)",37.306991934134395,127.816984929963,,,,,,
이디야,우두동점,프렌차이즈,"강원도 춘천시 충열로 39, (우두동)",37.899492666144205,127.732713957192,,,,,,
GS25,원주단계점,편의점,"강원도 원주시 장미공원길 25-13, (단계동)",37.3459612819414,127.93252417073099,,,,,,
GS25,속초시외터미널점,편의점,"강원도 속초시 장안로 15, (동명동)",38.2114787876187,128.591087640887,,,,,,
GS25,춘천신북점,편의점,"강원도 춘천시 신북읍 신샘밭로 364, (율문리)",37.9248243527347,127.75093560013501,,,,,,
GS25,태백은주점,편의점,"강원도 태백시 갈골길 7, (철암동, 태백철암)",37.1287816751285,129.045875445054,,,,,,
GS25,태백행복점,편의점,"강원도 태백시 편들길 43, (문곡동, 태백문곡아파트)",37.119094888431,129.004175076156,,,,,,
이디야,철원와수점,프렌차이즈,"강원도 철원군 서면 와수로181번길 25-21, (와수리)",38.2391466875099,127.43810906087099,,,,,,
GS25,경포현대점,편의점,"강원도 강릉시 경포로463번안길 15, (저동)",37.8017949428324,128.901165917814,,,,,,
이디야,하이원점,프렌차이즈,"강원도 정선군 고한읍 하이원길 265-1, (고한리)",37.2094876563461,128.827806542105,,,,,,
스타벅스,오션월드2호점,프렌차이즈,"강원도 홍천군 서면 한치골길 262, (팔봉리)",37.652323738755705,127.687272903554,,,,,,
GS25,원주점,편의점,"강원도 원주시 서원대로 390, (단구동)",37.3314070509586,127.947884350912,,,,,,
이디야,춘천애막골점,프렌차이즈,"강원도 춘천시 후석로186번길 18, (석사동)",37.8673099149838,127.75428901899099,,,,,,
이디야,무실점,프렌차이즈,"강원도 원주시 시청로 70, (무실동)",37.3373880277738,127.926369917903,,,,,,
버거킹,비발디점,프렌차이즈,"강원도 홍천군 서면 한치골길 262, (팔봉리)",37.652323738755705,127.687272903554,,,,,,
스타벅스,대명델피노리조트점,프렌차이즈,"강원도 고성군 토성면 미시령옛길 1153, (원암리)",38.213128237820705,128.493408377372,,,,,,
스타벅스,강대점,프렌차이즈,"강원도 춘천시 서부대성로 243-1, (효자동)",37.8727596024213,127.745086615044,,,,,,
맥도날드,춘천퇴계DT점,프렌차이즈,"강원도 춘천시 영서로 2173, (퇴계동)",37.8591588447191,127.731041326063,,,,,,
GS25,원주단구점,편의점,"강원도 원주시 단구초교길 12-18, (단구동)",37.320960690798,127.965955834627,,,,,,
스타벅스,속초중앙로점,프렌차이즈,"강원도 속초시 중앙로 123, (금호동)",38.2026214250362,128.589463214419,,,,,,
버거킹,대명비발디점,프렌차이즈,"강원도 홍천군 서면 한치골길 262, (팔봉리)",37.652323738755705,127.687272903554,,,,,,
GS25,원주으뜸점,편의점,"강원도 원주시 서원대로 410, (단구동)",37.329777082161606,127.950322914622,,,,,,
이디야,강릉교동점,프렌차이즈,"강원도 강릉시 솔올로 39, (교동)",37.765551185268706,128.87793521029698,,,,,,
GS25,혁신점,편의점,"강원도 원주시 혁신로 37-1, (반곡동)",37.324000420754,127.97863719813401,,,,,,
탐앤탐스,원주혁신점,프렌차이즈,"강원도 원주시 혁신로 153, (반곡동)",37.3230828246559,127.990439930679,,,,,,
탐앤탐스,원주혁신점,프렌차이즈,"강원도 원주시 세계로 3, (반곡동)",37.3245334037728,127.988047612757,,,,,,
스타벅스,춘천이마트점,프렌차이즈,"강원도 춘천시 경춘로 2341, (온의동)",37.8639560859478,127.71726044510599,,,,,,
GS25,강원대정문,편의점,"강원도 춘천시 백령로 7, (효자동)",37.8655040995627,127.735905473794,,,,,,
GS25,후평사거리점,편의점,"강원도 춘천시 후석로344번길 3, (후평동)",37.8815889121894,127.748921331793,,,,,,
GS25,횡계수하점,편의점,"강원도 평창군 대관령면 올림픽로 300, (수하리)",37.6623805894918,128.699076017777,,,,,,
