브랜드명,지점명,업체유형,도로명주소,위도,경도,지역,ID,연락처,주차시설,평점,판매자ID,판매상품목록
GS25,봉선라인점,편의점,"광주광역시 남구 봉선중앙로 105, (봉선동, 라인광장아파트)",35.13002419,126.9103938,광주,,,,,,
GS25,상무계수점,편의점,"광주광역시 서구 계수로 52, (쌍촌동)",35.16029054,126.8563502,광주,,,,,,
버거킹,광주상무점,프렌차이즈,"광주광역시 서구 치평로 106, (치평동)",35.15682048,126.8478158,광주,,,,,,
GS25,쌍촌주공점,편의점,"광주광역시 서구 월드컵4강로 109, (화정동)",35.146574,126.8720048,광주,,,,,,
GS25,화정삼익점,편의점,"광주광역시 서구 죽봉대로 31, (화정동, 삼익맨션아파트)",35.15640931,126.8818568,광주,,,,,,
맥도날드,용봉DT점,프렌차이즈,"광주광역시 북구 설죽로 289, (용봉동)",35.18511512,126.8982183,광주,,,,,,
GS25,용봉대로점,편의점,"광주광역시 북구 설죽로 204, (용봉동)",35.17777285,126.8976697,광주,,,,,,
GS25,신창중앙,편의점,"광주광역시 광산구 신창로86번길 30, (신창동)",35.19252054,126.838945,광주,,,,,,
이디야,광주첨단월계점,프렌차이즈,"광주광역시 광산구 첨단중앙로 102, (월계동)",35.21428593,126.8433579,광주,,,,,,
GS25,상무원룸점,편의점,"광주광역시 서구 상무공원로 10, (치평동)",35.1453976,126.8437848,광주,,,,,,
스타벅스,광주황금점,프렌차이즈,"광주광역시 동구 중앙로160번길 14, (황금동)",35.1473416,126.9145967,광주,,,,,,
스타벅스,상무치평점,프렌차이즈,"광주광역시 서구 상무자유로 173, (치평동)",35.15203347,126.8534476,광주,,,,,,
스타벅스,광산수완점,프렌차이즈,"광주광역시 광산구 장신로 134, (수완동)",35.19040987,126.8247777,광주,,,,,,
스타벅스,광주장덕점,프렌차이즈,"광주광역시 광산구 장신로 85, (장덕동)",35.1911338,126.8195078,광주,,,,,,
스타벅스,충장일가점,프렌차이즈,"광주광역시 동구 서석로 43, (충장로1가)",35.14678834,126.9182475,광주,,,,,,
버거킹,호남대점,프렌차이즈,"광주광역시 광산구 어등대로 418-1, (선암동)",35.14883162,126.7696257,광주,,,,,,
버거킹,광주충장점,프렌차이즈,"광주광역시 동구 충장로안길 38, (황금동)",35.14705696,126.9170368,광주,,,,,,
맥도날드,광주운암DT점,프렌차이즈,"광주광역시 북구 북문대로187번길 2, (운암동)",35.1849924,126.8702225,광주,,,,,,
스타벅스,광주용두DT점,프렌차이즈,"광주광역시 북구 임방울대로 1016, (신용동)",35.21278456,126.8685745,광주,,,,,,
탐앤탐스,광주스타타워점,프렌차이즈,"광주광역시 서구 운천로 247, (치평동)",35.15461173,126.8544321,광주,,,,,,
맥도날드,전남대DT점,프렌차이즈,"광주광역시 북구 우치로 134, (용봉동)",35.1795005,126.912292,광주,,,,,,
스타벅스,광주동림점,프렌차이즈,"광주광역시 서구 하남대로 672-1, (동천동)",35.17156912,126.8661818,광주,,,,,,
맥도날드,동림DT점,프렌차이즈,"광주광역시 북구 하남대로 635, (동림동)",35.17236092,126.862186,광주,,,,,,
스타벅스,광주상무대교점,프렌차이즈,"광주광역시 서구 상무중앙로 90, (치평동)",35.15487423,126.848842,광주,,,,,,
맥도날드,쌍촌DT점,프렌차이즈,"광주광역시 서구 상무대로 921-1, (쌍촌동)",35.1515165,126.8626738,광주,,,,,,
스타벅스,충장서림점,프렌차이즈,"광주광역시 동구 충장로 93-5, (금남로2가, 무등맨션)",35.14807806,126.9173195,광주,,,,,,
맥도날드,상무대점,프렌차이즈,"광주광역시 서구 치평로 72, (치평동)",35.15372706,126.8476399,광주,,,,,,
스타벅스,광주운암DT점,프렌차이즈,"광주광역시 북구 북문대로 78, (운암동)",35.17764106,126.8784043,광주,,,,,,
스타벅스,광주첨단점,프렌차이즈,"광주광역시 광산구 첨단중앙로 104, (월계동)",35.21461038,126.8433533,광주,,,,,,
스타벅스,조선대점,프렌차이즈,"광주광역시 동구 지산로 3, (서석동)",35.14461378,126.9301831,광주,,,,,,
GS25,첨단공단점,편의점,"광주광역시 북구 첨단벤처로 102, (대촌동)",35.23094574,126.8588089,광주,,,,,,
스타벅스,광주충장로점,프렌차이즈,"광주광역시 동구 충장로 65, (충장로3가)",35.14939967,126.9149205,광주,,,,,,
스타벅스,광주금호DT점,프렌차이즈,"광주광역시 서구 운천로109번길 1, (쌍촌동)",35.14213096,126.8576577,광주,,,,,,
스타벅스,광주무등산점,프렌차이즈,"광주광역시 동구 증심사길 16, (운림동)",35.13388125,126.9542877,광주,,,,,,
버거킹,광주터미널점,프렌차이즈,"광주광역시 서구 무진대로 904, (광천동)",35.16056466,126.8799011,광주,,,,,,
스타벅스,광주하남점,프렌차이즈,"광주광역시 광산구 사암로216번길 38-16, (우산동)",35.16255136,126.8103167,광주,,,,,,
이디야,광주무역회관점,프렌차이즈,"광주광역시 광산구 무진대로 282, (우산동)",35.16072326,126.811408,광주,,,,,,
GS25,남부대학교점,편의점,"광주광역시 광산구 산월로 23, (월계동)",35.20897935,126.8398529,광주,,,,,,
스타벅스,광주첨단신용점,프렌차이즈,"광주광역시 북구 첨단연신로 101, (신용동)",35.20700055,126.8640641,광주,,,,,,
이디야,광주첨단신용점,프렌차이즈,"광주광역시 북구 첨단연신로133번길 4, (신용동)",35.21023411,126.8638104,광주,,,,,,
버거킹,광주충장점,프렌차이즈,"광주광역시 동구 충장로안길 38, (황금동)",35.14705696,126.9170368,광주,,,,,,
이디야,광주첨단신용점,프렌차이즈,"광주광역시 북구 첨단연신로107번길 6, (신용동)",35.20769287,126.8638788,광주,,,,,,
GS25,오치쌍굴점,편의점,"광주광역시 북구 비엔날레로 143, (용봉동)",35.18340812,126.8929055,광주,,,,,,
GS25,상무리채점,편의점,"광주광역시 서구 시청로 13, (치평동, 상무리채2차)",35.14957813,126.8511664,광주,,,,,,
GS25,동강대후문점,편의점,"광주광역시 북구 서방로135번길 2, (두암동)",35.16999806,126.927249,광주,,,,,,
GS25,봉선모아점,편의점,"광주광역시 남구 봉선중앙로 109, (봉선동, 모아1단지)",35.13071223,126.9107248,광주,,,,,,
GS25,용봉타운점,편의점,"광주광역시 북구 설죽로202번길 31, (용봉동)",35.17741811,126.8992993,광주,,,,,,
GS25,월산타운점,편의점,"광주광역시 남구 대남대로397번길 8, (월산동)",35.14612688,126.888977,광주,,,,,,
GS25,광천이편한점,편의점,"광주광역시 서구 화운로304번길 15, (광천동)",35.16596406,126.8789379,광주,,,,,,
GS25,쌍촌레시점,편의점,"광주광역시 서구 월드컵4강로181번길 8, (쌍촌동)",35.15233038,126.8687316,광주,,,,,,
GS25,전대휴먼점,편의점,"광주광역시 북구 용봉로 3, (용봉동)",35.1724264,126.8975333,광주,,,,,,
GS25,태양점,편의점,"광주광역시 광산구 산정공원로59번길 40, (산정동)",35.17305432,126.804104,광주,,,,,,
GS25,상무스카이점,편의점,"광주광역시 서구 시청로 97, (치평동)",35.15747184,126.8509128,광주,,,,,,
GS25,광주공항점,편의점,"광주광역시 광산구 상무대로 420-25, (신촌동)",35.13938301,126.8109392,광주,,,,,,
GS25,신창원룸점,편의점,"광주광역시 광산구 왕버들로252번길 25, (신창동)",35.19528513,126.835853,광주,,,,,,
GS25,광주장동점,편의점,"광주광역시 동구 장동로 23-3, (장동)",35.14825806,126.9243738,광주,,,,,,
맥도날드,상무점,프렌차이즈,"광주광역시 서구 치평로 72, (치평동)",35.15372706,126.8476399,광주,,,,,,
GS25,신가중흥점,편의점,"광주광역시 광산구 목련로382번길 113, (신창동, 중흥아파트)",35.1804263,126.8382387,광주,,,,,,
GS25,봉선삼익점,편의점,"광주광역시 남구 봉선중앙로 24, (봉선동)",35.12341269,126.9129284,광주,,,,,,
GS25,첨단사랑점,편의점,"광주광역시 광산구 임방울대로800번길 42, (월계동)",35.21564315,126.845788,광주,,,,,,
GS25,양산우미점,편의점,"광주광역시 북구 양산로 25, (양산동)",35.21085744,126.8774864,광주,,,,,,
GS25,월계원룸점,편의점,"광주광역시 광산구 월계로34번길 20, (월계동)",35.21007577,126.8338846,광주,,,,,,
GS25,풍암신암점,편의점,"광주광역시 서구 풍암순환로 148, (풍암동)",35.12376317,126.8840476,광주,,,,,,
GS25,광주대성점,편의점,"광주광역시 남구 금당로 13, (진월동)",35.11812668,126.896543,광주,,,,,,
GS25,전대평화점,편의점,"광주광역시 북구 호동로 46, (문흥동)",35.17584834,126.9171491,광주,,,,,,
GS25,광주서방점,편의점,"광주광역시 북구 풍동길 16-1, (풍향동)",35.16617855,126.9214266,광주,,,,,,
GS25,우치공원점,편의점,"광주광역시 북구 우치로 677, (생용동)",35.22430715,126.8942616,광주,,,,,,
GS25,광주대인점,편의점,"광주광역시 동구 제봉로 25, (학동)",35.1409849,126.9214517,광주,,,,,,
GS25,전대후문점,편의점,"광주광역시 북구 효산로20번길 12-3, (용봉동)",35.18195518,126.9136207,광주,,,,,,
GS25,거성마트점,편의점,"광주광역시 동구 지산로 37, (지산동)",35.14725164,126.9318606,광주,,,,,,
GS25,상무중앙점,편의점,"광주광역시 서구 상무번영로 50, (치평동)",35.15433035,126.8532727,광주,,,,,,
GS25,광주GS점,편의점,"광주광역시 동구 문화전당로35번길 17, (금동)",35.14511165,126.9172271,광주,,,,,,
GS25,광주신창점,편의점,"광주광역시 광산구 신창로 61, (신창동)",35.19090404,126.83675,광주,,,,,,
GS25,월산태창점,편의점,"광주광역시 남구 구성로 70, (월산동)",35.14958929,126.9029446,광주,,,,,,
GS25,시새우리점,편의점,"광주광역시 서구 군분2로 5, (화정동)",35.15336381,126.8810095,광주,,,,,,
