브랜드명,지점명,업체유형,도로명주소,위도,경도,지역,ID,연락처,주차시설,평점,판매자ID,판매상품목록
GS25,포항대흥점,편의점,"경상북도 포항시 북구 용당로 108, (대흥동)",36.03678256,129.3623626,경북,,,,,,
GS25,진평중앙점,편의점,"경상북도 구미시 인동32길 22-3, (진평동)",36.09297108,128.4300599,경북,,,,,,
GS25,상주무양점,편의점,"경상북도 상주시 경상대로 3038, (무양동)",36.41810715,128.151407,경북,,,,,,
GS25,상주서문점,편의점,"경상북도 상주시 삼백로 135, (서문동)",36.41880104,128.1584113,경북,,,,,,
GS25,환호그린점,편의점,"경상북도 포항시 북구 삼호로 391, (환호동, 해맞이그린빌1단지)",36.07087028,129.3918904,경북,,,,,,
맥도날드,도량DT점,프렌차이즈,"경상북도 구미시 야은로 447, (도량동)",36.13625652,128.3320411,경북,,,,,,
GS25,인의서한점,편의점,"경상북도 구미시 여헌로 21-11, (인의동, 인동서한이다음)",36.10352005,128.4239312,경북,,,,,,
GS25,경주충효점,편의점,"경상북도 경주시 충효천길 123, (충효동)",35.84346311,129.185748,경북,,,,,,
GS25,동천점,편의점,"경상북도 경주시 양정로261번길 10, (동천동)",35.85628098,129.2233372,경북,,,,,,
GS25,신원점,편의점,"경상북도 문경시 여중1길 30, (모전동, 문경신원아침도시아파트)",36.59789573,128.1890661,경북,,,,,,
GS25,선산점,편의점,"경상북도 구미시 선산읍 남문로 42, (동부리)",36.24129134,128.3017438,경북,,,,,,
GS25,구포점,편의점,"경상북도 구미시 옥계2공단로 280-2, (구포동)",36.1303564,128.4174093,경북,,,,,,
GS25,인동도서관점,편의점,"경상북도 구미시 인동16길 14-4, (진평동)",36.09884923,128.424528,경북,,,,,,
GS25,포항청하점,편의점,"경상북도 포항시 북구 청하면 동해대로 2436, (미남리)",36.18551538,129.3452678,경북,,,,,,
GS25,구미구포점,편의점,"경상북도 구미시 옥계2공단로 248-4, (구포동)",36.12786601,128.4156297,경북,,,,,,
GS25,사동부영점,편의점,"경상북도 경산시 백양로 181, (사동, 부영그린마을5차)",35.81191291,128.7612477,경북,,,,,,
GS25,김천교동점,편의점,"경상북도 김천시 연화지2길 25, (교동, 호반)",36.13739393,128.0913317,경북,,,,,,
GS25,구미사곡점,편의점,"경상북도 구미시 사곡로 23, (사곡동)",36.09499176,128.3582757,경북,,,,,,
GS25,해도해동로점,편의점,"경상북도 포항시 남구 해동로 97, (해도동)",36.0280215,129.371942,경북,,,,,,
이디야,경북하양점,프렌차이즈,"경상북도 경산시 하양읍 문화로 3, (금락리, 하양우방타운3차)",35.90930125,128.8132756,경북,,,,,,
GS25,칠곡대로점,편의점,"경상북도 칠곡군 약목면 칠곡대로 1143, (관호리)",36.00017077,128.3911997,경북,,,,,,
GS25,예천주공,편의점,"경상북도 예천군 예천읍 봉덕로 50, (대심리)",36.65221265,128.4410902,경북,,,,,,
GS25,경주현곡점,편의점,"경상북도 경주시 초당길55번길 7-3, (동천동)",35.84493444,129.2347417,경북,,,,,,
버거킹,구미이마트점,프렌차이즈,"경상북도 구미시 구미대로 256, (광평동)",36.10948263,128.3649059,경북,,,,,,
이디야,선린병원점,프렌차이즈,"경상북도 포항시 북구 대신로 43, (대신동)",36.04772441,129.3670346,경북,,,,,,
스타벅스,영남대아트센터점,프렌차이즈,"경상북도 경산시 대학로 280, (대동)",35.83050104,128.7521944,경북,,,,,,
스타벅스,경주노동점,프렌차이즈,"경상북도 경주시 원효로 105-1, (노동동)",35.84212381,129.2124823,경북,,,,,,
스타벅스,구미금오산점,프렌차이즈,"경상북도 구미시 금오산로 205, (남통동)",36.12223745,128.3236058,경북,,,,,,
버거킹,경산사동점,프렌차이즈,"경상북도 경산시 백자로 55, (사동)",35.81134614,128.7539281,경북,,,,,,
스타벅스,경주대명리조트점,프렌차이즈,"경상북도 경주시 보문로 402-12, (신평동)",35.84693097,129.281631,경북,,,,,,
스타벅스,경주대릉원점,프렌차이즈,"경상북도 경주시 첨성로 125, (황남동)",35.83403223,129.2149713,경북,,,,,,
스타벅스,대구가톨릭대점,프렌차이즈,"경상북도 경산시 하양읍 하양로 18, (금락리)",35.90776597,128.8123958,경북,,,,,,
스타벅스,포항대이점,프렌차이즈,"경상북도 포항시 남구 포스코대로 124, (대잠동)",36.02532373,129.3395324,경북,,,,,,
스타벅스,경주보문호수점,프렌차이즈,"경상북도 경주시 보문로 132-6, (북군동)",35.85327793,129.268703,경북,,,,,,
이디야,덕곡점,프렌차이즈,"경상북도 김천시 영남대로 2010, (덕곡동)",36.11828306,128.1486743,경북,,,,,,
이디야,칠곡석적점,프렌차이즈,"경상북도 칠곡군 석적읍 북중리12길 2, (중리)",36.07729068,128.4140866,경북,,,,,,
맥도날드,이마트포항점,프렌차이즈,"경상북도 포항시 남구 냉천로 10, (인덕동)",35.99250451,129.397643,경북,,,,,,
이디야,구미인동점,프렌차이즈,"경상북도 구미시 인동가산로 14, (진평동)",36.10712801,128.4180083,경북,,,,,,
맥도날드,구미형곡점,프렌차이즈,"경상북도 구미시 형곡중앙로 31, (형곡동)",36.11113639,128.3356563,경북,,,,,,
스타벅스,구미시청디티점,프렌차이즈,"경상북도 구미시 송정대로 27, (송정동)",36.117654,128.3415938,경북,,,,,,
스타벅스,구미인동점,프렌차이즈,"경상북도 구미시 인동가산로 9-3, (황상동)",36.10802758,128.4185018,경북,,,,,,
탐앤탐스,포항상도점,프렌차이즈,"경상북도 포항시 남구 상공로 61, (상도동)",36.01386765,129.3572869,경북,,,,,,
스타벅스,포항시청점,프렌차이즈,"경상북도 포항시 남구 시청로 5, (대잠동)",36.01817628,129.3420073,경북,,,,,,
스타벅스,구미인의점,프렌차이즈,"경상북도 구미시 인동중앙로 15, (황상동)",36.10698337,128.4207065,경북,,,,,,
스타벅스,포항양덕점,프렌차이즈,"경상북도 포항시 북구 장량로 162, (양덕동)",36.08157564,129.3981854,경북,,,,,,
GS25,포항죽도점,편의점,"경상북도 포항시 북구 중흥로 244, (죽도동)",36.02436648,129.3605179,경북,,,,,,
스타벅스,안동옥동점,프렌차이즈,"경상북도 안동시 경북대로 379, (옥동)",36.56353409,128.7021292,경북,,,,,,
스타벅스,문경새재점,프렌차이즈,"경상북도 문경시 문경읍 새재로 906, (상초리)",36.75939186,128.0776041,경북,,,,,,
버거킹,포항공대점,프렌차이즈,"경상북도 포항시 남구 청암로 77, (지곡동)",36.01061034,129.3213135,경북,,,,,,
버거킹,포항법원앞SK점,프렌차이즈,"경상북도 포항시 북구 신덕로 257, (장성동)",36.08743552,129.3879409,경북,,,,,,
스타벅스,영남대점,프렌차이즈,"경상북도 경산시 청운로 16, (대동)",35.837021,128.7530861,경북,,,,,,
스타벅스,안동시청점,프렌차이즈,"경상북도 안동시 서동문로 173, (삼산동)",36.5663788,128.7311355,경북,,,,,,
GS25,구미역전,편의점,"경상북도 구미시 역전로 12, (원평동)",36.12972299,128.3317358,경북,,,,,,
이디야,포항효자동점,프렌차이즈,"경상북도 포항시 남구 효성로 63, (효자동)",36.00613831,129.3409714,경북,,,,,,
스타벅스,포항중앙점,프렌차이즈,"경상북도 포항시 북구 불종로 41, (신흥동)",36.03872731,129.3641161,경북,,,,,,
GS25,하양삼성점,편의점,"경상북도 경산시 하양읍 조산천동길 2, (동서리, 하나맨션2차)",35.91508728,128.8252123,경북,,,,,,
이디야,경산오거리점,프렌차이즈,"경상북도 경산시 경안로 186, (중방동)",35.82426406,128.7376265,경북,,,,,,
이디야,구미역점,프렌차이즈,"경상북도 구미시 구미중앙로 84, (원평동)",36.12856015,128.3317976,경북,,,,,,
스타벅스,경주황성점,프렌차이즈,"경상북도 경주시 황성로1번길 4, (황성동)",35.86392955,129.2129915,경북,,,,,,
스타벅스,포항오천점,프렌차이즈,"경상북도 포항시 남구 오천읍 원동로 15, (문덕리)",35.96427258,129.4027215,경북,,,,,,
맥도날드,포항북부DT점,프렌차이즈,"경상북도 포항시 북구 삼호로 202, (두호동)",36.05643747,129.3774296,경북,,,,,,
스타벅스,구미공단점,프렌차이즈,"경상북도 구미시 1공단로 212, (공단동)",36.10140404,128.3859924,경북,,,,,,
이디야,숍한마당체육관점,프렌차이즈,"경상북도 포항시 남구 지곡로212번길 33, (지곡동)",36.02847147,129.3255283,경북,,,,,,
이디야,경주점,프렌차이즈,"경상북도 경주시 화랑로 95, (동부동)",35.84485876,129.2111845,경북,,,,,,
이디야,경주동천동점,프렌차이즈,"경상북도 경주시 양정로290번길 12, (동천동)",35.85845899,129.2254078,경북,,,,,,
스타벅스,포항이마트점,프렌차이즈,"경상북도 포항시 남구 냉천로 10, (인덕동)",35.99250451,129.397643,경북,,,,,,
GS25,옥동원룸점,편의점,"경상북도 안동시 옥동2길 42, (옥동)",36.55982445,128.7015594,경북,,,,,,
GS25,문경센타점,편의점,"경상북도 문경시 시청1길 27, 102동  (모전동, 관문파라다이스)",36.5863794,128.1882222,경북,,,,,,
이디야,카페영주풍기점,프렌차이즈,"경상북도 영주시 풍기읍 기주로 92, (성내리)",36.87021861,128.5257677,경북,,,,,,
이디야,동천현대점,프렌차이즈,"경상북도 경주시 동천로49번길 3, (동천동)",35.85220239,129.2264629,경북,,,,,,
이디야,경북성주점,프렌차이즈,"경상북도 성주군 성주읍 성주로 3216-1, (경산리)",35.91834007,128.285709,경북,,,,,,
이디야,경북영덕점,프렌차이즈,"경상북도 영덕군 영덕읍 중앙길 96, (남석리)",36.41106075,129.3696054,경북,,,,,,
버거킹,구미이마트점,프렌차이즈,"경상북도 구미시 구미대로 256, (광평동)",36.10948263,128.3649059,경북,,,,,,
GS25,인의희망점,편의점,"경상북도 구미시 인동25길 23, (인의동)",36.09786215,128.4308862,경북,,,,,,
버거킹,포항공대점,프렌차이즈,"경상북도 포항시 남구 청암로 77, (지곡동)",36.01061034,129.3213135,경북,,,,,,
GS25,양덕점,편의점,"경상북도 포항시 북구 장량중앙로 78, (양덕동)",36.08943686,129.390219,경북,,,,,,
GS25,편의점,편의점,"경상북도 의성군 의성읍 중앙길 57, (후죽리)",36.34946051,128.696793,경북,,,,,,
GS25,봉곡원룸점,편의점,"경상북도 구미시 봉곡남로18길 15-9, (봉곡동)",36.14912728,128.3152482,경북,,,,,,
GS25,대구대점,편의점,"경상북도 경산시 진량읍 대구대로60길 5-11, (내리리)",35.89296838,128.8537156,경북,,,,,,
GS25,구평희망점,편의점,"경상북도 구미시 인동35길 6, (구평동)",36.09479845,128.4331905,경북,,,,,,
GS25,김천타운점,편의점,"경상북도 김천시 고래실3길 1, (부곡동)",36.12378854,128.0856391,경북,,,,,,
GS25,아포중앙점,편의점,"경상북도 김천시 아포읍 한지1길 71, (국사리)",36.15910431,128.2630954,경북,,,,,,
GS25,경산세명점,편의점,"경상북도 경산시 경안로42길 9, (중방동)",35.82609112,128.7380529,경북,,,,,,
GS25,해도해동로점,편의점,"경상북도 포항시 남구 중앙로158번길 29, (해도동)",36.02781946,129.3706958,경북,,,,,,
GS25,정평현대점,편의점,"경상북도 경산시 대학로9길 5, (정평동)",35.83486323,128.7273311,경북,,,,,,
GS25,경산IC점,편의점,"경상북도 경산시 진량읍 대학로 938, (선화리)",35.87463776,128.799743,경북,,,,,,
GS25,구미비산점,편의점,"경상북도 구미시 신비로 112, (비산동)",36.12081911,128.3742564,경북,,,,,,
GS25,왜관강변점,편의점,"경상북도 칠곡군 왜관읍 강변대로 847, (금산리)",35.9532319,128.3989275,경북,,,,,,
GS25,김천성내점,편의점,"경상북도 김천시 자산로 160, (성내동)",36.1246261,128.1181908,경북,,,,,,
GS25,포항영일대점,편의점,"경상북도 포항시 북구 해안로 117, (두호동)",36.0592055,129.3788874,경북,,,,,,
GS25,김천제일점,편의점,"경상북도 김천시 시청로 74, (신음동)",36.13507262,128.1176953,경북,,,,,,
GS25,진량공단점,편의점,"경상북도 경산시 진량읍 공단로 461, (신상리)",35.87268993,128.8186265,경북,,,,,,
GS25,안동송천점,편의점,"경상북도 안동시 송천2길 72-22, (송천동)",36.5431098,128.7931375,경북,,,,,,
GS25,선산대로점,편의점,"경상북도 구미시 고아읍 선산대로 1013, (관심리)",36.21206296,128.3257658,경북,,,,,,
GS25,포항상도점,편의점,"경상북도 포항시 남구 상공로 83, (상도동)",36.01559024,129.3587697,경북,,,,,,
GS25,옥동희망점,편의점,"경상북도 안동시 광명로 163, (옥동)",36.56253103,128.7010588,경북,,,,,,
GS25,흥해점,편의점,"경상북도 포항시 북구 흥해읍 중성로32번길 16, (남성리)",36.1072129,129.3464745,경북,,,,,,
GS25,안동송현점,편의점,"경상북도 안동시 송현길 154-16, (송현동, 송현삼성명가타운2차)",36.57426902,128.6926285,경북,,,,,,
GS25,경주시청로점,편의점,"경상북도 경주시 양정로 25, (인왕동)",35.83798727,129.2222372,경북,,,,,,
GS25,대구대로점,편의점,"경상북도 경산시 진량읍 대구대로 131, (상림리)",35.90055979,128.8380113,경북,,,,,,
GS25,영천문화점,편의점,"경상북도 영천시 동부로 31-6, (야사동)",35.97315815,128.9483476,경북,,,,,,
GS25,울릉도동점,편의점,"경상북도 울릉군 울릉읍 도동길 52, (도동리)",37.48611419,130.9065038,경북,,,,,,
GS25,산동원룸점,편의점,"경상북도 구미시 산동면 산호대로41길 14-39, (봉산리)",36.13987759,128.4415495,경북,,,,,,
GS25,영주빌딩점,편의점,"경상북도 영주시 대학로12번길 4, (휴천동)",36.81039766,128.6229429,경북,,,,,,
GS25,경주보문점,편의점,"경상북도 경주시 보문로 409, (신평동)",35.84606223,129.2853364,경북,,,,,,
GS25,북구장성점,편의점,"경상북도 포항시 북구 장량로75번길 29, (장성동)",36.08505318,129.3889871,경북,,,,,,
GS25,포항효자점,편의점,"경상북도 포항시 남구 효성로 27, (효자동)",36.00648122,129.3368953,경북,,,,,,
GS25,포항신덕로점,편의점,"경상북도 포항시 북구 신덕로 215, (양덕동)",36.08630211,129.3924178,경북,,,,,,
GS25,LG전자기숙사점,편의점,"경상북도 구미시 칠성로2길 19, (신평동)",36.12240404,128.3599888,경북,,,,,,
GS25,포항원동로점,편의점,"경상북도 포항시 남구 오천읍 원동로 70, (원리)",35.96919012,129.402997,경북,,,,,,
GS25,편의점,편의점,"경상북도 구미시 인동35길 14, (구평동)",36.09539245,128.4334269,경북,,,,,,
GS25,황성한빛점,편의점,"경상북도 경주시 용담로 30, (황성동)",35.86185148,129.2179533,경북,,,,,,
GS25,옥동주공점,편의점,"경상북도 안동시 옥서1길 71, (옥동)",36.56089643,128.693939,경북,,,,,,
GS25,성주선남점,편의점,"경상북도 성주군 선남면 관화길 110, (관화리)",35.89968436,128.3528516,경북,,,,,,
GS25,포항위브점,편의점,"경상북도 포항시 북구 삼흥로 109, (장성동)",36.0717133,129.3789947,경북,,,,,,
GS25,예천터미널점,편의점,"경상북도 예천군 예천읍 봉덕로 2, (대심리)",36.64868762,128.4438662,경북,,,,,,
GS25,편의점,편의점,"경상북도 구미시 1공단로 239, (공단동)",36.10279781,128.3897753,경북,,,,,,
GS25,구미상모점,편의점,"경상북도 구미시 상모로 50, (상모동)",36.08945692,128.3555411,경북,,,,,,
GS25,경주충효점,편의점,"경상북도 경주시 충효3길 15, (충효동)",35.84315596,129.185821,경북,,,,,,
GS25,왜관2공단점,편의점,"경상북도 칠곡군 왜관읍 2산업단지1길 52, (낙산리)",35.93719304,128.4082786,경북,,,,,,
GS25,영양점,편의점,"경상북도 영양군 영양읍 동서대로 50, (서부리)",36.66256021,129.1143431,경북,,,,,,
GS25,포항대로점,편의점,"경상북도 포항시 북구 포스코대로 317, (죽도동)",36.01929649,129.3585781,경북,,,,,,
GS25,한의대1호점,편의점,"경상북도 경산시 한의대로 1, (유곡동)",35.79399983,128.7773393,경북,,,,,,
GS25,경산와촌점,편의점,"경상북도 경산시 와촌면 금송로 405, (소월리)",35.9454166,128.8355475,경북,,,,,,
GS25,백천센타점,편의점,"경상북도 경산시 압량읍 조산로5길 28, (부적리)",35.84610166,128.7581203,경북,,,,,,
GS25,영덕터미널점,편의점,"경상북도 영덕군 영덕읍 덕곡천길 94, (덕곡리)",36.41409534,129.3721674,경북,,,,,,
GS25,자인공단점,편의점,"경상북도 경산시 자인면 일연로 186, (남촌리)",35.82757797,128.8161708,경북,,,,,,
GS25,LG전자구미1점,편의점,"경상북도 구미시 수출대로 168, (공단동)",36.11037945,128.3836482,경북,,,,,,
GS25,영주남산점,편의점,"경상북도 영주시 구성로 154, (휴천동)",36.80698594,128.6290791,경북,,,,,,
GS25,구미광평점,편의점,"경상북도 구미시 1공단로3길 55-5, (광평동, 영지타운)",36.10687477,128.3659268,경북,,,,,,
GS25,상주공성점,편의점,"경상북도 상주시 공성면 공성중앙로 93, (옥산리)",36.28452705,128.0935512,경북,,,,,,
GS25,청도고수점,편의점,"경상북도 청도군 청도읍 청화로 185, (고수리)",35.64222053,128.7451257,경북,,,,,,
GS25,성주티박스점,편의점,"경상북도 성주군 성주읍 성주읍2길 33, (경산리)",35.92049437,128.2894177,경북,,,,,,
GS25,동고령IC점,편의점,"경상북도 고령군 성산면 성산로 1049, (득성리)",35.75208194,128.3763814,경북,,,,,,
GS25,구미광천점,편의점,"경상북도 구미시 여헌로 32-88, (인의동)",36.10390691,128.4266654,경북,,,,,,
GS25,안동서부점,편의점,"경상북도 안동시 대안로 25, (태화동)",36.56547266,128.715609,경북,,,,,,
GS25,포항두호점,편의점,"경상북도 포항시 북구 용두산길 3, (두호동)",36.06415537,129.3826146,경북,,,,,,
GS25,청송진보점,편의점,"경상북도 청송군 진보면 진보로 128, (진안리)",36.52852867,129.045609,경북,,,,,,
GS25,상주낙양점,편의점,"경상북도 상주시 경상대로 2943, (낙양동)",36.41000535,128.1510345,경북,,,,,,
GS25,오천용산점,편의점,"경상북도 포항시 남구 오천읍 정몽주로 190, (용산리)",35.9414416,129.401398,경북,,,,,,
GS25,상주IC점,편의점,"경상북도 상주시 영남제일로 1321, (외답동)",36.41817048,128.1947627,경북,,,,,,
GS25,영대원룸점,편의점,"경상북도 경산시 둥지로 46, (조영동)",35.84195063,128.753177,경북,,,,,,
GS25,영대천마점,편의점,"경상북도 경산시 대학로59길 11-9, (대동)",35.83742913,128.7526804,경북,,,,,,
GS25,풍기그랜드점,편의점,"경상북도 영주시 풍기읍 풍기로 34, 1동  (성내리, 백산그랜드)",36.86780844,128.5246408,경북,,,,,,
GS25,울진후포점,편의점,"경상북도 울진군 후포면 울진대게로 109, (후포리)",36.67970425,129.4518399,경북,,,,,,
GS25,구미보성점,편의점,"경상북도 구미시 산호대로 419, (비산동)",36.12125252,128.3853785,경북,,,,,,
GS25,사곡역점,편의점,"경상북도 구미시 상사서로 173-3, (사곡동)",36.09776291,128.3568778,경북,,,,,,
GS25,양덕LH점,편의점,"경상북도 포항시 북구 장량중앙로 33, (양덕동, 한양수자인아파트)",36.09100061,129.38515,경북,,,,,,
GS25,안동용상점,편의점,"경상북도 안동시 전거리1길 71, (용상동)",36.55952101,128.7484978,경북,,,,,,
GS25,대구대후문점,편의점,"경상북도 경산시 진량읍 진량내리길 30, (내리리)",35.90485169,128.8416349,경북,,,,,,
GS25,상주삼백로점,편의점,"경상북도 상주시 삼백로 105, (무양동)",36.41864312,128.1551325,경북,,,,,,
GS25,영주에이스점,편의점,"경상북도 영주시 대학로164번길 7, (가흥동)",36.81110176,128.6087933,경북,,,,,,
GS25,김천황산로점,편의점,"경상북도 김천시 황산로 54, (지좌동)",36.11643143,128.1368738,경북,,,,,,
GS25,석적장곡점,편의점,"경상북도 칠곡군 석적읍 유학로 96, (중리)",36.07528036,128.4193941,경북,,,,,,
GS25,포스코로점,편의점,"경상북도 포항시 남구 포스코대로 418-1, (해도동)",36.01374958,129.367679,경북,,,,,,
GS25,LG전자구미1점,편의점,"경상북도 구미시 산호대로 77, (공단동)",36.09142082,128.3850108,경북,,,,,,
GS25,김천장미점,편의점,"경상북도 김천시 평화장미길 52, (평화동)",36.1279365,128.1154849,경북,,,,,,
GS25,N포항6전점,편의점,"경상북도 포항시 남구 동해안로 5945, (청림동)",35.99213811,129.4104675,경북,,,,,,
