브랜드명,지점명,업체유형,도로명주소,위도,경도,지역,ID,연락처,주차시설,평점,판매자ID,판매상품목록
GS25,성남대로점,편의점,경기도 성남시 수정구 성남대로 1196,37.43657438,127.1287073,경기,,,,,,
GS25,포일대림점,편의점,경기도 의왕시 내손중앙로 11,37.38901654,126.9779896,경기,,,,,,
GS25,교하본점,편의점,경기도 파주시 청석로 300,37.73001413,126.7186528,경기,,,,,,
맥도날드,북수원DT점,프렌차이즈,"경기도 수원시 장안구 경수대로 991, (송죽동)",37.30519329,127.0027122,경기,,,,,,
스타벅스,수원이마트점,프렌차이즈,"경기도 수원시 권선구 경수대로 270, (권선동)",37.25010178,127.0200877,경기,,,,,,
버거킹,성남이마트점,프렌차이즈,경기도 성남시 수정구 수정로 201,37.44428131,127.1413996,경기,,,,,,
GS25,첼시아웃렛점,편의점,경기도 파주시 탄현면 필승로 210,37.76861813,126.6920861,경기,,,,,,
GS25,화성봉담점,편의점,경기도 화성시 봉담읍 와우로 91,37.21412508,126.9758243,경기,,,,,,
버거킹,의정부신세계점,프렌차이즈,경기도 의정부시 평화로 525,37.73798231,127.0458574,경기,,,,,,
GS25,제부펜션점,편의점,경기도 화성시 서신면 해안길 412,37.1763166,126.6221685,경기,,,,,,
탐앤탐스,안산성포점,프렌차이즈,경기도 안산시 상록구 예술광장1로 126,37.32691733,126.8441519,경기,,,,,,
GS25,이천영창점,편의점,경기도 이천시 영창로 207,37.281109,127.445704,경기,,,,,,
GS25,덕평IC점,편의점,경기도 광주시 도척면 도척로 214,37.33344535,127.3370984,경기,,,,,,
GS25,김포데시앙점,편의점,경기도 김포시 양촌읍 황금로89번길 25,37.61862972,126.6240369,경기,,,,,,
GS25,산본하이츠점,편의점,경기도 군포시 산본로323번길 7,37.35929988,126.9331602,경기,,,,,,
GS25,남양주도곡점,편의점,경기도 남양주시 와부읍 덕소로 230-40,37.57701177,127.2198971,경기,,,,,,
GS25,포천어룡점,편의점,경기도 포천시 호국로 1359,37.88110344,127.1869399,경기,,,,,,
GS25,수지송화점,편의점,경기도 용인시 수지구 이현로 115,37.31225779,127.0910989,경기,,,,,,
GS25,의정부금오점,편의점,경기도 의정부시 상금로 22,37.75655075,127.0750458,경기,,,,,,
GS25,덕계현진점,편의점,경기도 양주시 고덕로 159,37.80785,127.0608013,경기,,,,,,
GS25,매송점,편의점,경기도 성남시 분당구 판교로 430,37.40516752,127.1208029,경기,,,,,,
맥도날드,철산역점,프렌차이즈,경기도 광명시 오리로856번길 17,37.47548512,126.8685378,경기,,,,,,
GS25,창현주공점,편의점,경기도 남양주시 화도읍 녹촌로 9,37.64464958,127.3011975,경기,,,,,,
맥도날드,부천역점,프렌차이즈,경기도 부천시 부천로 1,37.48402908,126.7826342,경기,,,,,,
GS25,용인신일점,편의점,경기도 용인시 기흥구 덕영대로2077번길 18,37.26792799,127.0963111,경기,,,,,,
맥도날드,안양점,프렌차이즈,경기도 안양시 만안구 안양로292번길 22,37.39886481,126.9231237,경기,,,,,,
GS25,수원그랜드점,편의점,"경기도 수원시 권선구 세지로28번길 13, (세류동)",37.25451406,127.0164571,경기,,,,,,
GS25,상동목련마을점,편의점,경기도 부천시 신상로 91,37.49696975,126.7474685,경기,,,,,,
버거킹,광주경안점,프렌차이즈,경기도 광주시 경안로 10,37.41014561,127.2595408,경기,,,,,,
GS25,파주야당점,편의점,경기도 파주시 송학길 42-23,37.70681455,126.7651975,경기,,,,,,
GS25,교문우성,편의점,경기도 구리시 체육관로 45,37.58850251,127.1373565,경기,,,,,,
GS25,권선세권로점,편의점,"경기도 수원시 권선구 정조로 393-1, (장지동)",37.24464445,127.0139704,경기,,,,,,
GS25,광주선동점,편의점,경기도 화성시 팔탄면 동막골길 73,37.15261867,126.9242393,경기,,,,,,
GS25,지행아이다빌점,편의점,경기도 동두천시 이담로 96,37.88830434,127.0589958,경기,,,,,,
GS25,운정사라방점,편의점,경기도 파주시 가람로21번길 25-20,37.73505554,126.7510012,경기,,,,,,
이디야,가현초교점,프렌차이즈,경기도 김포시 김포한강2로 96,37.6388662,126.6727915,경기,,,,,,
GS25,인티움점,편의점,경기도 성남시 수정구 성남대로 1244,37.44088681,127.1282052,경기,,,,,,
맥도날드,부천원종DT점,프렌차이즈,경기도 부천시 소사로 689,37.51776988,126.8043936,경기,,,,,,
GS25,문산,편의점,경기도 파주시 문산읍 문향로49번길 26,37.85637626,126.7839452,경기,,,,,,
GS25,능곡대림점,편의점,경기도 고양시 덕양구 토당로42번길 21,37.62038419,126.8219411,경기,,,,,,
GS25,덕정제일점,편의점,경기도 양주시 덕정길 38,37.84387313,127.0642986,경기,,,,,,
GS25,시흥로얄점,편의점,경기도 시흥시 신천로44번길 16,37.43570035,126.78996,경기,,,,,,
이디야,망포점,프렌차이즈,경기도 수원시 영통구 영통로 115,37.23791096,127.0568289,경기,,,,,,
GS25,광주도곡점,편의점,경기도 광주시 초월읍 경충대로 1023-18,37.37018182,127.3008948,경기,,,,,,
GS25,광주문형점,편의점,경기도 광주시 오포읍 고산길72번길 38-1,37.3729752,127.221552,경기,,,,,,
스타벅스,정자점,프렌차이즈,경기도 성남시 분당구 정자일로 166,37.36487969,127.1062922,경기,,,,,,
GS25,김포사우점,편의점,경기도 김포시 돌문로 43,37.61885696,126.7177992,경기,,,,,,
버거킹,분당정자점,프렌차이즈,경기도 성남시 분당구 정자일로 234,37.37118711,127.1062738,경기,,,,,,
이디야,하남덕풍점,프렌차이즈,경기도 하남시 신장로 134,37.53850849,127.2035401,경기,,,,,,
이디야,단대캠퍼스점,프렌차이즈,경기도 용인시 수지구 죽전로 150,37.32391658,127.1243906,경기,,,,,,
이디야,이마트흥덕점,프렌차이즈,경기도 용인시 기흥구 흥덕중앙로 60,37.27574292,127.0733161,경기,,,,,,
GS25,팅스점,편의점,"경기도 수원시 팔달구 갓매산로 91, (매산로1가)",37.27014172,127.0006491,경기,,,,,,
GS25,편의점,편의점,경기도 고양시 일산동구 장백로 26,37.64115383,126.7891279,경기,,,,,,
GS25,평택성원점,편의점,경기도 평택시 탄현1로 95,37.06842881,127.0532303,경기,,,,,,
GS25,안산현대점,편의점,경기도 안산시 상록구 감골1로 43,37.28943886,126.8503192,경기,,,,,,
GS25,평택중앙점,편의점,경기도 평택시 원평로25번길 63,36.98610457,127.0822668,경기,,,,,,
GS25,하이닉스점,편의점,경기도 이천시 부발읍 경충대로 2120,37.25457843,127.48939,경기,,,,,,
GS25,의정신곡점,편의점,경기도 의정부시 동일로 472,37.73058516,127.059339,경기,,,,,,
GS25,소사벌주공점,편의점,경기도 평택시 경기대로 508,37.00456169,127.0954268,경기,,,,,,
GS25,벽적골주공점,편의점,경기도 수원시 영통구 봉영로1517번길 23,37.24858539,127.0666151,경기,,,,,,
