브랜드명,지점명,업체유형,도로명주소,위도,경도,지역,ID,연락처,주차시설,평점,판매자ID,판매상품목록
GS25,중구신흥점,편의점,"인천광역시 중구 제물량로 87, (신흥동2가)",37.4671942,126.6331818,인천,,,,,,
GS25,간석로얄점,편의점,"인천광역시 남동구 경인로644번길 80, (간석동)",37.46558383,126.7120002,인천,,,,,,
GS25,S부평역1호점,편의점,"인천광역시 부평구 광장로 16, (부평동)",37.48955722,126.7233373,인천,,,,,,
맥도날드,송도지점,프렌차이즈,"인천광역시 연수구 하모니로 128, (송도동)",37.38533447,126.6448434,인천,,,,,,
이디야,부평시장역점,프렌차이즈,"인천광역시 부평구 부평대로 69, (부평동)",37.49763465,126.7220576,인천,,,,,,
GS25,연수단비점,편의점,"인천광역시 연수구 청능대로113번길 43, (연수동)",37.41422061,126.6781667,인천,,,,,,
GS25,서창8단지점,편의점,"인천광역시 남동구 서창남순환로 201, (서창동, 엘에이치8단지)",37.42593963,126.7456476,인천,,,,,,
GS25,계양신한점,편의점,"인천광역시 계양구 경명대로1029번길 16, (계산동)",37.54534851,126.7216395,인천,,,,,,
GS25,작전코오롱점,편의점,"인천광역시 계양구 봉오대로691번길 3, (작전동)",37.53113777,126.725661,인천,,,,,,
GS25,숭의타운점,편의점,"인천광역시 미추홀구 미추로19번길 8, (숭의동, 현대E맨션)",37.46176587,126.6469126,인천,,,,,,
맥도날드,구월DT점,프렌차이즈,"인천광역시 남동구 인주대로 514, (구월동)",37.44996748,126.6938123,인천,,,,,,
GS25,인천남동로점,편의점,"인천광역시 남동구 성말로 49, 102동  (구월동, 삼성마이빌102동)",37.44522928,126.7062128,인천,,,,,,
GS25,마전풍림점,편의점,"인천광역시 서구 가현산로23번길 7, (마전동)",37.6127105,126.6600841,인천,,,,,,
GS25,포스코앤씨타워점,편의점,"인천광역시 연수구 인천타워대로 241, (송도동)",37.39234958,126.6343162,인천,,,,,,
GS25,인천송도점,편의점,"인천광역시 연수구 해돋이로 107, (송도동, 송도더샵퍼스트월드1차)",37.39277297,126.6476343,인천,,,,,,
이디야,인천서창점,프렌차이즈,"인천광역시 남동구 서창남로 52, (서창동)",37.42421525,126.7504327,인천,,,,,,
스타벅스,인천청라타워돔,프렌차이즈,"인천광역시 서구 중봉대로612번길 10-17, (청라동)",37.53388808,126.6520144,인천,,,,,,
GS25,인하사랑점,편의점,"인천광역시 미추홀구 인하로47번길 94, (용현동)",37.4531906,126.6589908,인천,,,,,,
버거킹,인천구월점,프렌차이즈,"인천광역시 남동구 예술로 138, (구월동)",37.44620839,126.7010087,인천,,,,,,
GS25,서인천점,편의점,"인천광역시 서구 탁옥로34번길 1, (심곡동)",37.543704,126.6738355,인천,,,,,,
GS25,만수성신점,편의점,"인천광역시 남동구 하촌로59번길 52-9, (만수동)",37.45374292,126.7301965,인천,,,,,,
이디야,구월아시아드점,프렌차이즈,"인천광역시 남동구 인하로 608, (구월동)",37.44262299,126.7142585,인천,,,,,,
버거킹,인천작전점,프렌차이즈,"인천광역시 계양구 계양대로 37, (작전동)",37.52710638,126.7219735,인천,,,,,,
이디야,구월중앙점,프렌차이즈,"인천광역시 남동구 선수촌공원로 37, (구월동)",37.44214156,126.7097691,인천,,,,,,
스타벅스,구월삼성화재점,프렌차이즈,"인천광역시 남동구 남동대로 773, (구월동)",37.45155981,126.7075165,인천,,,,,,
이디야,재능대점,프렌차이즈,"인천광역시 동구 송림로 141, (송림동)",37.47769551,126.6500171,인천,,,,,,
스타벅스,송도점,프렌차이즈,"인천광역시 연수구 컨벤시아대로 60, (송도동, 송도푸르지오월드마크2단지)",37.39757396,126.6506538,인천,,,,,,
이디야,가정고점,프렌차이즈,"인천광역시 서구 서달로 159, (석남동)",37.51278042,126.6786133,인천,,,,,,
이디야,부평보건소점,프렌차이즈,"인천광역시 부평구 부흥로293번길 8, (부평동)",37.49889987,126.7249085,인천,,,,,,
스타벅스,인천구월점,프렌차이즈,"인천광역시 남동구 예술로 138, (구월동)",37.44620839,126.7010087,인천,,,,,,
이디야,부평역점,프렌차이즈,"인천광역시 부평구 경원대로 1373, (부평동)",37.49152894,126.7215284,인천,,,,,,
이디야,남동공단점,프렌차이즈,"인천광역시 남동구 남동대로 217, (고잔동)",37.40486228,126.6971484,인천,,,,,,
스타벅스,부평GM점,프렌차이즈,"인천광역시 부평구 부평대로 233, (청천동)",37.51232106,126.7162082,인천,,,,,,
