브랜드명,지점명,업체유형,도로명주소,위도,경도,ID,연락처,주차시설,평점,판매자ID,판매상품목록
GS25,김제대로점,편의점,"전라북도 김제시 금구면 콩쥐팥쥐로 810, (낙성리)",35.814691646860204,126.98959738193301,,,,,,
이디야,군산나운점,프렌차이즈,"전라북도 군산시 하나운로 28, (나운동, 세경)",35.960962949302704,126.70284339295799,,,,,,
GS25,군산나운점,편의점,"전라북도 군산시 수송로 50, (나운동)",35.9662281186413,126.701349304914,,,,,,
GS25,익산부송점,편의점,"전라북도 익산시 무왕로26길 19, (부송동)",35.959153132267296,126.998513683908,,,,,,
GS25,익산인화점,편의점,"전라북도 익산시 익산대로4길 37, (인화동1가)",35.931675595296504,126.948227322934,,,,,,
GS25,원광대5호점,편의점,"전라북도 익산시 익산대로70길 44, (신동)",35.9629445971736,126.95794561837799,,,,,,
스타벅스,전주대한문고점,프렌차이즈,"전라북도 전주시 완산구 팔달로 194-1, (경원동3가)",35.8197404527291,127.14675342918899,,,,,,
이디야,전주호반5차점,프렌차이즈,"전라북도 완주군 이서면 출판로 40, (갈산리)",35.839350723036105,127.05719342518,,,,,,
버거킹,익산영등점,프렌차이즈,"전라북도 익산시 무왕로 1068, (영등동)",35.9581834090076,126.97545683403,,,,,,
이디야,전동점,프렌차이즈,"전라북도 전주시 완산구 팔달로 130, (전동)",35.814255957769205,127.14866008065201,,,,,,
스타벅스,군산대점,프렌차이즈,"전라북도 군산시 황룡로 7, (미룡동)",35.94572931758079,126.686046044988,,,,,,
스타벅스,전주홍산로점,프렌차이즈,"전라북도 전주시 완산구 홍산로 238, (효자동2가)",35.8148690267866,127.10645979474701,,,,,,
스타벅스,전주한옥마을점,프렌차이즈,"전라북도 전주시 완산구 팔달로 123, (전동)",35.8134349618452,127.14854712302099,,,,,,
이디야,정읍중앙점,프렌차이즈,"전라북도 정읍시 중앙로 125, (수성동)",35.5668195754381,126.852598828078,,,,,,
이디야,서부시장점,프렌차이즈,"전라북도 전주시 완산구 용머리로 167, (효자동1가)",35.806612119807,127.128438075843,,,,,,
이디야,송천점,프렌차이즈,"전라북도 전주시 덕진구 송천중앙로 220, (송천동2가)",35.8667710824909,127.12177829507799,,,,,,
이디야,진북점,프렌차이즈,"전라북도 전주시 덕진구 태진로 110, (진북동)",35.8307959437844,127.136153713247,,,,,,
이디야,전주중산점,프렌차이즈,"전라북도 전주시 완산구 중산중앙로 7, (중화산동2가)",35.816583382080395,127.118923015406,,,,,,
이디야,아중점,프렌차이즈,"전라북도 전주시 덕진구 건산로 250, (인후동1가)",35.8346203259305,127.164602638704,,,,,,
맥도날드,군산나운DT점,프렌차이즈,"전라북도 군산시 나운로 132, (나운동)",35.9622256956955,126.696282122375,,,,,,
이디야,군산대점,프렌차이즈,"전라북도 군산시 황룡로 12, (미룡동)",35.9452238230771,126.686797002139,,,,,,
이디야,어양동점,프렌차이즈,"전라북도 익산시 무왕로 1133, (어양동)",35.9590279766941,126.98256293873999,,,,,,
이디야,전주평화점,프렌차이즈,"전라북도 전주시 완산구 소대배기로 12, (평화동2가)",35.787174430517794,127.131437939919,,,,,,
맥도날드,전주송천점,프렌차이즈,"전라북도 전주시 덕진구 송천중앙로 200, (송천동2가)",35.8650150561687,127.121985905149,,,,,,
이디야,익산제일점,프렌차이즈,"전라북도 익산시 고봉로24길 38, (영등동)",35.9559193869455,126.972082901289,,,,,,
이디야,전주하가지구점,프렌차이즈,"전라북도 전주시 덕진구 가련산로 10, (덕진동2가)",35.8406588906168,127.110565176181,,,,,,
이디야,군산산북동점,프렌차이즈,"전라북도 군산시 동아로 155, (산북동)",35.969041556751,126.684118783943,,,,,,
GS25,전주산업점,편의점,"전라북도 전주시 덕진구 팔복1길 6, (팔복동2가, 팔복동남양임대아파트)",35.8474572401204,127.10483236437099,,,,,,
GS25,전주대림점,편의점,"전라북도 전주시 완산구 여울로 161, (서신동, 서신이편한세상)",35.8406830785571,127.106535671245,,,,,,
이디야,전주고사점,프렌차이즈,"전라북도 전주시 완산구 전주객사5길 32, (고사동)",35.8196140940293,127.145460008375,,,,,,
GS25,전주송천롯데점,편의점,"전라북도 전주시 덕진구 와룡2길 12, (송천동2가)",35.8666560191571,127.113474854386,,,,,,
스타벅스,전주중화산점,프렌차이즈,"전라북도 전주시 완산구 유연로 288, (중화산동2가)",35.825113310981,127.11694733217199,,,,,,
이디야,완주제일점,프렌차이즈,"전라북도 완주군 봉동읍 봉동로 160, (장기리)",35.9392702895025,127.16842368413201,,,,,,
탐앤탐스,전주중앙점,프렌차이즈,"전라북도 전주시 완산구 전주객사4길 74-50, (고사동)",35.8208227443709,127.144318261459,,,,,,
GS25,하이츠점,편의점,"전라북도 군산시 설림3길 24, (소룡동)",35.9755327822765,126.68186003983601,,,,,,
이디야,전주송천용소점,프렌차이즈,"전라북도 전주시 덕진구 시천로 50, (송천동1가)",35.8638168680637,127.114691235935,,,,,,
이디야,임실점,프렌차이즈,"전라북도 임실군 임실읍 운수로 19, (이도리)",35.6154168130568,127.28350773385701,,,,,,
GS25,군산삼성점,편의점,"전라북도 군산시 나운3길 6, (나운동)",35.9653020534071,126.699890002362,,,,,,
GS25,전주점,편의점,"전라북도 전주시 완산구 전주객사4길 19, (고사동)",35.81848363651721,127.14365725369801,,,,,,
스타벅스,전주효자DT점,프렌차이즈,"전라북도 전주시 완산구 용머리로 7, (효자동1가)",35.805737239414,127.111120649965,,,,,,
GS25,오식도드림점,편의점,"전라북도 군산시 가도로 194, (오식도동)",35.9635440720941,126.56765313301399,,,,,,
이디야,동익산점,프렌차이즈,"전라북도 익산시 평동로 748, (동산동)",35.9280463783776,126.960985681571,,,,,,
이디야,이마트군산점,프렌차이즈,"전라북도 군산시 구암31로 137, (경암동)",35.9831512581216,126.73401671043301,,,,,,
버거킹,서신대광SK점,프렌차이즈,"전라북도 전주시 완산구 서신로 56, (서신동)",35.830397548342,127.116069766618,,,,,,
맥도날드,군산점,프렌차이즈,"전라북도 군산시 구암31로 137, (경암동)",35.9831512581216,126.73401671043301,,,,,,
GS25,상동대로점,편의점,"전라북도 정읍시 상신경1길 1, (상동)",35.5560323454205,126.87283779718099,,,,,,
GS25,편의점,편의점,"전라북도 김제시 도작로 30, (검산동)",35.798071211682,126.904145187546,,,,,,
GS25,신흥공단점,편의점,"전라북도 익산시 서동로 286, (신흥동)",35.9405033956196,126.981115795954,,,,,,
GS25,새만금기로점,편의점,"전라북도 군산시 비응5길 40, (비응도동)",35.941698550666295,126.534101146174,,,,,,
GS25,편의점,편의점,"전라북도 군산시 진포로 242, (경암동)",35.98014135102171,126.73318880907101,,,,,,
GS25,군산러브점,편의점,"전라북도 군산시 해망로 18, (경암동)",35.9775883226883,126.724447929556,,,,,,
GS25,지곡중앙점,편의점,"전라북도 군산시 계산로 78, (지곡동, 도현해나지오)",35.9509955134382,126.712926756253,,,,,,
