브랜드명,지점명,업체유형,도로명주소,위도,경도,ID,연락처,주차시설,평점,판매자ID,판매상품목록
GS25,영암터미널점,편의점,"전라남도 영암군 영암읍 동문로 8, (남풍리)",34.796681721301695,126.702803227932,,,,,,
GS25,여수국동점,편의점,"전라남도 여수시 어항단지로 51, (국동)",34.726274660884,127.71567459536999,,,,,,
GS25,편의점,편의점,"전라남도 순천시 해룡면 좌야로 135, (신대리, 중흥에스클래스메가타운6단지)",34.934945819773,127.544933638626,,,,,,
GS25,진도맘모스점,편의점,"전라남도 진도군 진도읍 옥주길 27, (성내리)",34.4836356946667,126.265163079887,,,,,,
GS25,광영마루,편의점,"전라남도 광양시 금영로 169, (광영동)",34.9655012975032,127.719088623654,,,,,,
이디야,평화광장점,프렌차이즈,"전라남도 목포시 미항로 131, (상동)",34.7968077317909,126.434549294569,,,,,,
GS25,여수대교점,편의점,"전라남도 여수시 대교로 30, (봉산동)",34.7353098371065,127.724434464502,,,,,,
이디야,여수시청점,프렌차이즈,"전라남도 여수시 시청동1길 17, (학동)",34.7592365898832,127.6637738178,,,,,,
GS25,강진서성점,편의점,"전라남도 강진군 강진읍 탐진로 85, (서성리)",34.6399790310109,126.765486824699,,,,,,
탐앤탐스,상동점,프렌차이즈,"전라남도 목포시 원형동로 10, (상동)",34.798671472593895,126.432984249172,,,,,,
스타벅스,목포옥암점,프렌차이즈,"전라남도 목포시 백년대로375번길 1, (옥암동)",34.807395032453,126.42725658476999,,,,,,
이디야,산정점,프렌차이즈,"전라남도 목포시 청호로 160, (산정동)",34.805317678026,126.374808699219,,,,,,
스타벅스,순천조례점,프렌차이즈,"전라남도 순천시 비봉2길 9, (조례동)",34.971930909956995,127.52096446937401,,,,,,
버거킹,하당점,프렌차이즈,"전라남도 목포시 비파로 50, (상동)",34.8031645122804,126.42702005094,,,,,,
스타벅스,목포평화광장점,프렌차이즈,"전라남도 목포시 미항로 137, (상동)",34.7969931630834,126.434950087988,,,,,,
이디야,나주혁신점,프렌차이즈,"전라남도 나주시 전력로 6, (빛가람동)",35.021985600616695,126.785412220266,,,,,,
GS25,창덕에버빌점,편의점,"전라남도 광양시 광양읍 용강로 31, (용강리)",34.972524049082,127.608486070779,,,,,,
버거킹,전남도청점,프렌차이즈,"전라남도 목포시 원형서로 46-1, (상동, 양우비치팰리스)",34.7967441197116,126.43031083620501,,,,,,
GS25,담양중앙점,편의점,"전라남도 담양군 담양읍 지침6길 19, (지침리)",35.315520718607395,126.985155139408,,,,,,
GS25,하당드림점,편의점,"전라남도 목포시 통일대로 63, (상동)",34.8000647532338,126.430586635225,,,,,,
GS25,구례병원점,편의점,"전라남도 구례군 구례읍 동편제길 5, (봉북리)",35.2152534422932,127.46406998041799,,,,,,
GS25,옥암부영점,편의점,"전라남도 목포시 당가두로 36, (옥암동)",34.809380265230395,126.439327787206,,,,,,
GS25,해남오뚜기점,편의점,"전라남도 해남군 해남읍 홍교로 55-4, (평동리)",34.5689325561179,126.60061288027501,,,,,,
GS25,카페백년로점,편의점,"전라남도 목포시 용당로 133, (용당동)",34.7994240118107,126.40144478439699,,,,,,
GS25,공단타운점,편의점,"전라남도 여수시 여수산단1로 204, (화치동)",34.821761169160105,127.640629136345,,,,,,
GS25,완도한일점,편의점,"전라남도 완도군 완도읍 해변공원로 9, (군내리)",34.3163151630205,126.75391536271401,,,,,,
GS25,G조례연향점,편의점,"전라남도 순천시 이수로 307, (조례동)",34.9536988120434,127.517544963918,,,,,,
GS25,산정하이츠점,편의점,"전라남도 목포시 양을로41번길 21, (산정동)",34.8029878146233,126.379214583235,,,,,,
GS25,구례중앙점,편의점,"전라남도 구례군 구례읍 봉성로 42, (봉남리)",35.2060617660839,127.464712464239,,,,,,
GS25,여수산단로점,편의점,"전라남도 여수시 여수산단로 283, (월하동)",34.8075522493015,127.66871471689801,,,,,,
GS25,연향번영점,편의점,"전라남도 순천시 연향번영4길 2, (연향동)",34.9468744848815,127.51522014180901,,,,,,
GS25,여수센트럴점,편의점,"전라남도 여수시 시청동1길 29, (학동, 센트럴파크)",34.758179764874605,127.663024397435,,,,,,
GS25,땅끝마을점,편의점,"전라남도 해남군 송지면 땅끝마을길 58, (송호리)",34.2986333029368,126.527718183735,,,,,,
GS25,여수봉산점,편의점,"전라남도 여수시 봉산남7길 18, (봉산동)",34.7322439792606,127.724106124676,,,,,,
GS25,하당광장점,편의점,"전라남도 목포시 평화로 58, (상동)",34.7956251383354,126.431610483598,,,,,,
GS25,나주봉황점,편의점,"전라남도 나주시 봉황면 봉황로 719, (죽석리)",34.9571511313951,126.78123458821301,,,,,,
GS25,뉴순천왕지점,편의점,"전라남도 순천시 왕궁길 41, (조례동)",34.954621414455296,127.532167663984,,,,,,
GS25,여수현대점,편의점,"전라남도 여수시 대치3길 6, (여서동)",34.7476642518903,127.699371409226,,,,,,
GS25,산정사랑점,편의점,"전라남도 목포시 자유로 53, (산정동)",34.793695478001105,126.39560042619301,,,,,,
GS25,죽림부영점,편의점,"전라남도 여수시 소라면 죽림로 11, (죽림리)",34.7618809549889,127.639599801154,,,,,,
GS25,목포우미점,편의점,"전라남도 목포시 삼향천로 131, (옥암동, 우미1차)",34.810761875869304,126.428318275568,,,,,,
GS25,여수화산점,편의점,"전라남도 여수시 화산로 13, (화장동)",34.7716547672081,127.640136344317,,,,,,
GS25,여수중흥점,편의점,"전라남도 여수시 여수산단4로 10, (중흥동)",34.826338405738504,127.68188939487801,,,,,,
GS25,여수향일암점,편의점,"전라남도 여수시 돌산읍 향일암로 70-3, (율림리)",34.5946471459663,127.804101578242,,,,,,
GS25,광양항만점,편의점,"전라남도 광양시 중마로 35, (중동)",34.9279963146292,127.687999305996,,,,,,
GS25,돌산2대교점,편의점,"전라남도 여수시 돌산읍 돌산로 3532, (우두리)",34.7269720417863,127.74567807922199,,,,,,
GS25,돌산점,편의점,"전라남도 여수시 돌산읍 돌산로 3553-1, (우두리)",34.7277165124335,127.743874119792,,,,,,
GS25,여수신기점,편의점,"전라남도 여수시 새터로 64, (신기동)",34.7615190189115,127.674327775221,,,,,,
GS25,여수봉강점,편의점,"전라남도 여수시 봉강서1길 38, (봉강동, 해태동백타운)",34.7413684034762,127.720679349251,,,,,,
GS25,하당비파점,편의점,"전라남도 목포시 비파로124번길 8, (상동)",34.8090873203433,126.423596141463,,,,,,
GS25,시편의점,편의점,"전라남도 목포시 평화로107번길 16, (옥암동, 우미오션빌)",34.7996132495509,126.43612442820299,,,,,,
GS25,요트경기장점,편의점,"전라남도 여수시 소호로 401, (소호동)",34.7390212987655,127.649680620869,,,,,,
GS25,나주남평점,편의점,"전라남도 나주시 남평읍 남평2로 50-1, (남평리)",35.0467613476899,126.842206057105,,,,,,
GS25,디오션리조트점,편의점,"전라남도 여수시 소호로 295, (소호동)",34.7333866345204,127.643370809529,,,,,,
GS25,목포동명점,편의점,"전라남도 목포시 산정로 20, (산정동)",34.7902488682799,126.393296242252,,,,,,
GS25,연향점,편의점,"전라남도 순천시 연향번영길 121, (연향동)",34.9512832918469,127.517646705647,,,,,,
GS25,터미널점,편의점,"전라남도 여수시 오림1길 1, (오림동)",34.758386953695606,127.716001497696,,,,,,
GS25,목포사랑,편의점,"전라남도 목포시 삼향천로 65, (옥암동)",34.8064583351963,126.432902425385,,,,,,
GS25,웅천점,편의점,"전라남도 여수시 예울마루로 37-16, (웅천동)",34.7468967913248,127.671010345744,,,,,,
맥도날드,이마트여수점,프렌차이즈,"전라남도 여수시 좌수영로 277, (오림동)",34.757924895581496,127.715019988512,,,,,,
GS25,시편의점,편의점,"전라남도 무안군 삼향읍 남악4로82번길 19, (남악리)",34.8131082151747,126.46811047433201,,,,,,
GS25,청해점,편의점,"전라남도 완도군 완도읍 개포로145번길 53, (가용리)",34.3234491089119,126.741879352451,,,,,,
GS25,조례주공점,편의점,"전라남도 순천시 봉화2길 66, (조례동)",34.959119264243,127.518213986459,,,,,,
GS25,여수오동도점,편의점,"전라남도 여수시 오동도로 82, (수정동)",34.7427499811338,127.750817333725,,,,,,
GS25,목포대점,편의점,"전라남도 무안군 청계면 승달산길 37, (도림리)",34.9102687311848,126.43355818603901,,,,,,
