브랜드명,지점명,업체유형,도로명주소,위도,경도,지역,ID,연락처,주차시설,평점,판매자ID,판매상품목록
나들가게,종점마트,편의점,"서울특별시 금천구 벚꽃로 142, (독산동)",37.46801317,126.8891909,서울,,,,,,
나들가게,영동슈퍼,편의점,"서울특별시 동작구 대방동27길 51, (대방동)",37.5029379,126.9242546,서울,,,,,,
나들가게,외대슈퍼,편의점,"서울특별시 동대문구 천장산로 14, (이문동)",37.59820848,127.0597171,서울,,,,,,
나들가게,해피타임,편의점,"서울특별시 성동구 아차산로7길 7, (성수동2가)",37.54594911,127.0542403,서울,,,,,,
나들가게,성우마트,편의점,"서울특별시 광진구 용마산로7길 27, (중곡동, 용마산홈타운10차)",37.55927462,127.0861487,서울,,,,,,
나들가게,대박하우스,편의점,"서울특별시 금천구 시흥대로50길 9, (시흥동)",37.45143269,126.9025692,서울,,,,,,
나들가게,청정마트,편의점,"서울특별시 광진구 동일로 102, (자양동)",37.54163843,127.0639585,서울,,,,,,
나들가게,송학마트,편의점,"서울특별시 은평구 역말로9길 37, (대조동)",37.61430564,126.9222105,서울,,,,,,
나들가게,동성마트,편의점,"서울특별시 강북구 오현로9길 159, (미아동)",37.62362903,127.0321297,서울,,,,,,
나들가게,로데오마트,편의점,서울특별시 송파구 동남로6길 6,37.48961333,127.1241224,서울,,,,,,
나들가게,보라매공판장,편의점,"서울특별시 구로구 경인로15길 44, (오류동, 한나그린빌)",37.49590827,126.838465,서울,,,,,,
나들가게,소비자할인마트,편의점,"서울특별시 은평구 갈현로23길 16, (갈현동)",37.61699191,126.912521,서울,,,,,,
나들가게,코사마트,편의점,"서울특별시 중랑구 용마산로90길 10, (면목동)",37.58766576,127.0965698,서울,,,,,,
나들가게,서울할인마트,편의점,"서울특별시 도봉구 마들로 684-19, (도봉동, 서원아파트)",37.6752042,127.0487478,서울,,,,,,
나들가게,현대마트,편의점,서울특별시 강동구 고덕로25길 13,37.55541737,127.1363233,서울,,,,,,
맥도날드,화양점,프렌차이즈,"서울특별시 광진구 광나루로 383, (군자동)",37.54806708,127.072479,서울,,,,,,
맥도날드,상일동점,프렌차이즈,"서울특별시 강동구 상일로6길 39, (상일동)",37.54979434,127.1753307,서울,,,,,,
맥도날드,연신내점,프렌차이즈,"서울특별시 은평구 연서로 213, (갈현동)",37.61762098,126.9192062,서울,,,,,,
맥도날드,미아점,프렌차이즈,"서울특별시 강북구 도봉로 48, (미아동)",37.61328871,127.0303722,서울,,,,,,
맥도날드,구산점,프렌차이즈,"서울특별시 은평구 연서로 131, (구산동)",37.61062384,126.9166798,서울,,,,,,
맥도날드,여의도점,프렌차이즈,"서울특별시 영등포구 국제금융로 10, (여의도동)",37.52517222,126.9248631,서울,,,,,,
맥도날드,종암SK점,프렌차이즈,"서울특별시 성북구 종암로 58, (종암동)",37.59577347,127.0359898,서울,,,,,,
맥도날드,홍익대점,프렌차이즈,"서울특별시 마포구 양화로 140, (동교동)",37.55511496,126.9220223,서울,,,,,,
맥도날드,노량진점,프렌차이즈,"서울특별시 동작구 노량진로 158, (노량진동)",37.51342892,126.9435372,서울,,,,,,
맥도날드,왕십리점,프렌차이즈,"서울특별시 성동구 왕십리로 321, (행당동)",37.56217189,127.0335819,서울,,,,,,
맥도날드,중랑점,프렌차이즈,"서울특별시 중랑구 망우로 202, (상봉동)",37.59347623,127.07546,서울,,,,,,
맥도날드,안암점,프렌차이즈,"서울특별시 성북구 고려대로24길 42, (안암동5가)",37.58440107,127.0292412,서울,,,,,,
맥도날드,명동점,프렌차이즈,"서울특별시 중구 명동7길 8, (명동1가)",37.56416598,126.9845324,서울,,,,,,
맥도날드,신천점,프렌차이즈,"서울특별시 송파구 올림픽로 108, (잠실동)",37.51142036,127.0827509,서울,,,,,,
맥도날드,방배점,프렌차이즈,"서울특별시 서초구 방배로 81, (방배동)",37.48165623,126.9971039,서울,,,,,,
맥도날드,목동점,프렌차이즈,"서울특별시 양천구 목동로 221, (신정동)",37.52814981,126.8637151,서울,,,,,,
맥도날드,한양대점,프렌차이즈,"서울특별시 성동구 왕십리로 227, (행당동)",37.55722092,127.0419081,서울,,,,,,
맥도날드,신림점,프렌차이즈,"서울특별시 관악구 신림로 310, (신림동)",37.48192504,126.9301641,서울,,,,,,
맥도날드,중계점,프렌차이즈,"서울특별시 노원구 중계로 218, (중계동)",37.65084053,127.0759845,서울,,,,,,
