브랜드명,지점명,업체유형,도로명주소,위도,경도,지역,ID,연락처,주차시설,평점,판매자ID,판매상품목록
GS25,언양남부점,편의점,"울산광역시 울주군 언양읍 헌양길 34, (남부리)",35.56493358,129.1256484,울산,,,,,,
GS25,온산사랑점,편의점,"울산광역시 울주군 온산읍 신온5길 26, (덕신리)",35.4283893,129.308178,울산,,,,,,
GS25,울산태화점,편의점,"울산광역시 중구 명륜로 21, (태화동)",35.55455574,129.3081733,울산,,,,,,
맥도날드,울산병영점,프렌차이즈,"울산광역시 중구 번영로 576, (남외동)",35.56850777,129.3450458,울산,,,,,,
GS25,삼산골드,편의점,"울산광역시 남구 왕생로66번길 13-1, (달동)",35.53979459,129.3326568,울산,,,,,,
이디야,울산성안동점,프렌차이즈,"울산광역시 중구 성안로 181, (성안동)",35.57658653,129.3170154,울산,,,,,,
GS25,울산현대점,편의점,"울산광역시 남구 삼산중로 17, (달동)",35.53512026,129.3364167,울산,,,,,,
GS25,울산번영점,편의점,"울산광역시 남구 신정로148번길 47, (신정동)",35.54619535,129.3235211,울산,,,,,,
GS25,삼산청구,편의점,"울산광역시 남구 돋질로 422, (삼산동)",35.54301501,129.3510381,울산,,,,,,
GS25,편의점,편의점,"울산광역시 북구 명촌1길 9, (진장동)",35.56005307,129.3595524,울산,,,,,,
GS25,무거파크점,편의점,"울산광역시 남구 대학로37번길 11, (무거동)",35.53998816,129.2549722,울산,,,,,,
GS25,매암현대점,편의점,"울산광역시 남구 장생포고래로 265, (매암동)",35.50406683,129.3830888,울산,,,,,,
스타벅스,울산삼산타워점,프렌차이즈,"울산광역시 남구 삼산로 273, (삼산동)",35.53953243,129.3367987,울산,,,,,,
이디야,울산모다아울렛점,프렌차이즈,"울산광역시 북구 진장유통로 78-6, (진장동)",35.57709596,129.3572147,울산,,,,,,
이디야,울산무거동점,프렌차이즈,"울산광역시 남구 신복로 36, (무거동)",35.54898885,129.2587629,울산,,,,,,
스타벅스,울산태화점,프렌차이즈,울산광역시 중구 신기길 103,35.55057865,129.2983813,울산,,,,,,
이디야,화정동점,프렌차이즈,"울산광역시 동구 대학길 75, (화정동)",35.49883826,129.4219383,울산,,,,,,
맥도날드,울산옥동점,프렌차이즈,"울산광역시 남구 문수로423번길 2, (신정동)",35.53386932,129.2999645,울산,,,,,,
스타벅스,울산옥동점,프렌차이즈,"울산광역시 남구 문수로 329, (옥동)",35.53550331,129.2896477,울산,,,,,,
스타벅스,울산삼산로점,프렌차이즈,"울산광역시 남구 삼산로278번길 8, (삼산동)",35.53849914,129.3373219,울산,,,,,,
스타벅스,울산대점,프렌차이즈,"울산광역시 남구 대학로84번길 5-3, (무거동)",35.54246617,129.2602159,울산,,,,,,
버거킹,울산우정에스케이,프렌차이즈,"울산광역시 중구 북부순환도로 323, (유곡동)",35.55961783,129.2967954,울산,,,,,,
스타벅스,울산화봉점,프렌차이즈,"울산광역시 북구 화봉로 75, (화봉동)",35.58860813,129.3673505,울산,,,,,,
이디야,울산남구점,프렌차이즈,"울산광역시 남구 왕생로 97, (달동)",35.54197144,129.3297815,울산,,,,,,
이디야,울산삼호점,프렌차이즈,"울산광역시 남구 북부순환도로13번길 4, (무거동)",35.55159318,129.2648365,울산,,,,,,
이디야,울산일산해수욕장점,프렌차이즈,"울산광역시 동구 해수욕장7길 10, (일산동)",35.49200846,129.4316704,울산,,,,,,
스타벅스,울산테라스파크점,프렌차이즈,"울산광역시 동구 방어진순환도로 652, (일산동)",35.49988315,129.4288563,울산,,,,,,
이디야,다운동점,프렌차이즈,"울산광역시 중구 다운로 122, (다운동)",35.56370466,129.2667586,울산,,,,,,
스타벅스,울산성남동점,프렌차이즈,"울산광역시 중구 젊음의거리 74, (성남동)",35.55399896,129.3212119,울산,,,,,,
스타벅스,울산삼산대로점,프렌차이즈,"울산광역시 남구 삼산로 257, (달동)",35.53918165,129.3351057,울산,,,,,,
이디야,울산네오골프점,프렌차이즈,"울산광역시 북구 관문길 40, (천곡동)",35.64321743,129.331148,울산,,,,,,
이디야,울산파크폴리스점,프렌차이즈,"울산광역시 남구 대공원로 241, (신정동, 대공원코오롱파크폴리스)",35.53103206,129.3072952,울산,,,,,,
스타벅스,울산신복점,프렌차이즈,"울산광역시 남구 대학로 152, (무거동)",35.54798171,129.2628498,울산,,,,,,
맥도날드,울산삼산점,프렌차이즈,"울산광역시 남구 화합로 201, (삼산동)",35.5426516,129.3391773,울산,,,,,,
이디야,울산삼산점,프렌차이즈,"울산광역시 남구 돋질로 301, (삼산동)",35.54444141,129.3378947,울산,,,,,,
GS25,진하해돋이점,편의점,"울산광역시 울주군 서생면 깨목1길 1, (진하리)",35.38271383,129.3431432,울산,,,,,,
GS25,온산희망점,편의점,"울산광역시 울주군 온산읍 덕남로 80, (덕신리)",35.43022147,129.3071174,울산,,,,,,
GS25,달동골드점,편의점,"울산광역시 남구 돋질로 90, (달동)",35.53870033,129.3157561,울산,,,,,,
GS25,삼산제일점,편의점,"울산광역시 남구 삼산로254번길 12, (달동)",35.53755132,129.3350125,울산,,,,,,
GS25,전하리치점,편의점,"울산광역시 동구 바드래길 46, (전하동)",35.51597986,129.4296597,울산,,,,,,
맥도날드,옥현점,프렌차이즈,"울산광역시 남구 옥현로58번길 4, (무거동)",35.54114184,129.2618824,울산,,,,,,
GS25,울산공업점,편의점,"울산광역시 남구 수암로 22, (신정동)",35.53151066,129.3105336,울산,,,,,,
GS25,시편의점,편의점,"울산광역시 중구 함월23길 2, (성안동)",35.57937493,129.3191793,울산,,,,,,
GS25,달동전원점,편의점,"울산광역시 남구 삼산로 67, (달동)",35.5346162,129.3150389,울산,,,,,,
맥도날드,달동점,프렌차이즈,"울산광역시 남구 신정로 37, (달동)",35.53517131,129.3219727,울산,,,,,,
GS25,울산범서점,편의점,"울산광역시 울주군 범서읍 대리로 105, (구영리)",35.56571405,129.2495378,울산,,,,,,
GS25,온산미소점,편의점,"울산광역시 울주군 온산읍 신온9길 71, (덕신리)",35.42740703,129.3098249,울산,,,,,,
GS25,울산대복점,편의점,"울산광역시 울주군 웅촌면 삼동로 1625, (대복리)",35.48907426,129.2133932,울산,,,,,,
GS25,신천극동점,편의점,"울산광역시 북구 신천로 27, (신천동, 극동스타클래스)",35.64034657,129.3469774,울산,,,,,,
