,고객이름,방문매장,최근방문날짜,방문횟수
0,83402396,GS25강남역삼점,2018-01-13,17
1,83402396,GS25강남동원점,2018-08-18,16
2,83402396,GS25강남사랑점,2019-06-15,1
3,83402396,GS25강남태양점,2019-09-20,11
4,83402396,GS25강남메트로점,2019-04-20,15
5,83402396,GS25강남타운점,2018-02-14,4
6,83402396,GS25강남YBM점,2020-02-18,12
7,83402396,GS25강남나누리점,2019-02-21,10
8,83402396,GS25강남N타워점,2018-01-18,20
9,83402396,GS25강남쥬비스점,2019-06-19,14
10,8800158,GS25강남YBM점,2019-02-18,15
11,8800158,GS25강남개포점,2020-01-18,6
12,8800158,GS25강남한티점,2019-07-21,7
13,8800158,GS25강남한티점,2020-05-17,14
14,8800158,GS25S강남역3호점,2020-08-10,3
15,8800158,GS25강남쥬비스점,2019-02-11,16
16,8800158,GS25강남쉐르빌점,2018-06-17,1
17,8800158,GS25S9삼성중앙역점,2020-01-17,13
18,8800158,GS25강남청담점,2019-05-10,20
19,8800158,GS25S강남구청역점,2018-02-13,7
20,8800158,GS25강남개포점,2018-02-20,4
21,8800158,GS25강남한티점,2018-06-18,20
22,8800158,GS25강남역삼점,2019-02-13,3
23,8800158,GS25강남신사점,2020-09-20,11
24,59713022,GS25강남아트점,2018-07-11,2
25,59713022,GS25S강남역3호점,2020-03-19,1
26,58320701,GS25S9언주역점,2018-05-10,15
27,58320701,GS25강남유블레스점,2019-03-10,8
28,58320701,GS25강남청담점,2020-07-13,18
29,58320701,GS25R서울강남4점,2019-06-18,4
30,58320701,GS25강남동원점,2018-07-20,11
31,58320701,GS25강남세곡점,2020-09-13,7
32,58320701,GS25S강남역3호점,2018-05-20,15
33,58320701,GS25강남나누리점,2018-03-21,20
34,58320701,GS25강남영동점,2020-07-19,14
35,58320701,GS25S강남역1호점,2018-04-12,14
36,58320701,GS25S강남역3호점,2020-06-10,2
37,4225617,GS25강남동원점,2020-03-18,6
38,4225617,GS25강남본점,2020-05-19,4
39,4225617,GS25S9언주역점,2018-04-10,3
40,4225617,GS25S강남역1호점,2019-08-16,10
41,4225617,GS25S9언주역점,2019-06-13,2
42,4225617,GS25강남본점,2019-03-10,13
43,4225617,GS25S강남구청역점,2019-08-10,8
44,95383424,GS25강남본점,2018-08-16,4
45,95383424,GS25강남대치점,2019-07-16,19
46,95383424,GS25강남세곡점,2019-01-17,19
47,95383424,GS25강남영동점,2019-05-18,15
48,95383424,GS25강남쌍용점,2019-06-17,2
49,95383424,GS25강남본점,2019-03-21,12
50,95383424,GS25S9신논현역점,2019-04-18,8
51,95383424,GS25S강남역3호점,2020-07-16,9
52,95383424,GS25강남나누리점,2018-05-17,4
53,95383424,GS25강남태양점,2019-06-11,16
54,95383424,GS25강남역삼점,2018-01-21,15
55,95383424,GS25강남로데오점,2018-01-20,8
56,95383424,GS25강남사랑점,2020-06-11,13
57,1851763,GS25강남대치점,2018-07-20,6
58,1851763,GS25개나리SK점,2020-09-14,19
59,1851763,GS25강남개포점,2019-05-19,10
60,1851763,GS25R서울강남4점,2020-02-17,13
61,1851763,GS25강남YBM점,2019-02-15,16
62,1851763,GS25강남갤러리점,2020-03-21,20
63,1851763,GS25S9언주역점,2019-02-19,9
64,1851763,GS25강남신사점,2018-06-18,11
65,1851763,GS25S강남역2호점,2019-07-14,8
66,1851763,GS25강남영동점,2019-02-14,6
67,1851763,GS25R서울강남4점,2018-01-10,19
68,26420237,GS25S9삼성중앙역점,2019-02-15,2
69,26420237,GS25강남영동점,2020-07-18,11
70,26420237,GS25S강남역1호점,2020-05-15,2
71,26420237,GS25S강남역1호점,2019-05-16,8
72,81723145,GS25강남개포점,2020-01-16,10
73,12632964,GS25강남N타워점,2020-03-21,1
74,12632964,GS25S9언주역점,2019-09-17,13
75,12632964,GS25강남타운점,2018-04-14,5
76,12632964,GS25S9신논현역점,2019-09-21,20
77,12632964,GS25강남태양점,2020-04-20,5
78,12632964,GS25강남본점,2018-05-12,6
79,12632964,GS25강남태강점,2018-02-18,17
80,12632964,GS25강남나누리점,2019-07-19,15
81,12632964,GS25강남YBM점,2020-09-19,9
82,12632964,GS25S강남역2호점,2019-02-10,13
83,12632964,GS25강남갤러리점,2020-01-16,13
84,12632964,GS25강남쥬비스점,2018-02-20,17
85,12632964,GS25강남로데오점,2018-01-10,15
86,51867356,GS25S강남역2호점,2020-04-17,10
87,51867356,GS25강남은성점,2019-09-16,7
88,51867356,GS25강남역삼점,2020-01-20,14
89,51867356,GS25S강남역1호점,2020-01-20,6
90,51867356,GS25강남쌍용점,2020-02-13,19
91,51867356,GS25강남영동점,2018-01-14,16
92,51867356,GS25강남태양점,2019-08-10,3
93,51867356,GS25S9언주역점,2019-08-20,14
94,51867356,GS25강남갤러리점,2020-09-18,10
95,51867356,GS25강남개포점,2020-02-18,11
96,51867356,GS25S강남역2호점,2020-01-14,7
97,51867356,GS25강남LH점,2020-05-12,12
98,51867356,GS25강남개포점,2020-06-17,14
99,37631863,GS25강남역삼점,2020-07-15,2
100,37631863,GS25강남본점,2019-09-21,12
101,37631863,GS25S강남역2호점,2018-02-13,6
102,37631863,GS25강남드림하이점,2020-04-20,20
103,37631863,GS25강남로데오점,2020-04-11,1
104,37631863,GS25강남세곡점,2019-09-18,1
105,37631863,GS25강남본점,2018-09-20,15
106,37631863,GS25S강남구청역점,2020-05-15,1
107,63615149,GS25강남갤러리점,2019-04-13,2
108,63615149,GS25강남역삼점,2019-08-11,11
109,63615149,GS25강남에이스타워점,2020-01-20,12
110,63615149,GS25강남동원점,2020-01-18,2
111,63615149,GS25강남아트점,2020-07-19,16
112,63615149,GS25강남쥬비스점,2019-02-21,19
113,63615149,GS25개포경남점,2020-05-14,5
114,63615149,GS25강남드림하이점,2019-09-17,5
115,63615149,GS25강남태양점,2019-02-18,17
116,63615149,GS25강남신사점,2019-05-10,18
117,68062720,GS25강남시티힐점,2018-07-16,7
118,68062720,GS25강남엘지점,2019-02-16,8
119,68062720,GS25S강남역3호점,2020-08-11,9
120,68062720,GS25S강남역3호점,2019-06-10,12
121,68062720,GS25강남개포점,2020-02-21,8
122,68062720,GS25강남태양점,2018-02-12,20
123,10600878,GS25강남YBM점,2020-05-13,3
124,10600878,GS25개나리SK점,2020-05-15,19
125,10600878,GS25강남개포점,2020-09-20,5
126,10600878,GS25강남대치점,2018-01-12,15
127,10600878,GS25강남동원점,2019-09-19,8
128,10600878,GS25강남에이스타워점,2020-02-17,6
129,22214428,GS25강남동원점,2019-06-19,2
130,22214428,GS25강남타운점,2018-02-18,5
