,주문번호ID,구매자id,판매점id,주문상태,주문일,상태변경일,취소날짜,승인날짜,결제수단,주문상품목록,주문상품갯수,총결제금액
0,00000001,83402396,13040872,4,2020-06-12 05:29:06,2020-06-12 05:34:28,2020-06-12 05:34:28,2020-06-12 05:31:17,1,"[8801043650700, 8809027331317]","[5, 1]",25000
1,00000002,83402396,49673122,3,2019-01-12 17:53:51,2019-01-12 18:10:24,NULL,2019-01-12 17:56:13,4,"[8801094483005, 8801382130802]","[5, 1]",37000
2,00000003,83402396,87603323,3,2020-08-16 20:31:56,2020-08-16 20:52:45,NULL,2020-08-16 20:34:26,4,"[8801056487010, 8801382130826, 8803284605464, 8801382127574]","[4, 5, 3, 2]",47000
3,00000004,83402396,21660010,3,2020-04-12 14:09:58,2020-04-12 14:25:13,NULL,2020-04-12 14:11:39,1,[8806430012819],[1],30000
4,00000005,83402396,72474122,1,2018-07-18 22:35:24,2018-07-18 22:35:24,NULL,NULL,3,[8806430012819],[2],30000
5,00000006,83402396,2634000,1,2019-02-10 06:42:23,2019-02-10 06:42:23,NULL,NULL,2,"[8801056002541, 8801382130826, 8803284605464]","[3, 4, 1]",49000
6,00000007,83402396,46075113,1,2019-04-16 14:11:57,2019-04-16 14:11:57,NULL,NULL,4,"[8801056015107, 8806430012819, 8801056017606, 8801104290357]","[2, 5, 3, 4]",49000
7,00000008,83402396,87603323,4,2020-07-03 19:08:21,2020-07-03 19:13:50,2020-07-03 19:13:50,2020-07-03 19:11:09,1,"[8801056487010, 8801056298012, 8801043650700]","[1, 5, 2]",21000
8,00000009,83402396,24966706,1,2018-01-11 11:54:18,2018-01-11 11:54:18,NULL,NULL,4,"[8809057795523, 8801056755010, 8801043650700, 8801753100892]","[4, 1, 5, 2]",61000
9,00000010,83402396,66799319,3,2018-08-02 01:04:30,2018-08-02 01:22:05,NULL,2018-08-02 01:07:08,4,[8801382130826],[4],6000
10,00000011,83402396,94215680,1,2018-08-12 05:59:32,2018-08-12 05:59:32,NULL,NULL,4,"[8801382130802, 8801056755010, 8801043650700, 8801056006297]","[5, 2, 3, 1]",87000
11,00000012,83402396,40984929,2,2020-03-10 05:31:39,2020-03-10 05:33:45,NULL,2020-03-10 05:33:45,5,"[8809040935110, 8806430012819, 8803284605464]","[3, 1, 2]",52000
12,00000013,83402396,87603323,3,2018-09-21 05:25:24,2018-09-21 05:38:10,NULL,2018-09-21 05:26:26,5,"[8801382130826, 8803284605464, 8806430012819, 8809423620008]","[2, 5, 4, 1]",67000
13,00000014,83402396,42066340,3,2018-08-01 11:35:39,2018-08-01 11:44:27,NULL,2018-08-01 11:38:01,4,"[8809027331317, 8801056005237, 8801382127574, 8809068661169, 8809082727520]","[5, 2, 4, 1, 3]",96000
14,00000015,83402396,1680294,3,2019-04-14 10:24:41,2019-04-14 10:42:56,NULL,2019-04-14 10:27:03,3,"[8801094483005, 8801382130826, 8806002010670, 8809191574657, 8809082723379]","[4, 3, 5, 2, 1]",81000
15,00000016,8800158,88566707,3,2020-06-04 12:51:48,2020-06-04 13:06:02,NULL,2020-06-04 12:53:07,3,"[8801382127574, 8806002010670, 8801056017606, 8809191574671, 8801043650199]","[4, 3, 5, 1, 2]",124000
16,00000017,59713022,72474122,2,2020-05-05 12:04:23,2020-05-05 12:05:32,NULL,2020-05-05 12:05:32,5,"[8801056017606, 8806430012819, 8809057795523, 8801056009731, 8801056055189]","[2, 1, 5, 3, 4]",120000
17,00000018,59713022,22827613,1,2020-03-09 23:19:29,2020-03-09 23:19:29,NULL,NULL,5,"[8801382130802, 8809027331317]","[4, 2]",44000
18,00000019,59713022,13719043,4,2018-03-18 21:22:15,2018-03-18 21:29:13,2018-03-18 21:29:13,2018-03-18 21:24:37,4,"[8803284605464, 8801043650700, 8801056017606]","[2, 3, 5]",23000
19,00000020,59713022,72474122,3,2018-01-20 21:14:02,2018-01-20 21:18:12,NULL,2018-01-20 21:15:07,2,"[8801382130826, 8801094483005, 8806430012819, 8801056017606]","[4, 3, 1, 2]",52000
20,00000021,59713022,40984929,3,2018-04-17 10:32:48,2018-04-17 10:44:57,NULL,2018-04-17 10:34:13,3,[8801043650700],[1],6000
21,00000022,58320701,83110567,1,2018-08-10 11:38:01,2018-08-10 11:38:01,NULL,NULL,4,"[8801056298012, 8801094483005, 8801056755010]","[1, 4, 3]",41000
22,00000023,58320701,78564878,1,2019-01-01 01:32:37,2019-01-01 01:32:37,NULL,NULL,2,"[8803284605464, 8806002010670, 8801382130802]","[4, 3, 2]",62000
23,00000024,58320701,86052106,2,2018-06-16 22:31:36,2018-06-16 22:33:37,NULL,2018-06-16 22:33:37,5,"[8809057795523, 8809040935110, 8801382130802, 8809125064124]","[3, 2, 4, 1]",89000
24,00000025,58320701,46075113,1,2018-08-07 22:16:16,2018-08-07 22:16:16,NULL,NULL,4,"[8801056002541, 8809057795523]","[5, 3]",61000
25,00000026,58320701,40984929,4,2020-04-18 03:10:53,2020-04-18 03:13:16,2020-04-18 03:13:16,2020-04-18 03:12:06,1,"[8809027331317, 8803284605464, 8806002010670, 8801056017644]","[3, 4, 5, 1]",80000
26,00000027,4225617,42066340,3,2020-09-04 05:15:22,2020-09-04 05:25:57,NULL,2020-09-04 05:18:20,5,"[8801056015107, 8801382130826, 8801094483005, 8801104290357, 8801056005719]","[3, 2, 1, 4, 5]",48000
27,00000028,4225617,24966706,1,2019-04-12 02:21:44,2019-04-12 02:21:44,NULL,NULL,1,"[8809423620039, 8801382127574, 8801056017606, 8801056005672]","[4, 5, 2, 3]",94000
