,주문번호ID,구매자id,판매점id,주문상태,주문일,상태변경일,취소날짜,승인날짜,결제수단,주문상품목록,주문상품갯수,총결제금액
0,00000001,20072146,56856462,1,2019-03-02 21:43:59,2019-03-02 21:43:59,NULL,NULL,2,[8801382132455],[1],36000
1,00000002,20072146,60170980,2,2018-08-20 04:58:56,2018-08-20 05:00:06,NULL,2018-08-20 05:00:06,2,"[8801382130659, 8801382139072, 8809397830021, 8809423620008, 8801056065805]","[5, 1, 3, 4, 2]",94000
2,00000003,20072146,21795031,3,2020-08-16 10:40:59,2020-08-16 11:02:49,NULL,2020-08-16 10:43:16,5,"[8801382135418, 8801382132455, 8809106188092]","[3, 2, 5]",50000
3,00000004,20072146,98473237,3,2018-05-13 21:31:20,2018-05-13 21:42:38,NULL,2018-05-13 21:33:25,4,"[8801056154011, 8801382135418]","[3, 2]",34000
4,00000005,20072146,1477966,2,2020-03-02 21:24:09,2020-03-02 21:26:08,NULL,2020-03-02 21:26:08,1,"[8801382130659, 8801056003364]","[1, 2]",25000
5,00000006,20072146,76430125,1,2019-07-17 03:46:07,2019-07-17 03:46:07,NULL,NULL,1,"[8801382135418, 8801382130659, 8801056003364, 8809023001269, 8801382128694]","[3, 1, 4, 2, 5]",88000
6,00000007,20072146,36237228,1,2020-07-15 02:12:44,2020-07-15 02:12:44,NULL,NULL,1,"[8809045670115, 8801382130820, 8801382135418, 8801097130012]","[5, 2, 4, 1]",74000
7,00000008,20072146,34157209,3,2018-02-06 04:35:41,2018-02-06 04:53:25,NULL,2018-02-06 04:38:01,3,"[8801382130820, 8809023009593, 8801056018160, 8801056924011]","[4, 2, 5, 1]",68000
8,00000009,64620186,33463785,2,2019-03-05 11:58:30,2019-03-05 12:01:07,NULL,2019-03-05 12:01:07,5,"[8801382130820, 8801382132455, 8809332392768]","[4, 2, 5]",72000
9,00000010,64620186,14372105,3,2018-09-11 09:04:14,2018-09-11 09:24:10,NULL,2018-09-11 09:06:04,5,"[8809106188092, 8801382127574, 8801097250079, 8801382127284, 8801056001858]","[2, 1, 4, 5, 3]",113000
10,00000011,64620186,92047329,2,2018-04-03 10:45:17,2018-04-03 10:46:32,NULL,2018-04-03 10:46:32,2,[8801382132455],[2],36000
11,00000012,64620186,96820813,1,2018-09-09 20:52:43,2018-09-09 20:52:43,NULL,NULL,3,"[8809106188092, 8801056154011, 8809045670115, 8801382135418]","[2, 3, 1, 5]",63000
