,주문번호ID,구매자id,판매점id,주문상태,주문일,상태변경일,취소날짜,승인날짜,결제수단,주문상품목록,주문상품갯수,총결제금액
0,00000001,83402396,GS25강남시티힐점,2,2019-03-17 18:15:02,2019-03-17 18:16:55,NULL,2019-03-17 18:16:55,4,"[8809173200130, 8809423620046, 8801094483005, 8801056033026, 8801056038861]","[4, 3, 5, 1, 2]",81000
1,00000002,83402396,GS25S강남역3호점,3,2018-08-10 15:53:23,2018-08-10 16:07:13,NULL,2018-08-10 15:55:04,4,"[8801056042219, 8809397830021, 8801094503000, 8801056024062, 8801382130802]","[4, 1, 3, 2, 5]",120000
2,00000003,83402396,GS25강남은성점,2,2018-07-16 13:59:14,2018-07-16 14:01:35,NULL,2018-07-16 14:01:35,5,"[8801056154011, 8809423620046, 8801382127567, 8801097178090, 8803284605464]","[3, 5, 2, 1, 4]",120000
3,00000004,8800158,GS25강남은성점,4,2020-02-07 07:25:09,2020-02-07 07:31:27,2020-02-07 07:31:27,2020-02-07 07:27:56,2,"[8809003432328, 8801056154011, 8809023003379, 8809380760175, 8801097250079]","[1, 5, 3, 4, 2]",129000
4,00000005,8800158,GS25개포경남점,1,2018-05-09 17:08:07,2018-05-09 17:08:07,NULL,NULL,2,"[8801056006297, 8801094483005]","[3, 4]",47000
5,00000006,8800158,GS25강남LH점,3,2020-06-07 14:20:55,2020-06-07 14:42:19,NULL,2020-06-07 14:23:10,2,[8809023003379],[1],24000
6,00000007,8800158,GS25강남쥬비스점,1,2019-02-03 03:26:51,2019-02-03 03:26:51,NULL,NULL,5,"[8809191574688, 8801056006297, 8801382127567, 8801094503031, 8806002000794]","[1, 3, 5, 4, 2]",142000
7,00000008,8800158,GS25S강남역1호점,3,2019-06-06 19:07:45,2019-06-06 19:16:12,NULL,2019-06-06 19:10:19,3,"[8803284605532, 8809397830021, 8801094483005, 8801043650762]","[5, 1, 3, 4]",66000
8,00000009,8800158,GS25강남신사점,2,2019-04-09 03:20:28,2019-04-09 03:22:50,NULL,2019-04-09 03:22:50,4,"[8809173200130, 8803284605532]","[4, 5]",37000
9,00000010,8800158,GS25강남세곡점,4,2018-05-12 07:04:07,2018-05-12 07:07:54,2018-05-12 07:07:54,2018-05-12 07:06:46,5,"[8809023003379, 8801382131014, 8801056006297]","[1, 2, 4]",81000
10,00000011,8800158,GS25강남쌍용점,3,2019-01-04 16:30:10,2019-01-04 16:39:47,NULL,2019-01-04 16:32:40,5,"[8806002010670, 8809173200130, 8809382930231, 8809027331492]","[2, 1, 4, 5]",86000
11,00000012,8800158,GS25강남본점,4,2019-05-10 05:12:47,2019-05-10 05:19:04,2019-05-10 05:19:04,2019-05-10 05:14:36,4,"[8806002010670, 8809423620046, 8801056154011]","[4, 3, 2]",59000
12,00000013,8800158,GS25강남본점,2,2019-04-08 07:55:30,2019-04-08 07:57:12,NULL,2019-04-08 07:57:12,4,"[8809003432328, 8803284605532, 8801094483005]","[2, 1, 5]",46000
13,00000014,8800158,GS25R선릉7점,4,2020-01-20 18:12:24,2020-01-20 18:18:22,2020-01-20 18:18:22,2020-01-20 18:15:21,3,[8801056006297],[2],35000
14,00000015,8800158,GS25S9신논현역점,4,2020-08-15 22:05:02,2020-08-15 22:10:00,2020-08-15 22:10:00,2020-08-15 22:06:18,5,[8809173200130],[3],27000
15,00000016,8800158,GS25강남아트점,1,2020-02-12 17:04:17,2020-02-12 17:04:17,NULL,NULL,1,"[8801056042219, 8809382930231, 8801056154011, 8801056233013, 8806020311919]","[5, 1, 3, 4, 2]",152000
16,00000017,8800158,GS25S강남역3호점,4,2018-06-09 02:03:33,2018-06-09 02:08:37,2018-06-09 02:08:37,2018-06-09 02:05:40,2,[8801382134749],[5],35000
17,00000018,8800158,GS25강남은성점,1,2019-08-04 10:00:42,2019-08-04 10:00:42,NULL,NULL,5,"[8801382127567, 8809191574688, 8801382131014]","[2, 3, 4]",65000
18,00000019,8800158,GS25강남드림하이점,2,2018-02-19 14:54:51,2018-02-19 14:56:28,NULL,2018-02-19 14:56:28,1,"[8806002003900, 8801382131014, 8809023003379]","[2, 1, 3]",57000
19,00000020,8800158,GS25S9삼성중앙역점,3,2020-02-05 19:53:37,2020-02-05 19:59:29,NULL,2020-02-05 19:55:20,4,"[8809397830021, 8801056154011, 8809191574688]","[1, 2, 5]",69000
20,00000021,8800158,GS25강남사랑점,1,2019-06-09 18:25:12,2019-06-09 18:25:12,NULL,NULL,5,[8809382930231],[2],26000
21,00000022,8800158,GS25강남로데오점,3,2018-09-04 08:08:22,2018-09-04 08:22:52,NULL,2018-09-04 08:10:25,2,"[8801382127567, 8806002003900, 8809023003379, 8809228158881]","[2, 3, 4, 1]",85000
22,00000023,8800158,GS25S9언주역점,1,2019-04-05 05:28:40,2019-04-05 05:28:40,NULL,NULL,1,"[8806002003900, 8801056154011, 8801382134749, 8809409910154, 8806002010977]","[3, 5, 1, 2, 4]",94000
