productName,price,division1,division2,division3,seller,update,barcode,id
컨트코리아 다우어캡슐더치커피 DCC-S26L(5),10000,가공식품,음료류,커피,(주)컨트코리아,2015-01-22 11:12:12,8809423620046,201301563721
컨트코리아 다우어캡슐더치커피 DCC-S26L(10),40000,가공식품,음료류,커피,(주)컨트코리아,2015-01-22 11:12:12,8809423620039,201301563721
컨트코리아 다우어캡슐더치커피 DCC-M26L(5),16000,가공식품,음료류,커피,(주)컨트코리아,2015-01-22 11:12:12,8809423620022,201301563721
컨트코리아 다우어캡슐더치커피 DCC-M26L(10),6000,가공식품,음료류,커피,(주)컨트코리아,2015-01-22 11:12:12,8809423620015,201301563721
컨트코리아 다우어캡슐더치커피 DCC-M26L(10),18000,가공식품,음료류,커피,(주)컨트코리아,2015-01-22 11:12:12,8809423620008,201301563721
6년근홍삼흑마늘진액1호(1000ml*1),25000,가공식품,음료류,인삼.홍삼음료,한일인삼산업(주),2015-01-22 11:12:12,8809003432304,20000380029152
6년근홍삼흑마늘진액80ml*30포(2400ml),24000,가공식품,음료류,인삼.홍삼음료,한일인삼산업(주),2015-01-22 11:12:12,8809003432328,20000380029152
솔표 솔바론디 100MLx10`S,7000,가공식품,기타음료,혼합음료,조선무약(자),2015-01-22 11:12:12,8806020310530,1993031103324
빅썬사과 200ML,33000,가공식품,기타음료,혼합음료,(주)빙그레,2015-01-22 11:12:12,88004334,198206070048
(주)빙그레 빅썬배 200ML,12000,가공식품,기타음료,혼합음료,(주)빙그레,2015-01-22 11:12:12,8801104290357,198206070048
빅썬 배맛 200ml 3EA,7000,가공식품,기타음료,혼합음료,(주)빙그레,2015-01-22 11:12:12,8801104500067,198206070048
마운틴와이드블랙,3000,가공식품,탄산음료류,탄산음료,롯데칠성음료(주),2015-01-22 11:12:12,8801056015107,2000036037248
생명의뿌리 백수오 흑삼(90p),9000,가공식품,음료류,인삼.홍삼음료,(주)고려바이오홍삼,2015-01-22 11:12:12,8809082727520,2001046725983
생명의뿌리 백수오 흑삼(240p),23000,가공식품,음료류,인삼.홍삼음료,(주)고려바이오홍삼,2015-01-22 11:12:12,8809082727537,2001046725983
생명의뿌리 백수오 흑삼(20p),35000,가공식품,음료류,인삼.홍삼음료,(주)고려바이오홍삼,2015-01-22 11:12:12,8809082727513,2001046725983
생명의뿌리흑삼진액(20p),40000,가공식품,음료류,인삼.홍삼음료,(주)고려바이오홍삼,2015-01-22 11:12:12,8809082723386,2001046725977
생명의뿌리흑삼진액(90p),13000,가공식품,음료류,인삼.홍삼음료,(주)고려바이오홍삼,2015-01-22 11:12:12,8809082723379,2001046725977
홍삼신기원,24000,가공식품,음료류,인삼.홍삼음료,(주)케이에스에이,2015-01-22 11:12:12,8809045670115,1999046710012
농심카프리썬사파리 200ML*10`S,16000,가공식품,과일.채소류음료,과.채음료,(주)농심,2015-01-22 11:12:12,8801043900027,199703602995
카프리썬사파리 200ML,39000,가공식품,과일.채소류음료,과.채음료,(주)농심,2015-01-22 11:12:12,8801043650199,199703602995
청정원 마시는 홍초현미900ml,18000,가공식품,기타음료,음료베이스,대상(주),2015-01-22 11:12:12,8801052727851,1993033606095
청정원 마시는 홍초검은콩900ml,8000,가공식품,기타음료,음료베이스,대상(주),2015-01-22 11:12:12,8801052727837,1993033606097
정관장홍삼톤F 150MLx9`S,37000,가공식품,음료류,인삼.홍삼음료,(주)한국인삼공사,2015-01-22 11:12:12,8809023009340,1996047003765
정관장 홍삼톤 -F,36000,가공식품,음료류,인삼.홍삼음료,(주)한국인삼공사,2015-01-22 11:12:12,8809023009593,1996047003765
정관장홍삼톤F 15ML*10 150ML,4000,가공식품,음료류,인삼.홍삼음료,(주)한국인삼공사,2015-01-22 11:12:12,8809023009333,1996047003765
(주)한국인삼공사 정관장 홍삼톤F,28000,가공식품,음료류,인삼.홍삼음료,(주)한국인삼공사,2015-01-22 11:12:12,8809332392768,1996047003765
차그린 키위7 과즙40% 480ML,9000,가공식품,과일.채소류음료,과.채음료,(주)고려에프앤비,2015-01-22 11:12:12,8809040935110,2001044002428
고려인삼진 100ml(52포),32000,가공식품,음료류,인삼.홍삼음료,큰바위식품,2015-01-22 11:12:12,8809110700051,200304670032
