,ID,위도,경도,위치정보,연락처,주차시설,평점,주소,업체유형,가게명,지점명,판매자ID,판매상품목록
0,96820813,37.51826292,126.76388845,"(37.51826292,126.76388845)",02-628-2989,NULL,5.2,"경기 부천시 오정구 석천로345,  300동 114호(삼정동 365)",편의점,GS25,GS252테크노파크점,53392222,"['커피', '음료수', '물']"
1,14372105,38.00414846,128.73283627,"(38.00414846,128.73283627)",02-805-4789,NULL,5.5,"강원 양양군 현북면 동해대로1242, 38선휴게소 (잔교리 41-10, 38휴게소)",편의점,GS25,GS2538선휴게소점,8191146,"['커피', '음료수', '물']"
2,1477966,37.52831065,126.87486792,"(37.52831065,126.87486792)",02-812-9817,NULL,3.6,"서울 양천구 목동서로159-1 (목1동 917-1, CBS방송국1층)",편의점,GS25,GS25CBS점,34132409,"['커피', '음료수', '물']"
3,21795031,37.5783899,126.89294205,"(37.5783899,126.89294205)",02-171-3311,NULL,3.3,"서울 마포구 매봉산로75, 1층 107호 (상암동 1610)",편의점,GS25,GS25DDMC점,15622997,"['커피', '음료수', '물']"
4,92047329,37.57410234,126.91639401,"(37.57410234,126.91639401)",02-442-3798,NULL,4.9,"서울 서대문구 가재울미래로2, 203동 101호 (남가좌동 385, 2단지)",편의점,GS25,GS25DMC가재울점,68613971,"['커피', '음료수', '물']"
5,28606144,37.5250955,127.05158476,"(37.5250955,127.05158476)",02-601-9778,NULL,3.9,"서울 강남구 도산대로529, 4층 (청담동 125-17, KRA프라자)",편의점,GS25,GS25R서울강남4점,83625590,"['커피', '음료수', '물']"
6,64577473,37.50502169,127.05179352,"(37.50502169,127.05179352)",02-521-8813,NULL,3.9,"서울 강남구 테헤란로416, 마사회선릉지사 7층 (대치동 890-8, 연봉빌딩)",편의점,GS25,GS25R선릉7점,75641128,"['커피', '음료수', '물']"
7,46239733,37.51442446,127.06028283,"(37.51442446,127.06028283)",02-055-2332,NULL,3.9,"서울 강남구 봉은사로지하 601, , 9호선봉은사역 내 (삼성동 111-8)",편의점,GS25,GS25S9봉은사역점,33908847,"['커피', '음료수', '물']"
8,52970367,37.51164542,127.04855386,"(37.51164542,127.04855386)",02-643-2771,NULL,4.4,서울 강남구 봉은사로지하 501 (삼성동 111-147),편의점,GS25,GS25S9삼성중앙역점,17137470,"['커피', '음료수', '물']"
9,99699361,37.50662704,127.03197969,"(37.50662704,127.03197969)",02-050-0482,NULL,3.0,"서울 강남구 봉은사로지하 102, 9호선 신논현역 지하 상가 (역삼동)",편의점,GS25,GS25S9신논현역점,15575895,"['커피', '음료수', '물']"
10,66679999,37.50748345,127.03423077,"(37.50748345,127.03423077)",02-114-7020,NULL,3.0,"서울 강남구 봉은사로지하 201, 지하 1층 926-1호  (논현동 279-165, 9호선 언주역)",편의점,GS25,GS25S9언주역점,37028780,"['커피', '음료수', '물']"
11,47033144,37.51697895,127.04177805,"(37.51697895,127.04177805)",02-368-5580,NULL,5.3,서울 강남구 삼성동1 7호선강남구청역내,편의점,GS25,GS25S강남구청역점,2657010,"['커피', '음료수', '물']"
12,9723056,37.49784131,127.02863248,"(37.49784131,127.02863248)",02-800-9307,NULL,3.1,"서울 강남구 강남대로390, 지하1층 9호 (역삼동 825, 미진프라자)",편의점,GS25,GS25S강남역1호점,92710251,"['커피', '음료수', '물']"
13,58832889,37.49784131,127.02863248,"(37.49784131,127.02863248)",02-704-2732,NULL,5.4,"서울 강남구 강남대로390, B3층 38호  (역삼동 825)",편의점,GS25,GS25S강남역2호점,94956317,"['커피', '음료수', '물']"
14,61657168,37.49784131,127.02863248,"(37.49784131,127.02863248)",02-475-8436,NULL,3.6,"서울 강남구 강남대로390, 지하3층 (역삼동 825, 신분당선)",편의점,GS25,GS25S강남역3호점,19123309,"['커피', '음료수', '물']"
15,33463785,37.51419073,127.03135035,"(37.51419073,127.03135035)",02-418-0471,NULL,3.8,"서울 강남구 학동로지하 102, 지하1층, GS25 S논현역점(논현역 상가1004) (논현동 279-67)",편의점,GS25,GS25S논현역점,28016962,"['커피', '음료수', '물']"
