,제품id,제품명,가격,대분류,중분류,소분류,브랜드
0,991990990999997997,[동원] 동원샘물 500ml,250,생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
1,996991993991995993,[동원] 동원샘물 2L,500,생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
2,998990990990993995,샘물 2L×24병[6병×4팩],"11,800",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
3,999993991998991996, 동원샘물 2L x6병 x3개 (총18병)/생수,"10,500",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
4,995999999995995992, 동원샘물 500ml x40병 /생수,"8,800",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
5,997998999992991995, 동원샘물 2L x6병 x6팩(총36병) /생수,"18,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
6,991998995998993996, 웨이크업뷰티 500ml x40병 /생수/샘물,"8,200",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
7,991996999998998998, 동원샘물 2L x6병 x2개 (총12병)/생수,"6,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
8,999994991990997990,샘물 500ml×40병(쉬링크) 무료배송,"8,800",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
9,998999998991994992,샘물 2L×36병[6병×6팩],"19,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
10,992992995991998992, 동원샘물 2L x 6병 /생수,"3,500",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
11,997992999992992994,샘물 2.0L×36병(6병×6팩) 배송,"18,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
12,999992995993995992,샘물 2L×24병[6병×4팩],"11,800",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
13,995998997991991992, 동원샘물 500ml 20병 x3개(총60병),"13,500",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
14,997995994993994999, 동원샘물 300ml x60병 /생수,"11,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
15,997998998995998992, 동원샘물 500ml x20병 /생수,"4,500",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
16,999997996999997995,샘물 2L×18병[9병×2팩],"8,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
17,990998992990991996, 동원샘물 2L x6병 x4개 (총24병)/생수,"13,900",생수,NULL,NULL,"['동원샘물', '동원샘물', '스파클', '삼다수', '에비앙']"
