,고객이름,구매물건,구매갯수,최근방문날짜
0,20072146,8801094503901,5,2019-01-03
1,20072146,8801056017583,8,2018-08-11
2,20072146,8801056001858,4,2020-02-13
3,20072146,8807920310347,8,2020-01-05
4,20072146,8801094483005,9,2019-06-13
5,20072146,8806001084542,8,2020-04-18
6,20072146,8801094563004,19,2020-07-05
7,20072146,8809173200130,5,2019-03-17
8,20072146,880105603886,20,2019-07-01
9,20072146,8801097130036,10,2019-05-14
10,64620186,8801094563004,2,2018-08-18
11,64620186,8801056389123,19,2020-04-14
12,64620186,8809110700051,17,2018-06-21
13,64620186,8803284607659,2,2020-04-11
14,64620186,8801056005719,14,2020-04-18
15,64620186,8801097187016,4,2019-04-07
16,64620186,8809173200123,8,2019-02-17
17,64620186,8801382127567,3,2020-06-14
18,64620186,8809173200130,18,2020-06-07
19,64620186,8801056021062,6,2018-06-02
20,465593,8809409910154,1,2020-03-06
21,465593,8809080300039,7,2020-05-06
22,465593,8809173200147,14,2018-02-14
23,465593,8806002002894,1,2019-04-10
24,465593,8809082723379,19,2018-01-15
25,27454806,8801056024017,15,2018-02-11
26,27454806,8809397830007,17,2020-08-01
27,27454806,8801094563004,16,2019-01-16
28,92712691,8801056022112,5,2019-06-02
29,92712691,8804074600546,16,2019-07-08
30,1457050,8809221606204,7,2019-02-16
31,1457050,8803284607659,5,2019-03-12
32,1457050,8801056018160,3,2019-04-09
33,1457050,8803284607659,17,2019-06-21
34,1457050,8801056487010,8,2018-01-19
35,1457050,8809110700044,17,2020-09-15
36,1457050,8806001084887,12,2018-06-14
37,1457050,8802774000987,7,2019-09-21
38,66045735,8809082723386,15,2019-04-03
39,66045735,8801097178038,9,2018-06-13
40,66045735,8809423620015,9,2018-07-08
41,21775839,8804342398984,15,2020-08-15
42,21775839,8801056051747,1,2019-07-11
43,21775839,8806002003931,12,2020-01-20
44,21775839,8801097231016,5,2018-07-04
45,21775839,8809423620022,6,2020-01-21
46,64038681,8801056005672,5,2020-08-11
47,64038681,8806001084887,18,2019-02-10
48,64038681,8801037037852,14,2019-07-18
49,64038681,8806003011362,5,2019-02-16
50,64038681,8801056033057,13,2018-06-03
51,64038681,8806002010977,20,2019-02-11
52,64038681,8806002010571,17,2018-08-13
53,64038681,8801097250053,12,2018-08-09
54,64038681,8806020310530,5,2020-09-11
55,64038681,8809332392768,14,2019-03-15
56,29463381,8801094502102,16,2019-05-19
57,29463381,8801056389123,11,2020-02-01
58,29463381,8806003011362,4,2020-01-07
59,29463381,8801056030649,18,2019-01-12
60,29463381,8809424480038,18,2019-06-06
61,29463381,8801746672443,8,2019-05-03
62,29463381,8809424480021,10,2019-04-05
63,29463381,8809221607072,15,2019-05-02
64,29463381,8802673003256,3,2019-01-17
65,48563880,8801056042226,13,2019-03-01
66,58306650,8802774001014,17,2018-01-08
67,58306650,8801097250369,11,2019-07-06
68,58306650,8809068661152,5,2019-03-04
69,91255161,8809135308157,2,2020-04-15
70,91255161,8809332392768,7,2018-06-08
71,91255161,8809397830021,8,2018-01-05
72,27984104,8809040935110,16,2019-04-02
73,27984104,8801382134824,8,2018-07-04
74,27984104,8809423620039,5,2018-01-13
75,27984104,8801753100885,8,2019-08-12
76,27984104,8801094602406,17,2018-05-03
77,27984104,8809110700051,18,2019-02-21
78,27984104,8809068661008,13,2020-05-01
