,주문번호ID,구매자id,판매점id,주문상태,주문일,상태변경일,취소날짜,승인날짜,결제수단,주문상품목록,주문상품갯수,총결제금액
0,00000001,20072146,57745285,1,2019-02-06 16:00:06,2019-02-06 16:00:06,NULL,NULL,2,[8801094222406],[3],34000
1,00000002,20072146,65410918,4,2020-06-05 20:10:13,2020-06-05 20:15:31,2020-06-05 20:15:31,2020-06-05 20:12:22,5,"[8801094222406, 8801056064761, 8801382134749, 8809191574640]","[4, 5, 3, 1]",115000
2,00000003,20072146,49416586,2,2018-08-21 20:37:53,2018-08-21 20:40:11,NULL,2018-08-21 20:40:11,4,[8801043900027],[1],16000
3,00000004,20072146,46239733,1,2020-08-05 13:58:07,2020-08-05 13:58:07,NULL,NULL,5,"[8809125064124, 8801094222406, 8809382930231]","[3, 4, 5]",84000
4,00000005,20072146,99208683,1,2018-09-05 12:32:33,2018-09-05 12:32:33,NULL,NULL,4,"[8809125064124, 8801056051747, 8806430012819, 8801056054984]","[3, 5, 2, 1]",75000
5,00000006,64620186,7770833,3,2018-03-06 02:03:04,2018-03-06 02:23:44,NULL,2018-03-06 02:05:58,4,"[8806430012819, 8801037018646, 8809423620039, 8809332392768]","[3, 2, 5, 1]",108000
6,00000007,64620186,34157209,3,2019-03-06 07:28:14,2019-03-06 07:38:56,NULL,2019-03-06 07:29:24,5,"[8809332391303, 8806430012819, 8801056009731]","[3, 4, 2]",85000
7,00000008,64620186,14372105,4,2019-02-08 21:30:15,2019-02-08 21:34:15,2019-02-08 21:34:15,2019-02-08 21:31:42,2,[8804342398984],[4],4000
8,00000009,64620186,22176965,2,2019-06-04 16:12:48,2019-06-04 16:14:54,NULL,2019-06-04 16:14:54,1,"[8801056064761, 8801094222406, 8809068661169, 8801094222703]","[5, 2, 3, 1]",109000
9,00000010,64620186,44858354,4,2020-08-06 05:00:27,2020-08-06 05:05:11,2020-08-06 05:05:11,2020-08-06 05:02:14,4,"[8809332391303, 8804342398984, 8806430012819, 8806430012819, 8801094502102]","[1, 3, 2, 5, 4]",138000
10,00000011,64620186,76430125,2,2019-07-04 07:31:02,2019-07-04 07:33:19,NULL,2019-07-04 07:33:19,2,"[8804342398984, 8801094222406, 8801056001858, 8809027331744]","[2, 3, 5, 1]",84000
11,00000012,64620186,33463785,4,2018-01-08 22:03:55,2018-01-08 22:10:36,2018-01-08 22:10:36,2018-01-08 22:06:42,1,"[8801094222406, 8806002010427, 8801037018646, 8801094222406]","[5, 3, 4, 1]",85000
12,00000013,64620186,57745285,1,2018-02-09 14:01:25,2018-02-09 14:01:25,NULL,NULL,1,[8801037018646],[5],10000
13,00000014,64620186,49416586,4,2018-05-08 13:12:45,2018-05-08 13:20:02,2018-05-08 13:20:02,2018-05-08 13:15:28,5,"[8809423620039, 8809332391303]","[1, 2]",74000
14,00000015,64620186,7770833,2,2019-01-01 16:45:46,2019-01-01 16:47:15,NULL,2019-01-01 16:47:15,4,[8809332391303],[1],34000
15,00000016,64620186,1435584,1,2019-03-05 21:17:52,2019-03-05 21:17:52,NULL,NULL,2,"[8801382134749, 8809068661169, 8804342398984, 8801056224158, 8806002003931]","[1, 3, 5, 2, 4]",105000
16,00000017,64620186,96820813,1,2018-02-03 18:59:36,2018-02-03 18:59:36,NULL,NULL,2,"[8809382930231, 8801056009731, 8806002010427, 8801382144823]","[2, 4, 5, 1]",84000
17,00000018,64620186,14729155,2,2019-04-10 15:45:59,2019-04-10 15:47:02,NULL,2019-04-10 15:47:02,3,"[8806002010427, 8804342398984, 8801056009731, 8809323750065, 8809423620046]","[3, 2, 5, 1, 4]",61000
18,00000019,64620186,61657168,2,2019-09-12 18:24:37,2019-09-12 18:27:36,NULL,2019-09-12 18:27:36,4,"[8809125064124, 8801037018646]","[5, 2]",34000
19,00000020,64620186,57745285,4,2018-02-21 05:23:04,2018-02-21 05:27:51,2018-02-21 05:27:51,2018-02-21 05:24:37,1,"[8801056064761, 8806002010427, 8801094222406, 8801097150010]","[3, 1, 5, 4]",79000
20,00000021,64620186,14729155,3,2020-01-11 07:26:39,2020-01-11 07:36:48,NULL,2020-01-11 07:29:10,4,"[8801056009731, 8801037018646, 8801056051747]","[1, 3, 2]",44000
21,00000022,64620186,38968808,1,2020-07-20 20:35:14,2020-07-20 20:35:14,NULL,NULL,5,"[8801382134749, 8803284605464, 8809423620039, 8801056064761]","[2, 4, 3, 1]",117000
