,물건명,가격,대분류,소분류,중분류,판매자,업데이트,바코드,ID
0,컨트코리아 다우어캡슐더치커피 DCC-S26L(5),10000,가공식품,커피,음료류,(주)컨트코리아,2015-01-22 11:12:12.0,8809423620046,201301563721
1,컨트코리아 다우어캡슐더치커피 DCC-S26L(10),40000,가공식품,커피,음료류,(주)컨트코리아,2015-01-22 11:12:12.0,8809423620039,201301563721
2,컨트코리아 다우어캡슐더치커피 DCC-M26L(5),16000,가공식품,커피,음료류,(주)컨트코리아,2015-01-22 11:12:12.0,8809423620022,201301563721
3,컨트코리아 다우어캡슐더치커피 DCC-M26L(10),6000,가공식품,커피,음료류,(주)컨트코리아,2015-01-22 11:12:12.0,8809423620015,201301563721
4,컨트코리아 다우어캡슐더치커피 DCC-M26L(10),18000,가공식품,커피,음료류,(주)컨트코리아,2015-01-22 11:12:12.0,8809423620008,201301563721
5,6년근홍삼흑마늘진액1호(1000ml*1),25000,가공식품,인삼.홍삼음료,음료류,한일인삼산업(주),2015-01-22 11:12:12.0,8809003432304,20000380029152
6,6년근홍삼흑마늘진액80ml*30포(2400ml),24000,가공식품,인삼.홍삼음료,음료류,한일인삼산업(주),2015-01-22 11:12:12.0,8809003432328,20000380029152
7,솔표 솔바론디 100MLx10`S,7000,가공식품,혼합음료,기타음료,조선무약(자),2015-01-22 11:12:12.0,8806020310530,1993031103324
8,빅썬사과 200ML,33000,가공식품,혼합음료,기타음료,(주)빙그레,2015-01-22 11:12:12.0,88004334,198206070048
9,(주)빙그레 빅썬배 200ML,12000,가공식품,혼합음료,기타음료,(주)빙그레,2015-01-22 11:12:12.0,8801104290357,198206070048
10,빅썬 배맛 200ml 3EA,7000,가공식품,혼합음료,기타음료,(주)빙그레,2015-01-22 11:12:12.0,8801104500067,198206070048
11,마운틴와이드블랙,3000,가공식품,탄산음료,탄산음료류,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056015107,2000036037248
12,생명의뿌리 백수오 흑삼(90p),9000,가공식품,인삼.홍삼음료,음료류,(주)고려바이오홍삼,2015-01-22 11:12:12.0,8809082727520,2001046725983
13,생명의뿌리 백수오 흑삼(240p),23000,가공식품,인삼.홍삼음료,음료류,(주)고려바이오홍삼,2015-01-22 11:12:12.0,8809082727537,2001046725983
14,생명의뿌리 백수오 흑삼(20p),35000,가공식품,인삼.홍삼음료,음료류,(주)고려바이오홍삼,2015-01-22 11:12:12.0,8809082727513,2001046725983
15,생명의뿌리흑삼진액(20p),40000,가공식품,인삼.홍삼음료,음료류,(주)고려바이오홍삼,2015-01-22 11:12:12.0,8809082723386,2001046725977
16,생명의뿌리흑삼진액(90p),13000,가공식품,인삼.홍삼음료,음료류,(주)고려바이오홍삼,2015-01-22 11:12:12.0,8809082723379,2001046725977
17,홍삼신기원,24000,가공식품,인삼.홍삼음료,음료류,(주)케이에스에이,2015-01-22 11:12:12.0,8809045670115,1999046710012
18,농심카프리썬사파리 200ML*10`S,16000,가공식품,과.채음료,과일.채소류음료,(주)농심,2015-01-22 11:12:12.0,8801043900027,199703602995
19,카프리썬사파리 200ML,39000,가공식품,과.채음료,과일.채소류음료,(주)농심,2015-01-22 11:12:12.0,8801043650199,199703602995
20,청정원 마시는 홍초현미900ml,18000,가공식품,음료베이스,기타음료,대상(주),2015-01-22 11:12:12.0,8801052727851,1993033606095
