브랜드명,상호명,지점명,상권업종소분류명,도로명주소,경도,위도
GS25,GS25삼양해변점,삼양해변점,편의점,"제주특별자치도 제주시 선사로8길 16, (삼양일동)",126.587582979063,33.5257120973835
GS25,GS25,무수천점,편의점,"제주특별자치도 제주시 애월읍 광성로 348, (광령리)",126.44443773582898,33.460716292121894
GS25,GS25제주도청,제주도청,편의점,"제주특별자치도 제주시 신대로 63, (연동)",126.49706229281799,33.4915951990521
스타벅스,스타벅스,제주송악산점,커피전문점/카페/다방,"제주특별자치도 서귀포시 대정읍 형제해안로 322, (상모리)",126.29003467177401,33.2067610874865
GS25,GS25,서귀보목,편의점,"제주특별자치도 서귀포시 칠십리로 458-1, (보목동)",126.599949002341,33.2422540993865
GS25,GS25,서귀위미,편의점,"제주특별자치도 서귀포시 남원읍 태위로 69, (위미리)",126.654991337145,33.2738504265869
GS25,GS25,삼도점,편의점,"제주특별자치도 제주시 서광로 197-1, (삼도일동)",126.517747976672,33.5001658968325
GS25,GS25탑동아람점,탑동아람점,편의점,"제주특별자치도 제주시 임항로 32, (건입동)",126.528385982996,33.5163497170019
GS25,GS25연동누리안점,연동누리안점,편의점,"제주특별자치도 제주시 신대로 144, (연동)",126.496131116595,33.4844614993781
GS25,GS25제주아로마점,제주아로마점,편의점,"제주특별자치도 제주시 연동10길 5, (연동)",126.492084422401,33.4851516093702
GS25,GS25,삼무점,편의점,"제주특별자치도 제주시 삼무로1길 3, (연동)",126.48960319625,33.4911078069293
GS25,GS25크라운점,크라운점,편의점,"제주특별자치도 제주시 삼무로3길 26, (연동)",126.49322938418999,33.4904847959641
GS25,GS25제주신대로,,편의점,"제주특별자치도 제주시 선덕로4길 22, (연동)",126.498435122883,33.4837501515744
GS25,GS25,연동국기점,편의점,"제주특별자치도 제주시 국기로3길 11, (연동)",126.491335571027,33.4793183536786
맥도날드,한국맥도날드제주공항디티점,,패스트푸드,"제주특별자치도 제주시 도령로 159, (용담이동)",126.492622902042,33.4950573875355
GS25,GS25중문마을점,중문마을점,편의점,"제주특별자치도 서귀포시 천제연로207번길 16-1, (중문동)",126.427128866698,33.2530091597357
GS25,GS25한라체육관점,한라체육관점,편의점,"제주특별자치도 제주시 서광로4길 10, (오라일동)",126.514107295856,33.499103509765504
맥도날드,맥킴맥도날드,,패스트푸드,"제주특별자치도 제주시 임항로 17, (건입동)",126.52679721983401,33.5167365372118
스타벅스,스타벅스,성산일출봉점,커피전문점/카페/다방,"제주특별자치도 서귀포시 성산읍 일출로 284-5, (성산리)",126.93555163732701,33.4628587540748
맥도날드,맥도날드,서귀포DT점,패스트푸드,"제주특별자치도 서귀포시 일주동로 8665, (서귀동)",126.562773222337,33.2532444730607
스타벅스,스타벅스커피제주용담DT,,커피전문점/카페/다방,"제주특별자치도 제주시 서해안로 380, (용담삼동)",126.484562504204,33.512386325943396
맥도날드,한국맥도날드제주일도DT점,,패스트푸드,"제주특별자치도 제주시 동광로 134, (일도이동)",126.54109452538401,33.5075474312962
이디야,이디야커피,중앙점,커피전문점/카페/다방,"제주특별자치도 제주시 관덕로13길 2, (일도일동)",126.526069134646,33.5133379685656
탐앤탐스,탐엔탐스,제주점,커피전문점/카페/다방,"제주특별자치도 제주시 광양11길 2, (이도이동)",126.530746938419,33.498932314766805
이디야,이디야커피,서귀포점,커피전문점/카페/다방,"제주특별자치도 서귀포시 중앙로 90, (서귀동)",126.561644373995,33.2527175014499
