브랜드,카테고리,지점,전화번호,주차시설,주소,위도,경도
이마트,마트,PK PEACOCK 대치역점,02-564-2200,총 0대,"""서울 강남구 남부순환로 2947 (대치동",37.5047072,127.0485641
이마트,마트,SSG 도곡점,02-2191-1234,총 85대,서울특별시 강남구  언주로30길 57 타워팰리스II 지하1층,37.5047059,127.0332432
이마트,마트,SSG 청담점,02-6947-1200,총 73대,서울특별시 강남구  도산대로 442,37.488357,127.0515216
이마트,마트,가든5점,02-411-1235,총 799대,서울특별시 송파구 충민로 10,37.5051784,127.0318042
이마트,마트,가양점,02-2101-1234,"""총 1107대""",서울 강서구 양천로 559,37.5007535,127.0467236
이마트,마트,감삼점,053-722-1234,총 710대,대구광역시 달서구 와룡로 143,37.5007535,127.0467236
이마트,마트,강릉점,033-649-1234,총 713대,강원도 강릉시 경강로 2398-10,37.5007535,127.0467236
이마트,마트,검단점,032-440-1234,총 726대,인천광역시 서구 서곶로 754,37.5007535,127.0467236
이마트,마트,경기광주점,031-8026-1234,총 429대,경기 광주시 광주대로 30,37.5007535,127.0467236
이마트,마트,경산점,053-940-1234,총 917대,경상북도 경산시 옥산로 227,37.5007535,127.0467236
이마트,마트,계양점,032-717-1234,총 738대,인천광역시 계양구 봉오대로 785 이마트계양점,37.5007535,127.0467236
이마트,마트,고잔점,031-599-1234,총 912대,경기도 안산시 단원구 원포공원1로 46,37.5007535,127.0467236
이마트,마트,과천점,02-6445-4123,총 358대,경기도 과천시  별양상가3로 11,37.5007535,127.0467236
이마트,마트,광교점,031-328-9123,총 700대,경기도 수원시 광교로 191(이의동),37.5007535,127.0467236
이마트,마트,광명소하점,02-6918-1234,총 773대,경기도 광명시 소하로 97,37.5007535,127.0467236
이마트,마트,광명점,02-2676-1234,총 296대,경기도 광명시 오리로 970 지하2층,37.5007535,127.0467236
이마트,마트,광산점,062-949-1234,총 646대,광주광역시 광산구 사암로 172 이마트 광산점,37.5007535,127.0467236
이마트,마트,광주점,062-360-0123,"""총 2300대""",광주 서구 죽봉대로 61,37.5007535,127.0467236
이마트,마트,구로점,02-2009-1234,총 579대,서울 구로구 디지털로 32길 43,37.5007535,127.0467236
이마트,마트,구미점,054-467-1234,총 936대,경상북도 구미시 구미대로 256,37.5007535,127.0467236
이마트,마트,군산점,063-472-1234,"""총 1018대""",전북 군산시 구암3.1로 137,37.5007535,127.0467236
이마트,마트,금정점,051-606-1234,총 891대,부산광역시 금정구 중앙대로1841번길 24,37.5007535,127.0467236
이마트,마트,김천점,054-420-1234,총 500대,경북 김천시 시청로 75,37.5007535,127.0467236
이마트,마트,김포점,031-8048-5678,총 688대,"""경기 김포시 김포대로 715 (풍무동",37.5007535,127.0467236
이마트,마트,김포한강점,031-990-7123,총 635대,경기도 김포시 김포한강7로 71 구주소)경기 김포시 구래동 6880-9,37.5007432,127.0467235
이마트,마트,김해점,055-310-1234,"""총 1703대""",경남 김해시 김해대로 2232 (외동) 이마트 김해점,37.5007329,127.0467235
이마트,마트,남양주점,031-590-1234,총 660대,경기도 남양주시 늘을2로 27,37.5007225,127.0467234
이마트,마트,남원점,063-620-3123,총 170대,전북 남원시 남문로 385-16,37.5007122,127.0467234
이마트,마트,노브랜드 강남대치역점,02-3453-9775,총 -대,"""서울 강남구 남부순환로 2947 (대치동",37.5007018,127.0467234
이마트,마트,노브랜드 강남삼성점,02-541-7285,총 5대,"""서울 강남구 삼성로 633 (삼성동",37.5006915,127.0467233
이마트,마트,노브랜드 강남세곡점,02-541-7285,총 5대,"""서울 강남구 삼성로 633 (삼성동",37.5006812,127.0467233
이마트,마트,노브랜드 강남역삼점,02-2051-9666,총 122대,"""서울 강남구 강남대로 324 (역삼동",37.5006708,127.0467233
이마트,마트,노브랜드 강남터미널점,02-537-8491,총 -대,"""서울 서초구 신반포로 194 (반포동",37.5006605,127.0467232
이마트,마트,노브랜드 강남한티역점,02-2052-1008,총 -대,서울 강남구 선릉로 318 (대치동),37.5006502,127.0467232
이마트,마트,노브랜드 강릉교동점,-,총 -대,강원 강릉시 경포로 72-3,37.5006398,127.0467231
이마트,마트,노브랜드 강서가양점,02-3665-7661,총 20대,서울 강서구 양천로 410 (가양동) 1층,37.5006295,127.0467231
이마트,마트,노브랜드 강서마곡점,02-3665-7661,총 20대,서울 강서구 양천로 410 (가양동) 1층,37.5006191,127.0467231
이마트,마트,노브랜드 거제아주점,055-682-5773,총 -대,경남 거제시 아주2로 51 (아주동),37.5006088,127.046723
이마트,마트,노브랜드 거제양정점,055-638-4850,총 7대,경남 거제시 수양로 487 1층 101호,37.5006088,127.046723
이마트,마트,노브랜드 경동시장점,02-3295-4785,총 -대,"""서울 동대문구 고산자로36길 3 (제기동",37.5005985,127.046723
이마트,마트,노브랜드 경산백천점,053-812-1182,총 -대,경북 경산시 경청로222길 24 (백천동) 1층,37.5005881,127.046723
이마트,마트,노브랜드 경산사동점,053-817-1771,총 null대,경북 경산시 백자로 72 (사동) 103호,37.5005778,127.0467229
이마트,마트,노브랜드 경산정평점,053-811-2950,총 12대,경북 경산시 대학로 44 (정평동) 1층,37.5005675,127.0467229
이마트,마트,노브랜드 경주용강점,054-773-2012,총 -대,경북 경주시 산업로 4506,37.5005571,127.0467228
이마트,마트,노브랜드 고양SF점,031-5174-1000,총 -대,"""경기 고양시 덕양구 고양대로 1955 (동산동",37.5005468,127.0467228
이마트,마트,노브랜드 고양도내점,031-968-9196,총 3대,경기 고양시 덕양구 도래울1로 61 (도내동),37.5005364,127.0467228
이마트,마트,노브랜드 고양마두점,031-932-6731,총 -대,"""경기 고양시 일산동구 일산로 255 (마두동",37.5005261,127.0467227
이마트,마트,노브랜드 고양신원점,02-381-9692,총 21대,경기 고양시 덕양구 권율대로 896-12 1층,37.5005158,127.0467227
이마트,마트,노브랜드 고양위시티점,031-968-9201,총 10대,경기 고양시 일산동구 위시티2로 33 (식사동),37.5005054,127.0467227
이마트,마트,노브랜드 고양정발산점,031-9223-4930,총 5대,"""경기 고양시 일산동구 대산로 23 (정발산동",37.5004951,127.0467226
이마트,마트,노브랜드 고양풍동점,031-932-6522,총 17대,경기 고양시 일산동구 고일로 134 (풍동) 다동,37.5004848,127.0467226
이마트,마트,노브랜드 고양행신점,031-979-5982,총 -대,"""경기 고양시 덕양구 용현로 9 (행신동",37.5004744,127.0467225
이마트,마트,노브랜드 고양행신중앙점,031-979-5250,총 -대,"""경기 고양시 덕양구 중앙로557번길 10 (행신동",37.5004641,127.0467225
이마트,마트,노브랜드 공주 신관동점,041-881-9971,총 7대,충남 공주시 한적2길 29,37.5004641,127.0467225
이마트,마트,노브랜드 광명소하점,02-899-9390,총 80대,경기 광명시 한내일로 53 (소하동),37.5004641,127.0467225
이마트,마트,노브랜드 광명역점,02-899-8711,총 45대,경기 광명시 신기로17번길 4,37.5004641,127.0467225
이마트,마트,노브랜드 광주초월점,031-798-0746,총 25대,경기 광주시 초월읍 경충대로 1215 (대쌍령리),37.5004641,127.0467225
이마트,마트,노브랜드 광주태전점,031-768-9064,총 대,경기 광주시 태전동로 25 (태전동) 제1층 제101호(태전동),37.5004641,127.0467225
이마트,마트,노브랜드 구리갈매점,031-575-5126,총 360대,경기 구리시 경춘북로 252 아이파크 애비뉴C동 1층,37.5004641,127.0467225
이마트,마트,노브랜드 구리인창점,031-554-4782,총 14대,"""경기 구리시 동구릉로136번길 33 (인창동",37.5004641,127.0467225
이마트,마트,노브랜드 구미선산시장점,054-482-9633,총 -대,"""경북 구미시 선산읍 단계동길 24 (완전리",37.5004641,127.0467225
이마트,마트,노브랜드 구미송정점,054-453-8666,총 -대,경북 구미시 송정대로 88 (송정동),37.5004641,127.0467225
이마트,마트,노브랜드 구미진평점,054-476-2129,총 대,경북 구미시 인동36길 14-1,37.5004641,127.0467225
이마트,마트,노브랜드 구미확장점,054-472-3888,총 '-대,경북 구미시 산동면 신당2로 9 (신당리) 102호,37.5004641,127.0467225
이마트,마트,노브랜드 군산미장점,063-452-8899,총 -대,전북 군산시 수송로 253 (미장동) 다산빌딩 101호,37.5004641,127.0467225
이마트,마트,노브랜드 군포당동TR점,031-361-3494,총 714대,경기 군포시 삼성로 74 (부곡동),37.5004641,127.0467225
이마트,마트,노브랜드 군포산본역점,031-399-7417,총 -대,경기 군포시 번영로 494,37.5004641,127.0467225
이마트,마트,노브랜드 김천율곡점,054-435-7263,총 8대,경북 김천시 혁신로 242 (율곡동),37.5004641,127.0467225
이마트,마트,노브랜드 김포운양점,031-996-4255,총 40대,경기 김포시 김포한강11로 312 (운양동) 1층 108~114호 (리앤포레2),37.5004641,127.0467225
이마트,마트,노브랜드 김포장기점,031-989-4268,총 7대,경기 김포시 김포한강2로23번길 32 (장기동),37.5004641,127.0467225
이마트,마트,노브랜드 김포장기청송점,031-996-6994,총 46대,경기 김포시 청송로 8 (장기동) 1층 104호 (석권에듀프라자),37.5004641,127.0467225
이마트,마트,노브랜드 김포풍무TR점,031-8048-5663,총 -대,경기 김포시 김포대로 715,37.5004641,127.0467225
이마트,마트,노브랜드 김포풍무점,031-996-7867,총 -대,경기 김포시 풍무로96번길 25-2 (풍무동) 1동,37.5004641,127.0467225
이마트,마트,노브랜드 김해구산점,055-336-8847,총 130대,경남 김해시 삼계로 30,37.5004641,127.0467225
이마트,마트,노브랜드 김해진영점,055-346-7256,총 21대,경남 김해시 진영읍 장등로122번길 79 (진영리) 1층 101~108호,37.5004641,127.0467225
이마트,마트,노브랜드 나주빛가람점,061-331-9474,총 20대,전남 나주시 상야4길 22 (빛가람동) 1층 노브랜드 나주빛가람점,37.5004641,127.0467225
이마트,마트,노브랜드 남양주 다산점,031-554-3752,총 180대,경기 남양주시 다산중앙로123번길 7-14 (다산동) 다산퍼스트타워(111~115호),37.5004641,127.0467225
이마트,마트,노브랜드 남양주도곡점,031-577-9511,총 70대,"""경기 남양주시 와부읍 덕소로 269 (도곡리",37.5004641,127.0467225
이마트,마트,노브랜드 남양주별내점,031-856-8078,총 -대,"""경기 남양주시 별내면 청학로중앙길 15 (청학리",37.5004641,127.0467225
