,상품명,가격,상위카테고리,하위카테고리
0,[서울우유] 서울우유 2.3L,"5,480",우유,흰우유
1,[피코크] 우유(1등급) 1000ml,"1,880",우유,흰우유
2,[서울우유] 서울우유 1000ml 나100%,"2,560",우유,흰우유
3,[서울우유] 후레쉬 밀크 기획(900ml*2) 1800ml,"3,980",우유,흰우유
4,[서울우유] 목장의 신선함이 살아있는 우유 1L,"2,980",우유,흰우유
5,[남양] 맛있는 우유 GT 900ml×2,"4,280",우유,흰우유
6,[매일] 우유 오리지널 후레쉬팩 900ML*2,"4,680",우유,흰우유
7,[파스퇴르] 저온살균우유 기획세트(930mlx2입),"5,200",우유,흰우유
8,매일 오리지널  900ml,"2,480",우유,흰우유
9,[서울우유] 저지방 우유 1000ml,"2,680",우유,흰우유
10,[매일] 소화가 잘되는 우유 930ml,"3,150",우유,흰우유
11,[피코크] 우유 (1A등급) 1000ml,"2,080",우유,흰우유
12,서울우유 1.8L,"4,700",우유,흰우유
13,[서울우유] 저지방 우유 1800ml,"4,850",우유,흰우유
14,[이마트] 진심을 담은 우유 2.3L,"4,580",우유,흰우유
15,[매일] 소화가 잘되는 저지방 우유 930ml,"3,150",우유,흰우유
16,[남양] 고소한 저지방우유 900ml*2,"4,480",우유,흰우유
17,※점포별 구성상이 [덴마크] 대니쉬 the건강한우유(900ml*2) 1800ml,"4,580",우유,흰우유
18,[서울우유] 서울우유 (200ml*3개),"2,390",우유,흰우유
19,[파스퇴르] 후레쉬 우유 1.8L,"4,980",우유,흰우유
20,[파스퇴르] 후레쉬우유(200ml*3입) 600ml,"2,380",우유,흰우유
21,[매일] 우유 저지방2% 후레쉬팩 900ML*2,"4,480",우유,흰우유
22,[파스퇴르] 파스퇴르 우유 2.3L,"6,380",우유,흰우유
23,[매일] 오리지널(200ml*3개) 600ml,"1,980",우유,흰우유
24,[매일] 소화가 잘되는 멸균우유 (190ml16),"11,180",우유,흰우유
25,[매일유업]상하목장 슬로우 밀크  저지방 930ml,"3,450",우유,흰우유
26,[매일유업]상하목장 슬로우 밀크 930ml,"3,450",우유,흰우유
27,매일 저지방 1% 900mL,"2,480",우유,흰우유
28,[매일] 우유 무지방 0% 후레쉬팩 900ml,"2,480",우유,흰우유
29,[서울우유] 저지방 우유 2.3L,"6,150",우유,흰우유
30,서울우유 밀크랩 고단백저지방우유 900ml,"3,050",우유,흰우유
31,[서울우유] 목장의 신선함이 살아 있는 저지방 1L,"3,050",우유,흰우유
32,[남양] 고소한 락토프리 우유 900ml,"2,980",우유,흰우유
33,매일우유 저지방 1% 1.5L,"4,180",우유,흰우유
34,[매일] 소화가잘되는우유 멸균 (190ml*6입),"5,380",우유,흰우유
35,[덴마크] 대니쉬 the건강한 저지방우유 1.8L,"4,150",우유,흰우유
36,[매일] ESL 우유 500ml,"1,480",우유,흰우유
37,[파스퇴르] 후레쉬 우유 930ml,"3,380",우유,흰우유
38,[매일유업]상하목장 슬로우 밀크 180ml*3,"2,250",우유,흰우유
39,남양 맛있는우유GT 슈퍼밀크 900ml*2,"4,980",우유,흰우유
40,[서울우유] 서울우유 (200ml*6입),"3,980",우유,흰우유
41,서울 저지방 우유 200ml*3입,"2,390",우유,흰우유
42,[남양] 맛있는 우유 2.3L,"5,800",우유,흰우유
43,매일 멸균 소화가잘되는 저지방우유 6입,"5,380",우유,흰우유
44,"노브랜드 굿모닝 굿밀크1,000ml","1,480",우유,흰우유
45,맛있는우유GT 멸균 200ml*24,"10,980",우유,흰우유
46,노브랜드 굿모닝 굿밀크 1L,"1,480",우유,흰우유
47,[푸르밀] 고칼슘 저지방 우유(900ml*2) 1800ml,"3,780",우유,흰우유
48,[서울우유] 저지방 우유 (1L2개),"4,580",우유,흰우유
49,[노브랜드] 굿밀크 저지방 우유 1L,"1,880",우유,흰우유
50,[남양] 맛있는우유 GT 900ml,"2,520",우유,흰우유
51,매일우유 저지방 1% 멸균(200mL X 24입),"11,700",우유,흰우유
52,[노브랜드] 1A 우유 900mL,"1,780",우유,흰우유
53,동원 고칼슘우유900ml*2,"3,980",우유,흰우유
54,[이마트] 1A등급 고칼슘 저지방우유 930ml,"2,250",우유,흰우유
55,[일동] 후디스 초유플러스 우유 기획팩 930ML*2,"5,750",우유,흰우유
56,피코크 유기농인증우유 125ml*3,"2,680",우유,흰우유
57,[남양] 맛있는 우유 GT 아인슈타인 900ml,"2,850",우유,흰우유
58,상하목장 유기농우유 900ml,"4,380",우유,흰우유
59,[피코크] 유기농인증 우유 750ML,"4,581",우유,흰우유
60,[덴마크] 대니쉬 the건강한 우유 900ml,"2,180",우유,흰우유
61,[매일유업]상하목장 슬로우밀크 저지방 180ml*3,"2,250",우유,흰우유
62,남양 맛있는우유GT 200ml*3,"2,280",우유,흰우유
63,[이마트] 뼈에 쏙쏙 고칼슘 저지방 우유 1.8L,"4,080",우유,흰우유
64,[파스퇴르] 저지방 우유 1.8L,"4,980",우유,흰우유
65,[매일] 멸균 우유 (200ml*24개),"12,500",우유,흰우유
66,덴마크 산양우유 750ml,"5,350",우유,흰우유
67,[남양]맛있는 우유 GT 저지방 2.3L,"5,800",우유,흰우유
68,무항생제 인증 바른목장우유125mlx3,"2,680",우유,흰우유
69,남양 맛있는우유GT 500ml,"1,550",우유,흰우유
70,[매일] 매일우유 2.3L,"5,800",우유,흰우유
71,"Oldenburger 멸균우유 3.5% 1,000ml","2,150",우유,흰우유
72,[남양] 아인슈타인 멸균 플러스 120ml*3,"2,400",우유,흰우유
73,상하목장 유기농우유 750ml,"4,650",우유,흰우유
74,맛있는우유GT 멸균 200ml*6,"3,980",우유,흰우유
75,남양 고소한 저지방우유 900ml,"2,470",우유,흰우유
76,상하목장 유기농멸균우유 125ml*3,"3,100",우유,흰우유
77,[삼양우유] 제주우유 1000ml,"2,340",우유,흰우유
78, 저지방 우유 (1L2입),"3,980",우유,흰우유
79,상하목장 유기농 멸균우유 125ml*24개입,"18,900",우유,흰우유
80,남양 하루근력 900ml,"2,880",우유,흰우유
81,[서울우유] 멸균우유(200ml24개입),"12,500",우유,흰우유
82,[매일] 멸균우유 오리지널 1L,"2,580",우유,흰우유
83,"남양 고소한락토프리우유 1,080ml(180ml*6개입)","5,380",우유,흰우유
84,덴마크 무항생제 인증목장우유 120ml*3,"2,680",우유,흰우유
85,상하목장 유기농 저지방우유 750ml,"4,650",우유,흰우유
86,[연세] 멸균우유 200ml24입,"13,000",우유,흰우유
87,파스퇴르 바른목장우유190ml*6(멸균우유),"5,400",우유,흰우유
88,[쓱데이딜][남양] 불가리스 사과8입/복숭아 8입 모음,"8,680",우유,흰우유
89,백미당 우유 (200ml*4입),"5,200",우유,흰우유
90,상하목장 유기농저지방멸균 200ml*6,"7,100",우유,흰우유
91,매일 멸균우유 오리지널 200ml×24입,"10,680",우유,흰우유
92,"[독일공식수입 작센우유] 멸균우유 유지방1.5% 1000mlx12개입 (총12L)  (NEO 쓱배송, 그외지역 택배)","20,490",우유,흰우유
93,[매일유업] 매일우유 저지방1% 200ml*24,"11,700",우유,흰우유
94,Oldenburger 멸균우유 3.5% 200ml*4,"2,400",우유,흰우유
95,[파스퇴르] LB-9 유산균 우유 700ml*2,"4,950",우유,흰우유
96, 삼양 대관령목장 유기농우유 750ml,"4,350",우유,흰우유
97,백미당 유기농 네모우유 125ml*3,"3,600",우유,흰우유
98,"[독일공식수입 작센우유] 멸균우유 유지방3.5% 1000mlx12개입 (총12L)  (NEO 쓱배송, 그외지역 택배)","22,200",우유,흰우유
99,[동원소와나무]뮤닝/비피더스명장/데니쉬우유 등 베스트 상품,"5,980",우유,흰우유
100,[당일착유/당일생산] 바른유기농우유900ml(오리지날),"4,300",우유,흰우유
101,상하목장 유기농 멸균우유 200mlx24입,"18,980",우유,흰우유
102,[서울우유/매일外 ] 멸균제품 & 네오센터  베스트제안전,"12,500",우유,흰우유
103,[멸균우유 베스트] 서울/매일/남양/작센/연세/아르보리아 등 멸균우유 베스트 제안전,"12,500",우유,흰우유
104,★대표품목 10%다운로드 쿠폰★[매일유업] 매일우유 멸균 저지방 1% 200ml 24팩,"11,900",우유,흰우유
105,[덴마크] 대니쉬 the건강한 저지방우유 900ml,"1,980",우유,흰우유
106,★대표품목 10%다운로드 쿠폰★[매일유업] 매일우유 멸균 오리지널 200ml 24팩,"13,900",우유,흰우유
107, 소화가 잘되는 우유(락토프리) 오리지널 멸균 190ml 24팩,"19,900",우유,흰우유
108,★대표품목 10%다운로드 쿠폰★[매일유업] 매일우유 멸균 무지방 0% 200ml 24팩,"12,900",우유,흰우유
109,"[매일]멸균 무지방 0% 우유 200ml*24 (NEO2 쓱배송, 그외지역 택배)","11,900",우유,흰우유
110,[서울우유] 멸균우유(1000ml10개입),"18,900",우유,흰우유
111,상하목장 유기농 우유 저지방 200ml 24팩,"20,900",우유,흰우유
112, 소화가 잘되는 우유(락토프리) 저지방 멸균 190ml 24팩,"19,900",우유,흰우유
113,[서울우유 공식대리점]서울우유 흰멸균우유 200ml x 24팩,"14,900",우유,흰우유
114,★대표품목 10%다운로드 쿠폰★[매일유업] 썬업 과일 야채 샐러드 그린 200ml 24팩,"12,900",우유,흰우유
115,멸균우유/바른목장우유190ml(24팩),"17,900",우유,흰우유
116,★대표품목 10%다운로드 쿠폰★[매일유업] 매일우유 멸균 저지방 2% 200ml 24팩,"12,900",우유,흰우유
117, 매일우유 멸균 오리지널 200ml x 24팩,"12,900",우유,흰우유
118,덴마크 무항생제인증목장우유 120㎖*6,"4,880",우유,흰우유
119,덴마크 목장 무항생제인증 우유 2880ml(120ml*24개입),"16,980",우유,흰우유
120,상하목장 유기농 우유 190ml 24팩,"20,900",우유,흰우유
121,유기농 저지방 우유 200ml 24팩,"20,900",우유,흰우유
122, 매일우유 멸균 오리지널 1000ml(1L) x 6팩,"14,700",우유,흰우유
123,[이담] 산양우유 750ml,"4,100",우유,흰우유
124,매일 멸균우유 저지방 1% 200ml 48팩,"22,900",우유,흰우유
125,후디스 유기농우유180ml*2,"2,950",우유,흰우유
126,매일 소화가 잘되는 우유 190ml 24팩,"18,900",우유,흰우유
127,매일 멸균우유 오리지널 200ml×24입,"10,680",우유,흰우유
128,남양 아인슈타인 베이비우유 180ml 48팩 멸균우유,"27,930",우유,흰우유
129,매일 멸균우유 오리지널 200ml 48팩,"24,900",우유,흰우유
130,연세 무항생제 멸균 흰우유190mlx24입/멸균우유,"19,800",우유,흰우유
131,[이담] 산양우유 150ml x 7팩,"9,800",우유,흰우유
132,유기농우유 125ml 48팩,"34,900",우유,흰우유
133,무항생제 바른목장우유125ml(24팩),"17,900",우유,흰우유
134,[매일우유 가정배달] 소화가잘되는우유 930ML 2개월 16회(주2회-월/수),"52,800",우유,흰우유
135,[S]상하목장 유기농 멸균우유 190ml 48팩,"44,500",우유,흰우유
136,멸균우유200ml(24팩),"16,800",우유,흰우유
137,이담 산양우유 750ml,"4,100",우유,흰우유
138, 소화가 잘되는 우유(락토프리) 멸균 홍삼 190ml 24팩,"19,900",우유,흰우유
