,상품명,가격,상위카테고리,하위카테고리
0,[농심] 농심 신라면 봉지 120g X30입 /라면/봉지라면/박스/농심라면,"23,000",라면,일반라면
1,금비 매운 국물 봉지 라면 불마왕 117gX16입,"23,500",라면,일반라면
2,[무료배송][오뚜기] 라면사리 멀티팩 (110g x 5개)x8팩 / 총40봉지,"13,900",라면,일반라면
3,[안성탕면] 농심 안성탕면 1박스 (40개입) /라면/봉지라면/멀티팩/농심라면,"28,300",라면,일반라면
4,삼양식품 봉지라면 골라담기,"1,890",라면,일반라면
5,(2000970) 봉지라면 열라면 1박스,"27,700",라면,일반라면
6,삼양라면 봉지 120gX 5입,"6,290",라면,일반라면
7,금비 매운 국물 봉지 라면 불마왕 117gX8입,"11,900",라면,일반라면
8,봉지라면 멀티팩라면 2종(진짜장면+참깨라면),"9,600",라면,일반라면
9,(2000860) 봉지라면 틈새라면 1박스,"38,000",라면,일반라면
10,태국라면 마마 크리미 봉지 55g,700,라면,일반라면
11, 라면사리 멀티팩 (110g x 5개) x 8팩 / 총40봉지,"11,200",라면,일반라면
12,태국라면 마마 포크 플레이버 봉지 55g,700,라면,일반라면
13,하오하오 봉지라면 매운새우맛 77g,980,라면,일반라면
14,태국라면 마마 톰얌 쉬림프 봉지라면 55g,700,라면,일반라면
15,봉지라면 멀티팩라면 3종(진비빔면+진라면순한맛+김치라면),"9,600",라면,일반라면
16,[신라면] 농심 신라면 1박스 (40개입) /라면/봉지라면/멀티팩/농심라면,"31,000",라면,일반라면
17,마마 라면 태국 민스드 포크 봉지 55g 1박스 30개,"21,000",라면,일반라면
18,태국라면 마마 톰얌 크리미 봉지 55g 1박스 30개,"21,000",라면,일반라면
19,(2000710) 봉지라면 얼큰한 너구리 1박스,"35,500",라면,일반라면
20,태국라면 마마 쉬림프 봉지 1박스 30개,"21,000",라면,일반라면
21,봉지라면 멀티팩라면 3종(진비빔면4개입X3봉/총12봉),"9,600",라면,일반라면
22,[너구리] 농심 너구리 순한맛 1박스 (40개입) /라면/봉지라면/농심라면,"33,500",라면,일반라면
23,(2000950) 봉지라면 스낵면 1박스,"24,700",라면,일반라면
24,봉지라면 멀티팩라면 3종(진라면매운맛+진라면순한맛+김치라면),"9,600",라면,일반라면
25,(2000810) 봉지라면 원조 삼양라면 1박스,"33,400",라면,일반라면
26,삼양 삼양라면 매운맛 봉지 120gX5입,"6,290",라면,일반라면
27,(1900220) 봉지라면 농심 사리면 1박스/30봉,"10,000",라면,일반라면
28,(1900150) 봉지라면 농심 사리면 1박스,"13,300",라면,일반라면
29,삼양 맛있는라면 봉지 115gX20입,"19,380",라면,일반라면
30,삼양라면 봉지 120gX20입X2박스,"26,500",라면,일반라면
31,(1900660) 봉지라면 라면사리 1박스,"14,300",라면,일반라면
32,봉지라면 멀티팩라면 2종(진진짜라+참깨라면),"9,600",라면,일반라면
33,봉지라면 멀티팩라면 3종(스낵면+김치라면+참깨라면),"9,600",라면,일반라면
34,봉지라면 멀티팩라면 2종(진비빔면+진진짜라),"9,600",라면,일반라면
35,삼양 삼양라면 봉지 120gX15개,"14,080",라면,일반라면
36,삼양 삼양라면 봉지 120gX 30입,"20,900",라면,일반라면
37,삼양라면 봉지 120gX20입,"16,800",라면,일반라면
38,(2000900) 봉지라면 김치라면 1박스,"26,000",라면,일반라면
39,(2000990) 봉지라면 진라면 매운맛 1박스,"27,700",라면,일반라면
40,(1900630) 봉지라면 진라면 순한맛 1박스,"28,600",라면,일반라면
41,(1900490) 봉지라면 쇠고기면 1박스,"28,600",라면,일반라면
42,(1900100) 봉지라면 신라면 블랙 1박스,"52,600",라면,일반라면
43,(1900210) 봉지라면 얼큰 장칼국수 1박스,"52,600",라면,일반라면
44,(1900690) 봉지라면 쇠고기 미역국 라면 1박스,"45,500",라면,일반라면
45,(2000690) 봉지라면 신라면 1박스,"33,600",라면,일반라면
46,삼양라면 봉지 20입+불닭볶음면 봉지 20입,"32,800",라면,일반라면
47,(2000730) 봉지라면 육개장 1박스,"34,000",라면,일반라면
48,[너구리] 농심 너구리 얼큰한맛 1박스 (40개입) /라면/봉지라면/농심라면,"33,500",라면,일반라면
49,(1900120) 봉지라면 후루룩 국수 1박스,"35,000",라면,일반라면
50,(1900020) 봉지라면 순한 너구리 1박스,"37,600",라면,일반라면
51,(2000800) 봉지라면 불닭볶음면 1박스,"42,500",라면,일반라면
52,(1900480) 봉지라면 맛있는 라면 1박스,"42,900",라면,일반라면
53,삼양라면 봉지 120gX40입,"28,500",라면,일반라면
54,(1900670) 봉지라면 진짜 쫄면 1박스,"45,800",라면,일반라면
55,(2000920) 봉지라면 부대찌개 라면 1박스,"46,900",라면,일반라면
56,(1900080) 봉지라면 감자면 1박스,"47,200",라면,일반라면
57,(2000670) 봉지라면 무파마 1박스,"47,500",라면,일반라면
58,(1900160) 봉지라면 집밥감성 고추장 찌개면 1박스,"48,300",라면,일반라면
59,(1900170) 봉지라면 보글보글 부대찌개면 1박스,"49,200",라면,일반라면
60,[무료배송][오뚜기] 참깨라면 멀티팩 (115g x 4개)x8팩 / 총 32봉지,"33,900",라면,일반라면
61,하오하오 봉지라면 매운새우맛 77g * 30입,"23,800",라면,일반라면
62,봉지라면 멀티팩라면 3종(진진짜라+스낵면+라면사리),"9,600",라면,일반라면
63,삼양라면 봉지 10입+불닭비빔면 봉지 10입,"20,000",라면,일반라면
64,(2000700) 봉지라면 안성탕면 1박스,"30,400",라면,일반라면
65, 참깨라면 멀티팩 (115g x 4개) x 8팩 / 총 32봉지,"30,500",라면,일반라면
66,(1900470) 봉지라면 삼양라면 매운맛 1박스,"32,900",라면,일반라면
67,(1900520) 봉지라면 수타면 1박스,"32,900",라면,일반라면
68,(1900640) 봉지라면 참깨라면 1박스,"33,500",라면,일반라면
69,(1900860) 봉지라면 남자라면 1박스,"35,200",라면,일반라면
70,(1900850) 봉지라면 일품 해물라면 1박스,"35,200",라면,일반라면
71,(1900030) 봉지라면 신라면 건면 1박스,"41,500",라면,일반라면
72,(1900010) 봉지라면 앵그리 RTA 너구리 1박스,"41,500",라면,일반라면
73,봉지라면 멀티팩 모음전 (신라면/짜파게티/너구리/안성탕면/오징어짬뽕 등),"2,300",라면,짬뽕라면
